What is the primary purpose of mass storage in computer systems?,To provide temporary storage for active programs.,To serve as the main processing unit for data computations.,To permanently store files and data.,To manage network connections and data transfer.,To act as a volatile cache for frequently accessed information.,C,"Computer systems must provide mass storage for permanently storing files and data, ensuring data persistence even when the system is powered off."
Which two types of devices are primarily considered modern secondary storage?,RAM and CPU caches.,Hard Disk Drives (HDDs) and Nonvolatile Memory (NVM) devices.,Magnetic tapes and optical disks.,USB drives and network-attached storage.,Main memory (DRAM) and tertiary storage.,B,"Modern computers use secondary storage, primarily defined as hard disks (HDDs) and nonvolatile memory (NVM) devices."
Which of the following is NOT listed as a characteristic that varies among secondary storage devices?,Transfer method (character at a time vs. block of characters).,Access method (sequentially vs. randomly).,Data transfer timing (synchronously vs. asynchronously).,Power consumption (high vs. low).,Read-only vs. read-write capability.,D,"The text lists variations in transfer, access, data transfer timing, usage (dedicated vs. shared), read-only vs. read-write, and speed, but not specifically 'power consumption (high vs. low)' as a general varying characteristic."
What are the two key goals of the OS I/O subsystem concerning mass storage?,To provide complex interfaces and minimize concurrency.,To ensure maximum data redundancy and eliminate bottlenecks.,To offer the simplest interface possible and optimize I/O for maximum concurrency.,To prioritize sequential access and reduce random access.,To manage only volatile memory and external peripherals.,C,"The key OS I/O subsystem goals are to provide the simplest interface possible to the rest of the system and to optimize I/O for maximum concurrency, as devices are a performance bottleneck."
"What is the general term for all types of non-volatile storage systems of a computer, including HDDs and NVM devices?",Main memory.,Volatile storage.,Mass storage.,Cache memory.,System memory.,C,"Mass storage is the general term for the nonvolatile storage system of a computer, encompassing secondary and tertiary storage devices like HDDs, NVM devices, and magnetic tapes."
Which of the following is NOT a component or logical division of a Hard Disk Drive (HDD) platter?,Platter.,Read-write head.,Solid-state die.,Track.,Cylinder.,C,"Solid-state die (flash NAND die semiconductor chips) are components of Nonvolatile Memory (NVM) devices, not Hard Disk Drives. HDDs consist of platters, read-write heads, disk arms, tracks, sectors, and cylinders."
"In a Hard Disk Drive (HDD), what is a 'cylinder'?","A fixed-size section of a track, the smallest unit of transfer.",The flat circular shape covered with magnetic material.,The time it takes for the desired sector to rotate to the disk head.,The set of tracks that are under the read-write heads on all platters at a given arm position.,The mechanism that moves all read-write heads as a unit.,D,A cylinder is defined as the set of tracks at a given arm position on all platters in the device.
What is the smallest unit of transfer on a Hard Disk Drive (HDD) platter?,Track.,Cylinder.,Platter.,Sector.,Bit.,D,"Tracks are subdivided into sectors, and each sector is a fixed size, representing the smallest unit of transfer on an HDD."
Which two components constitute the 'positioning time' in a Hard Disk Drive (HDD)?,Transfer rate and effective transfer rate.,Seek time and rotational latency.,Platter spin-up time and head crash recovery.,Read time and write time.,Data access time and buffer flush time.,B,"Positioning time, also known as random-access time, is composed of seek time (moving the disk arm to the desired cylinder) and rotational latency (waiting for the desired sector to rotate to the disk head)."
What event describes a 'head crash' in a Hard Disk Drive (HDD)?,The drive motor failing to spin the platters.,The read-write head physically touching the disk surface.,A logical error in the disk's file system structure.,A power surge damaging the disk's controller.,The disk reaching its maximum read/write cycle limit.,B,A head crash occurs when the disk head makes contact with the disk surface. This is normally irreparable and results in data loss.
How do published transfer rates for disks typically compare to real-world 'effective transfer rates'?,Published rates are usually much lower than effective rates.,Published rates are always identical to effective rates.,Published rates are generally higher than effective rates.,"Effective rates are only relevant for sequential access, not random access.","Published rates only account for data transfer, not positioning time.",C,Published performance numbers for disks are often not the same as real-world performance; stated transfer rates are always higher than effective transfer rates (the rate blocks are actually delivered to the OS).
What is the fundamental difference in operation between Nonvolatile Memory (NVM) devices and Hard Disk Drives (HDDs)?,"NVM devices use magnetic media, while HDDs use electrical charges.","NVM devices are mechanical, while HDDs are electrical.","NVM devices are electrical, while HDDs are mechanical.","NVM devices are volatile, while HDDs are nonvolatile.","NVM devices require seek time, while HDDs do not.",C,"NVM devices are electrical in nature, storing data using semiconductor chips and electrical charges, whereas HDDs are mechanical, relying on spinning magnetic platters and moving read-write heads."
Which of the following is a common advantage of Nonvolatile Memory (NVM) devices over Hard Disk Drives (HDDs)?,Lower cost per megabyte.,Higher storage capacity for a given form factor.,Greater susceptibility to physical shock.,Faster access times due to no moving parts.,Requirement for complex mechanical synchronization.,D,NVM devices are more reliable (no moving parts) and faster (no seek or rotational latency) compared to HDDs.
What is a major challenge associated with NAND semiconductors used in NVM devices regarding data writes?,"Data can be directly overwritten without prior erasure, leading to fragmentation.","Data can only be written in entire block increments, not pages.","NAND cells must be erased first before data can be overwritten, and erasure is slower and occurs in larger 'block' increments.","NAND cells require constant power to retain data, leading to high energy consumption.",The read/write speed of NAND is inversely proportional to the number of parallel operations.,C,"A key challenge with NAND semiconductors is that data cannot be directly overwritten; NAND cells must be erased first, and erasure occurs in slower, larger 'block' increments rather than faster 'page' increments for reads/writes."
How is the lifespan of an NVM flash device primarily measured?,Total Gigabytes Written (GBW).,Number of power cycles.,Drive Writes Per Day (DWPD).,Mean Time Between Failures (MTBF).,Maximum Operating Temperature (MOT).,C,"The lifespan of NVM flash devices is measured in Drive Writes Per Day (DWPD), which indicates how many times the drive capacity can be written per day before failure over its warranty period."
What is the primary function of the Flash Translation Layer (FTL) in a Nonvolatile Memory (NVM) device controller?,To convert logical block addresses to traditional cylinder-head-sector addresses.,To manage the device's power consumption and sleep states.,To map physical pages to currently valid logical blocks and track physical block states for erasure.,To perform error correction on data during read operations.,To physically move data between different NAND die for performance optimization.,C,The Flash Translation Layer (FTL) maintains a mapping of physical pages to currently valid logical blocks and tracks which physical blocks contain only invalid pages and can be erased.
What is 'garbage collection' in the context of Nonvolatile Memory (NVM) devices?,A process of deleting temporary files from the operating system.,"The recovery of space by copying valid data from partially invalid blocks to new locations, thereby freeing up blocks for erasure and new writes.",The automatic defragmentation of data within a NAND flash die.,A mechanism to reduce the number of write cycles on specific blocks.,"The process of moving old, rarely accessed data to slower tertiary storage.",B,"Garbage collection occurs when no free blocks are available for new writes, but individual pages within blocks hold invalid data. Valid data is copied to other locations, freeing the original blocks for erasure and subsequent writes."
What is the purpose of 'over-provisioning' in Nonvolatile Memory (NVM) devices?,To increase the advertised capacity of the drive.,"To ensure data is always written to the oldest, most-worn blocks first.","To set aside a percentage of the total NAND capacity as always-available write area, improving write performance and wear leveling.",To allow the device to connect to multiple I/O buses simultaneously.,To enable the use of volatile memory as a temporary cache for writes.,C,"Over-provisioning involves the device setting aside pages (e.g., 20% of total) as always available write area. This space helps improve write performance and aids in wear leveling by providing readily available blocks."
What is the primary goal of 'wear leveling' in Nonvolatile Memory (NVM)?,To make all logical block addresses map to physically contiguous areas.,To uniformly distribute write and erase operations across all NAND cells to extend the device's lifespan.,To decrease the rotational latency of the NVM device.,To ensure that all data is encrypted before being written to the device.,To reduce the cost per gigabyte of NVM storage.,B,"Wear leveling is an effort to select all NAND cells over time as write targets, avoiding premature media failure due to frequently erased blocks by distributing writes evenly."
What are 'RAM drives' (RAM disks) and how are they used?,Physical hard drives that use RAM for caching.,Volatile memory sections carved out of DRAM and presented as secondary storage devices for temporary safekeeping of data.,Nonvolatile memory devices connected via a RAM interface.,External storage devices that require RAM for their operation.,A type of Solid-State Disk (SSD) that uses DRAM for persistent storage.,B,"RAM drives are created by device drivers to carve out a section of the system's DRAM and present it as a storage device. Despite being volatile, they are useful for placing temporary files or sharing data using standard file operations."
Which of the following best describes the access time characteristics of magnetic tapes?,"Extremely fast, comparable to SSDs for random access.","Moderate, similar to HDDs for both sequential and random access.","Very slow for random access, but comparable to HDDs for sequential reads/writes once positioned.","Always slower than HDDs, even for sequential access.",Faster than main memory for frequently used information.,C,"Magnetic tape access time is slow compared to main memory or drives, especially for random access (~1000x slower than HDDs, ~100,000x slower than SSDs). However, once positioned, tape drives can read/write at speeds comparable to HDDs."
Which of the following is NOT listed as a common type of I/O bus for connecting secondary storage devices?,SATA.,USB.,PCIe.,Fibre Channel (FC).,Ethernet.,E,"The text lists ATA, SATA, eSATA, SAS, USB, FC, and NVMe (which connects to PCIe) as I/O bus types. Ethernet is a networking protocol, not a direct storage I/O bus in this context."
What is NVMe (NVM Express) specifically designed for?,Connecting magnetic tape drives to older systems.,Providing a high-speed interface for Nonvolatile Memory (NVM) devices directly to the system PCI bus.,Enabling wireless communication between storage devices and the host.,Standardizing the connection for removable Hard Disk Drives.,Optimizing the seek time for traditional HDDs.,B,"NVMe is a special fast interface designed for NVM devices, connecting them directly to the system PCI bus to increase throughput and decrease latency."
"In a mass storage I/O operation, what is the role of the device controller?",To place commands into the host controller's memory-mapped I/O ports.,To send commands from the host to the device controller via messages.,To manage and operate the drive hardware itself based on commands received from the host controller.,To transfer data directly from the storage media to the host DRAM via DMA.,To implement wear leveling and garbage collection algorithms for NVM.,C,"The device controller, built into each storage device, operates the drive hardware based on commands received from the host controller."
How are storage devices typically addressed by the operating system and higher-level algorithms?,As a series of physical platter-track-sector tuples.,As a large one-dimensional array of logical blocks.,As individual magnetic charges on the media.,"As separate physical cylinders, each managed independently.",As a two-dimensional grid of sectors.,B,"Storage devices are addressed as large one-dimensional arrays of logical blocks, where each logical block is the smallest unit of transfer and maps to a physical sector or semiconductor page."
"Why is converting a Logical Block Address (LBA) to an old-style disk address (cylinder, track, sector) difficult in modern drives?","LBA only applies to NVM devices, not HDDs.",The number of logical blocks is too large for such conversion.,"Defective sectors are hidden by substituting spare sectors, the number of sectors per track may not be constant, and manufacturers manage the mapping internally.","The LBA scheme is only used for optical drives, not magnetic or solid-state.",Conversion is always straightforward and directly proportional.,C,"Converting LBA to old-style disk addresses is difficult because defective sectors are hidden by substituting spares, the number of sectors per track is not constant on some drives, and disk manufacturers manage the LBA to physical address mapping internally with little direct relationship."
What is 'Constant Linear Velocity' (CLV) and in which devices is it commonly used?,"A method where the disk spins at a constant speed, used in hard disks.","A method where bit density is uniform per track by varying rotational speed, used in CD-ROM and DVD-ROM drives.",A method to keep data rate constant by decreasing bit density from inner to outer tracks.,A technique to optimize seek time in HDDs.,A form of error correction used in NVM devices.,B,"Constant Linear Velocity (CLV) is a device-recording method where bit density is uniform per track, achieved by varying the rotational speed. This method is used in CD-ROM and DVD-ROM drives."
How does 'Constant Angular Velocity' (CAV) operate in hard disks?,The disk rotation speed is varied to keep bit density constant across tracks.,The read-write head maintains a constant velocity relative to the track.,"The medium spins at a constant velocity, and bit density decreases from inner to outer tracks to maintain a constant data rate.",It increases the number of sectors per track from inner to outer zones.,It is a data compression technique applied to disk sectors.,C,"In Constant Angular Velocity (CAV), the disk rotation speed is constant. To maintain a constant data rate, bit density decreases from inner to outer tracks. This method is used in hard disks."
What is a primary responsibility of the Operating System concerning hardware like HDDs?,To physically connect hardware components.,To optimize application specific settings.,To use hardware efficiently.,To exclusively manage user access permissions.,To develop new hardware drivers.,C,The text states that 'OS responsibility: use hardware efficiently.'
What are the two primary goals for the OS when managing Hard Disk Drives (HDDs)?,Maximize rotational latency and minimize seek time.,Minimize access time and maximize data transfer bandwidth.,Maximize disk space utilization and minimize power consumption.,Minimize read errors and maximize write speeds.,Maximize drive longevity and minimize noise levels.,B,"For HDDs, the OS aims to 'minimize access time, maximize data transfer bandwidth.'"
Which two components contribute to the access time for Hard Disk Drives (HDDs) or mechanical storage?,Throughput and latency.,Seek time and rotational latency.,Bandwidth and transfer rate.,Read time and write time.,Cache hit time and cache miss time.,B,Access time for HDDs is composed of 'seek time' and 'rotational latency.'
"In HDD access time, what does ""seek time"" refer to?",The time for the platter to rotate the desired sector to the head.,The time for data to be transferred from the disk to memory.,The time for the device arm to move heads to the desired cylinder.,The time taken for the read/write head to settle on a track.,The total time from request issuance to completion.,C,Seek time is defined as 'time for device arm to move heads to desired cylinder.'
"What is ""rotational latency"" in the context of HDD access time?",The time it takes for the disk controller to process a request.,The time for the device arm to move heads to the desired cylinder.,The additional time for the platter to rotate the desired sector to the head.,The time required to read a block of data after the head is positioned.,The delay caused by network congestion during data transfer.,C,Rotational latency is defined as 'additional time for platter to rotate desired sector to head.'
"How is ""device bandwidth"" defined for storage devices?",The maximum speed at which data can be transferred to/from the device.,The total bytes transferred divided by the total time from the first request to the last transfer completion.,The number of I/O operations per second (IOPS).,The amount of data that can be stored on the device.,The time delay between data requests.,B,Device bandwidth is defined as 'total bytes transferred / total time (first request to last transfer completion).'
How can access time and bandwidth for HDDs be improved according to the text?,By increasing the rotational speed of the platters.,By reducing the physical size of the disk.,By managing the order of storage I/O requests.,By upgrading the memory modules connected to the disk.,By using a higher capacity power supply.,C,"The text states, 'Improve access time and bandwidth: manage order of storage I/O requests.'"
What happens to new I/O requests if the drive/controller is busy?,They are immediately rejected.,They are placed in a queue.,They are redirected to another drive.,They cause a system halt.,They are buffered in CPU registers.,B,The text states: 'Drive/controller busy: new requests placed in queue.'
What is a key benefit of having a queue of pending I/O requests for a device driver?,It simplifies hardware diagnostics.,It allows device drivers to improve performance by ordering requests.,It reduces the need for system calls.,It guarantees immediate service for all requests.,It ensures data integrity through checksums.,B,A 'Queue of requests: allows device drivers to improve performance via ordering (avoiding head seeks).'
How do modern drives typically handle Logical Block Addresses (LBAs) compared to past HDD interfaces?,"Modern drives expose track/head controls to the host, while past interfaces mapped LBAs.","Modern drives perform disk scheduling externally, while past interfaces did it internally.","Modern drives do not expose physical controls, mapping LBAs to physical addresses internally.",Modern drives require manual LBA to physical address mapping by the OS.,"Modern drives rely solely on FCFS scheduling, unlike past interfaces.",C,"The text explains: 'Modern drives: do not expose these controls, map LBA to physical addresses internally.'"
Which of the following is NOT listed as a goal for current disk scheduling?,Fairness.,Timeliness.,Maximizing rotational latency.,Optimizations like bunching sequential reads/writes.,None of the above (all are goals).,C,"Current disk scheduling goals include 'fairness, timeliness, optimizations'. Maximizing rotational latency is an undesirable outcome, not a goal."
What type of I/O do drives perform best with?,Random I/O.,Mixed read/write I/O.,Sequential I/O.,Small block I/O.,Concurrent I/O from many processes.,C,The text states: 'Drives perform best with sequential I/O.'
"On modern drives, how is the physical location of data approximated using Logical Block Addresses (LBAs)?",LBAs are randomly assigned to physical addresses.,Increasing LBAs mean decreasing physical addresses.,Absolute knowledge of physical locations is always possible through LBAs.,"Increasing LBAs generally mean increasing physical addresses, and close LBAs equate to physical proximity.","LBAs only indicate logical file structure, not physical location.",D,The text states: 'Approximation: increasing LBAs mean increasing physical addresses; close LBAs equate to physical proximity.'
What is considered the simplest disk scheduling algorithm?,SCAN.,C-SCAN.,"First-Come, First-Served (FCFS).",Shortest Seek Time First (SSTF).,LOOK.,C,"The text identifies 'First-Come, First-Served (FCFS) or FIFO' as the simplest disk scheduling."
Which statement accurately describes the characteristics of FCFS disk scheduling?,It is intrinsically unfair and provides the fastest service.,It is intrinsically fair but generally does not provide the fastest service.,It prioritizes urgent requests and minimizes head movement.,It guarantees no starvation but can have high overhead.,It is complex to implement but highly efficient for all workloads.,B,FCFS is 'Intrinsically fair' but 'Generally does not provide fastest service.'
"Based on the example provided, what is a primary problem with FCFS disk scheduling?",It causes excessive rotational latency.,It results in wild swings and high total head movement.,"It prioritizes writes over reads, leading to read delays.",It requires complex LBA to physical address mapping.,It is not suitable for multiprogramming systems.,B,The example highlights 'Problem: wild swing' and the high 'Total head movement: 640 cylinders' as issues with FCFS.
Which of the following best describes the SCAN disk scheduling algorithm?,It services requests strictly in the order they arrive.,It services requests based on their proximity to the current head position.,"The disk arm starts at one end, moves to the other servicing requests, then reverses direction upon reaching the end.","The disk arm moves from one end to the other servicing requests, then immediately returns to the beginning without servicing.",It prioritizes requests based on a configured deadline.,C,"The SCAN algorithm is defined as: 'disk arm starts at one end, moves to other, servicing requests. Reaches other end: direction reversed, servicing continues.'"
The SCAN algorithm is also commonly known by what other name?,FIFO algorithm.,LBA algorithm.,Elevator algorithm.,Deadline algorithm.,Shortest Seek Time First.,C,The text states: 'Also called elevator algorithm.'
"In the SCAN algorithm, which type of request is serviced almost immediately?",The request at the very end of the disk.,The request that has been waiting the longest.,The request just in front of the head.,The request that is furthest from the head.,All requests are serviced with equal immediacy.,C,The text mentions: 'Request just in front of head: serviced almost immediately.'
"In the SCAN algorithm, when does a request ""just behind the head"" get serviced?",Immediately after the current request.,"After the arm moves to the end, reverses, and comes back.",Only if it is a read request.,Only if there are no other requests in front of the head.,"Never, due to starvation.",B,"The text states: 'Request just behind head: waits until arm moves to end, reverses, comes back.'"
What is the defining characteristic of Circular SCAN (C-SCAN) scheduling that distinguishes it from SCAN?,It services requests in a fixed circular order without reversing direction.,It prioritizes requests based on their age.,It only services requests on its outward trip and immediately returns to the beginning without servicing.,"It only services read requests, ignoring writes.",It moves the head randomly to avoid starvation.,C,"C-SCAN 'Moves head from one end to other, servicing requests. Reaches other end: immediately returns to beginning of disk, no servicing on return trip.'"
How does C-SCAN conceptually treat the cylinders of a disk?,As a linear list.,As a random collection.,As a circular list.,As a priority queue.,As a stack.,C,C-SCAN 'Essentially treats cylinders as circular list.'
"What happens if a disk queue has only one outstanding request, regarding disk scheduling algorithms?",SCAN and C-SCAN perform significantly better.,All algorithms behave like FCFS.,The request is always delayed.,Only specialized algorithms like deadline scheduler can handle it.,The system enters an idle state until more requests arrive.,B,The text provides an example: 'queue with one outstanding request => all algorithms behave like FCFS.'
Which two disk scheduling algorithms are generally better for heavy disk loads and less likely to cause starvation compared to FCFS?,FCFS and SSTF.,SCAN and C-SCAN.,NOOP and CFQ.,FIFO and LBA.,Read-priority and Write-priority.,B,"The text states: 'SCAN and C-SCAN: better for heavy disk load, less likely to cause starvation.'"
"What problem did the Linux `deadline` scheduler specifically aim to address, which was still possible with SCAN and C-SCAN?",High CPU utilization.,Excessive rotational latency.,Starvation.,Inefficient sequential I/O.,Difficulty in mapping LBAs.,C,The text states: 'Starvation still possible: Linux created deadline scheduler.'
How does the Linux `deadline` scheduler organize its I/O requests for reads and writes?,It maintains a single queue for all requests sorted by LBA.,"It maintains separate read and write queues, giving reads priority.",It only processes requests based on their arrival time.,It creates a queue for each individual process.,It merges read and write requests into a single FCFS queue.,B,The deadline scheduler 'Maintains separate read and write queues. Gives reads priority (processes more likely to block on read).'
How does the `deadline` scheduler incorporate a C-SCAN-like mechanism?,By moving the head back and forth continuously.,By returning to the start of the disk after servicing without processing.,By sorting its LBA-ordered queues and sending requests in batch in LBA order.,By only servicing requests older than a certain age.,By maintaining a real-time queue.,C,The deadline scheduler's 'Queues sorted in LBA order (implements C-SCAN). All I/O requests sent in batch in LBA order.'
How does the Linux `deadline` scheduler prevent long-term starvation of FCFS requests?,It immediately processes all FCFS requests before any LBA-sorted requests.,It checks if FCFS requests are older than a configured age and prioritizes them for the next batch.,It merges FCFS and LBA queues into a single optimized queue.,It assigns higher priority to FCFS requests by default.,It only allows a fixed number of LBA-sorted requests per batch.,B,The deadline scheduler 'Checks after each batch: FCFS requests older than configured age (default 500 ms)? If so: LBA queue (read/write) with old request selected for next batch.'
For which type of systems and storage is the NOOP I/O scheduler preferred in Linux?,Systems with high rotational latency HDDs.,CPU-bound systems using fast storage like NVM devices.,Servers primarily handling large sequential write operations.,Desktop systems requiring low power consumption.,Systems with a mix of many small random I/O requests.,B,The NOOP scheduler is 'preferred for CPU-bound systems using fast storage (NVM devices).'
The Completely Fair Queueing (CFQ) scheduler is the default for what type of drives in Linux?,SCSI drives.,NVMe drives.,SATA drives.,USB flash drives.,Network drives.,C,CFQ is the 'default for SATA drives.'
What are the three types of queues maintained by the Completely Fair Queueing (CFQ) scheduler?,"Read, Write, and System.","Input, Output, and Error.","Real time, Best effort, and Idle.","High priority, Medium priority, and Low priority.","FCFS, SCAN, and C-SCAN.",C,"CFQ maintains three queues: 'real time, best effort (default), idle.'"
"What is the priority order among CFQ's queues, and what is a potential issue despite this system?",Idle > Best effort > Real time; starvation is impossible.,Best effort > Real time > Idle; starvation is impossible.,Real time > Best effort > Idle; starvation is possible.,Idle > Real time > Best effort; starvation is possible.,All queues have equal priority; no starvation.,C,CFQ's queues have 'exclusive priority (real time > best effort > idle); starvation possible.'
