Front,Back,Reversible
What are the OS responsibilities in storage device management?,"Drive initialization, booting from drive, and bad-block recovery.",y
What is the initial state of a new storage device before data can be stored?,"A blank slate (e.g., platter of magnetic material, uninitialized semiconductor cells).",y
What must happen to a storage device before data can be stored on it?,"It must be divided into sectors so the controller can read/write. For NVM, pages must be initialized and an FTL created.",y
Define: low-level formatting,Initialization of a storage medium for computer storage. It fills the device with special data structures for each storage location.,y
Define: physical formatting,Initialization of a storage medium for computer storage. It fills the device with special data structures for each storage location.,y
What components make up the special data structure for each storage location (sector/page) created during low-level formatting?,"Header, data area, and trailer.",y
What information do the header and trailer contain in a storage data structure?,"Controller information (sector/page number, error detection/correction code).",y
When is low-level formatting typically performed on most drives?,At the factory during the manufacturing process.,y
What does factory low-level formatting enable the manufacturer to do?,Test the device and initialize mapping from logical block numbers to defect-free sectors/pages.,y
What are common sector sizes for storage devices?,512 bytes and 4KB.,y
What is the advantage of using a larger sector size?,"Fewer sectors per track, fewer headers/trailers, and more space available for user data.",y
What are the three steps an OS needs to perform to record its own data structures on a storage device?,"1. Partitioning, 2. Volume creation and management, 3. Logical formatting (or creation of a file system).",y
Define: partition,"Logical segregation of storage space into multiple areas, treated by the OS as separate devices.",y
Provide examples of how partitions can be used.,"One partition for OS executable code (file system), another for swap space, and another for user files.",y
Where is partition information stored on a storage device?,In a fixed format at a fixed location on the device.,y
What Linux command is used to manage partitions?,`fdisk`.,y
What does the OS do after recognizing a device and reading its partition information?,"It creates device entries (e.g., `/dev` in Linux).",y
What configuration file tells Linux to mount partitions?,`/etc/fstab`.,y
Define: mounting,Making a file system available for use by logically attaching it to the root file system.,y
Define: volume,"A container of storage; often a device with a mountable file system. Can be implicit (file system directly in a partition) or explicit (e.g., multiple partitions/devices in a RAID set).",y
What Linux tool provides volume management features?,`lvm2`.,y
What file system integrates volume management?,ZFS.,y
Define: logical formatting,"Creation of a file system in a volume to ready it for use, where the OS stores initial file-system data structures onto the device.",y
What initial data structures does the OS store during logical formatting?,Maps of free/allocated space and an initial empty directory.,y
How does partition information indicate if a partition contains a bootable file system?,It indicates if the partition contains the OS.,y
What happens once a partition labeled for boot is mounted?,"It is used to establish the root of the file system, and device links for all other devices/partitions are created.",y
What constitutes a computer's 'file system'?,All mounted volumes.,y
How does Windows name its volumes?,"Separately via letters (e.g., C:, D:, E:).",y
How are file systems typically mounted in Linux?,"The boot file system is mounted at boot, and other file systems are mounted within the tree structure.",y
Define: cluster,"In Windows storage, a power-of-2 number of disk sectors collected for I/O optimization. More broadly, file systems group blocks into larger chunks called clusters.",y
How does device I/O differ from file system I/O?,Device I/O is via blocks; file system I/O is via clusters.,y
What is the benefit of grouping blocks into clusters for file system I/O?,Assures more sequential-access and fewer random-access characteristics.,y
What strategy do file systems use to reduce HDD head seeks?,They group file contents near metadata.,y
Define: raw disk,Direct access to a secondary storage device as an array of blocks with no file system. This allows special programs to use a partition as a large sequential array of logical blocks.,y
Define: raw I/O,"Input/output operations performed directly on a raw disk, bypassing file-system services.",y
What are common use cases for raw disk and raw I/O?,Swap space and some database systems (to control exact record location).,y
What file-system services are bypassed by raw I/O?,"Buffer cache, file locking, prefetching, space allocation, file names, and directories.",y
What is the purpose of allowing applications to use raw I/O?,It allows them to implement their own special-purpose storage services on a raw partition.,y
How does Linux provide similar access to raw I/O?,Via the `DIRECT` flag to the `open()` system call.,y
Define: bootstrap,"The steps taken at computer power-on to bring the system to full operation, starting with an initial program called the bootstrap loader.",y
Where is the initial bootstrap loader typically stored?,"In NVM flash memory firmware on the motherboard, mapped to a known memory location.",y
