Front,Back
What is the primary role of mass storage in computer systems?,To permanently store files and data.
What types of secondary storage do modern computers primarily use?,Hard disk drives (HDDs) and nonvolatile memory (NVM) devices.
List common variations among secondary storage devices.,"Transfer (character at a time vs. block), Access (sequentially vs. randomly), Data transfer (synchronously vs. asynchronously), Usage (dedicated vs. shared), Read-only vs. read-write, Speed (slowest major component)."
What are the key goals of an OS I/O subsystem?,"Provide the simplest interface possible to the rest of the system, and optimize I/O for maximum concurrency (devices are performance bottleneck)."
What is 'mass storage'?,The nonvolatile storage system of a computer.
What is the main mass-storage system?,Secondary storage (HDDs and NVM devices).
What types of tertiary storage exist for some systems?,"Slower, larger storage like magnetic tape, optical disks, and cloud storage."
What is the general term for all types of non-volatile storage?,"Non-volatile storage (NVS) or ""storage drives""."
hard disk drive (HDD),"Secondary storage device based on mechanical components (spinning magnetic media platters, moving read-write heads)."
nonvolatile memory (NVM),Persistent storage based on circuits and electric charges.
How is information stored and read on an HDD platter?,Information is stored by recording magnetically and read by detecting magnetic patterns.
platter,HDD component with a magnetic media layer for holding charges; flat circular shape (like a CD).
disk arm,"HDD component holding read-write heads, which moves all heads as a unit over cylinders of platters."
track,"On an HDD platter, the medium under the read-write head during platter rotation; logically a circular division of the platter surface."
sectors,"On an HDD platter, fixed-size sections that subdivide tracks."
cylinder,"On an HDD, the set of tracks under read-write heads on all platters in the device at a given arm position."
What is the smallest unit of transfer on an HDD?,A sector.
"What was the common sector size for HDDs until around 2010, and what is it migrating to?","Commonly 512 bytes until ~2010, then migrating to 4KB."
What are common rotation speeds (RPM) for HDD motors?,"5,400, 7,200, 10,000, 15,000 RPM."
transfer rate,The rate at which data flows between the drive and the computer.
positioning time,"On an HDD, the time for the read-write head to position over the desired track; also known as random-access time."
What are the two parts of positioning time (random-access time) for an HDD?,Seek time and rotational latency.
seek time,"On an HDD, the time for the disk arm to move the read-write head to the desired cylinder."
rotational latency,"On an HDD, the time for the desired sector to rotate to the disk head once the head is over the desired cylinder."
What are typical performance figures for modern disks in terms of transfer rate and latency?,"Tens to hundreds of MB/sec transfer, several milliseconds seek/rotational latency."
How do drive controllers improve HDD performance?,By using DRAM buffers.
head crash,"On an HDD, a mechanical problem where the read-write head touches the platter surface."
What is the consequence of a head crash on an HDD?,"It's normally irreparable, the entire disk is replaced, and data is lost unless backed up or RAID protected."
effective transfer rate,"The actual, measured transfer rate of data between two devices, which is typically lower than published rates."
What are NVM devices composed of?,A controller and flash NAND die semiconductor chips that store data.
solid-state disk (SSD),A disk-drive-like storage device using flash-memory-based nonvolatile memory.
USB drive,Nonvolatile memory in the form of a device that plugs into a USB port (also known as thumb drive/flash drive).
What are the advantages of NVM devices over HDDs?,"They are more reliable (no moving parts), faster (no seek/rotational latency), and consume less power."
What are the disadvantages of NVM devices compared to larger HDDs?,They are more expensive per MB and have less capacity.
