Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"Which of the following is NOT one of the three primary ways computers access secondary storage, as described in the text?",Host-attached storage,Network-attached storage,Cloud storage,Direct-to-CPU storage,All of the above are listed ways.,D,"The text states that computers access secondary storage in three ways: host-attached, network-attached, and cloud storage. Direct-to-CPU storage is not mentioned as a primary access method."
How is host-attached storage primarily accessed?,Through a remote-procedure-call (RPC) interface over a network,Via an API over the Internet,Through local I/O ports,Using a private storage-area network (SAN),By sending logical blocks across a general IP network,C,Host-attached storage is defined as being 'accessed through local I/O ports'.
What is the most common local I/O port mentioned for host-attached storage?,USB,FireWire,Thunderbolt,SATA,Ethernet,D,The text states that 'most common: SATA' when referring to local I/O ports for host-attached storage.
"Which of the following is a high-speed serial architecture, often using optical fiber or copper cable, beneficial for high-end workstations and servers needing more or shared host-attached storage?",Ethernet,Fibre Channel (FC),SATA Express,USB 3.0,InfiniBand (IB),B,Fibre Channel (FC) is described as a 'high-speed serial architecture (optical fiber or copper cable)' used when high-end workstations/servers need more/shared storage.
What is a benefit of Fibre Channel (FC) as described in the text?,It operates exclusively over wireless connections for maximum flexibility.,"It is a low-cost, low-speed solution ideal for personal computers.","It provides a large address space and switched communication, allowing multiple hosts/storage devices to attach to the fabric.",It primarily focuses on providing file-level access using standard IP protocols.,It uses a general IP network to carry SCSI protocol for simplicity.,C,"The text lists FC benefits as: 'large address space, switched communication, multiple hosts/storage devices attach to fabric (flexibility in I/O communication)'."
Which statement accurately describes how I/O commands are directed for host-attached storage?,They send parts of files across a network using RPC interfaces.,"They are API-based, designed for high latency WAN connections.",They are reads/writes of logical data blocks directed to specifically identified storage units.,"They utilize a private network with storage protocols, bypassing the data network.","They only support traditional HDD devices, not NVM.",C,The text states: 'I/O commands for host-attached storage: reads/writes of logical data blocks directed to specifically identified storage units (bus ID or target logical unit)'.
What defines Network-attached storage (NAS)?,Storage accessed through local I/O ports on the host computer.,Storage accessed via an API over the Internet to a remote data center.,Storage accessed from a computer over a network.,A private network connecting servers and storage units using storage protocols.,A dedicated high-speed bus architecture for direct server-to-storage links.,C,Network-attached storage (NAS) is defined as providing 'access to storage across a network'.
"Which of the following are common remote-procedure-call (RPC) interfaces used by clients to access NAS, as mentioned in the text?",HTTP and FTP,SSH and Telnet,NFS (UNIX/Linux) and CIFS (Windows),SMTP and POP3,FC and iSCSI,C,"Clients access NAS via RPC interface: 'NFS (UNIX/Linux), CIFS (Windows)'."
What is a major downside of Network-attached storage (NAS) compared to some direct-attached storage?,It lacks file sharing capabilities between hosts.,"It requires complex, custom hardware for implementation.",It is generally less efficient and offers lower performance.,It can only be accessed by a single client at a time.,It relies exclusively on Fibre Channel for connectivity.,C,"The text mentions a 'Downside: less efficient, lower performance than some direct-attached storage'."
Which network-attached storage protocol uses an IP network to carry the SCSI protocol?,NFS,CIFS,iSCSI,Fibre Channel (FC),InfiniBand (IB),C,The text identifies 'iSCSI' as the 'latest network-attached storage protocol' that 'Uses IP network protocol to carry SCSI protocol'.
How does iSCSI differ from NFS/CIFS in terms of how it presents storage and transfers data?,"iSCSI presents a file system and sends parts of files, while NFS/CIFS sends logical blocks.","iSCSI sends logical blocks across the network, while NFS/CIFS presents a file system and sends parts of files.","iSCSI uses optical fiber, while NFS/CIFS uses copper cables.","iSCSI is only for local networks, while NFS/CIFS is for wide-area networks.","iSCSI is API-based, while NFS/CIFS uses traditional file sharing protocols.",B,"The text states: 'NFS/CIFS: present file system, send parts of files. iSCSI: sends logical blocks across network, client uses blocks directly or creates file system'."
What is a key distinction of Cloud storage compared to Network-attached storage (NAS)?,"Cloud storage is accessed via local I/O ports, while NAS uses network protocols.","Cloud storage is accessed over the Internet/WAN to a remote data center, unlike NAS which is usually over a LAN.","Cloud storage typically uses NFS/CIFS for access, while NAS is API-based.","Cloud storage primarily focuses on block-level access, while NAS is file-level.",Cloud storage does not require any network connectivity.,B,The text states: 'Unlike NAS: accessed over Internet/WAN to remote data center (storage for fee/free)' for cloud storage.
"How is cloud storage typically accessed by programs, contrasting with how NAS is accessed?","Cloud storage uses traditional file system protocols like NFS/CIFS, while NAS uses proprietary APIs.","Cloud storage is accessed as another file system or raw block device, while NAS is API-based.","Cloud storage uses standard TCP/UDP over IP, while NAS uses specialized storage protocols.","Cloud storage is API based; programs use APIs to access, while NAS integrates existing protocols (CIFS/NFS or iSCSI).","Cloud storage bypasses the OS for direct hardware access, unlike NAS.",D,The text clarifies: 'NAS: accessed as another file system (CIFS/NFS) or raw block device (iSCSI). OS integrates these protocols. Cloud storage: API based; programs use APIs to access.'
What is the primary reason given for why cloud storage uses APIs instead of existing LAN protocols like NFS/CIFS?,APIs are less secure than traditional LAN protocols.,Existing protocols are too complex for cloud environments.,WAN latency and failure scenarios make LAN protocols unsuitable.,"APIs allow for direct integration with hardware, bypassing software layers.",Cloud providers prefer to lock users into their proprietary systems.,C,The text states: 'Reason for APIs vs. existing protocols: WAN latency and failure scenarios'.
