Front,Back,Reversible
What does it mean that attaching many drives to a computer is economically feasible?,It creates opportunities for improving data read/write rate through parallel operation and improving data storage reliability through redundant information on multiple drives.,y
What is the benefit of redundant information on multiple drives?,Failure of one drive does not lead to data loss.,y
Define Redundant Arrays of Independent Disks (RAID).,"RAID is a disk organization technique where two or more storage devices work together, usually with protection from device failure.",y
What was the primary use of RAIDs in the past?,"RAIDs were used as a cost-effective alternative to large, expensive disks by utilizing arrays of small, cheap disks.",y
What are the primary uses of RAIDs today?,RAIDs are used for higher reliability and data-transfer rates.,y
"What does the 'I' in RAID stand for today, and what did it stand for in the past?","Today, 'I' stands for 'independent'. In the past, it stood for 'inexpensive'.",y
How does the chance of disk failure in a multi-disk RAID array compare to a single disk?,The chance of some disk failing in an array of N disks is greater than the chance of a single disk failing.,y
Define Mean Time Between Failures (MTBF).,MTBF is the statistical mean time a device is expected to work correctly before failing.,y
Why is storing only one copy of data on a disk array unacceptable?,Each disk failure would lead to significant data loss.,y
What is the solution to prevent data loss when a disk fails in a multi-disk system?,"Introduce redundancy by storing extra information not normally needed, which is used to rebuild lost information if a disk fails.",y
Are RAIDs applicable to NVM devices?,"Yes, RAIDs are applicable to NVM (Non-Volatile Memory) devices, which are less likely to fail than HDDs because they have no moving parts.",y
What is the simplest and most expensive redundancy technique?,Mirroring.,y
Define mirroring.,"Mirroring is a storage RAID protection technique where two physical devices contain the same content; if one fails, data is read from the other.",y
What is a mirrored volume?,A mirrored volume is a volume in which two devices are mirrored.,y
When does data loss occur in a mirrored volume?,Data is lost only if the second drive fails before the first failed drive is replaced and its data restored.,y
What factors determine the Mean Time Between Failures (MTBF) of a mirrored volume (where failure means data loss)?,The MTBF of individual drives and the mean time to repair (average time to replace a failed drive and restore data).,y
Define Mean Time To Repair.,Mean time to repair is the statistical mean of time to repair a device.,y
Define Mean Time To Data Loss.,Mean time to data loss is the statistical mean of time until data is lost.,y
What are some reasons why drive failures might not be independent in a RAID system?,"Power failures, natural disasters, and manufacturing defects can cause correlated failures. Additionally, as drives age, their probability of failure grows, increasing the chance of a second failure during repair.",y
What is a particular concern regarding power failures in RAID systems with writes in progress?,"If writes are in progress to the same block on both drives and power fails before both are written, it can lead to an inconsistent state.",y
How can the issue of inconsistent state during power failures in RAID systems be resolved?,"One solution is to write one copy first, then the next. Another is to add a solid-state nonvolatile cache to the RAID array, assuming the cache has its own error protection/correction (ECC, mirroring).",y
How does parallel access to multiple drives improve performance in RAID?,"It improves the overall performance, for example, by doubling the read request rate in mirroring (reads can be sent to either drive).",y
How does mirroring affect the transfer rate per read versus the reads per unit time?,"The transfer rate per read remains the same as a single drive, but the number of reads per unit time is doubled because requests can be sent to either drive.",y
How do multiple drives improve transfer rate beyond mirroring?,They improve transfer rate by striping data.,y
Define data striping.,Data striping is the splitting of data across multiple devices.,y
What is the simplest form of data striping?,Bit-level striping.,y
Define bit-level striping.,"Bit-level striping is the splitting of data at the bit level, where each bit is stored on a separate device.",y
How does an 8-drive array with bit-level striping function as a single logical drive?,It is treated as a single drive with 8 times the normal sector size and 8 times the access rate.,y
Define block-level striping.,"Block-level striping is the splitting of data at the block level, where each block is stored on a separate device.",y
What is the most commonly available form of data striping?,Block-level striping.,y
