Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which of the following best describes 'memory mapping' as an alternative file access method?,A method that exclusively uses `read()` and `write()` system calls for performance.,A technique to directly access secondary storage without involving the CPU.,Treating file I/O as routine memory accesses using virtual memory techniques.,A way to cache entire files in RAM permanently.,A proprietary method specific to the Windows operating system for file management.,C,"Memory mapping treats file I/O as routine memory accesses by mapping disk blocks to pages in memory, leveraging virtual memory techniques."
What is a primary benefit of using memory-mapped files?,It guarantees immediate persistence of all changes to secondary storage.,It always reduces the amount of physical memory required for file operations.,It can lead to significant performance increases.,It eliminates the need for any form of synchronization between processes.,"It restricts file access to a single process at a time, enhancing security.",C,The text explicitly states that memory mapping 'Can lead to significant performance increases' due to avoiding system call overhead.
"In the basic mechanism of memory-mapped files, what typically happens upon the initial access to a mapped file?",The entire file is loaded into physical memory.,A `read()` system call is immediately executed.,A demand paging operation and a page fault occur.,The file is converted into a temporary swap file.,The operating system prevents access until the file is closed and reopened.,C,Initial access to a memory-mapped file triggers 'demand paging' and a 'page fault' to bring the relevant portion into memory.
"When a page fault occurs during the initial access to a memory-mapped file, what unit of the file is typically read into a physical page?",The entire file.,A byte at a time.,A kilobyte portion.,A page-sized portion.,Only the first block of the file.,D,"Upon a page fault, a 'page-sized portion of file' is read into a physical page."
How are subsequent reads and writes to a memory-mapped file handled after the initial access?,Through continuous `read()` and `write()` system calls.,As routine memory accesses.,By always swapping data to secondary storage first.,Only by specialized hardware accelerators.,They require re-mapping the file for each operation.,B,"After the initial page-in, 'subsequent reads/writes: handled as routine memory accesses'."
What specific overhead does memory mapping file access help to avoid?,Virtual memory management overhead.,The overhead of context switching between user and kernel mode.,The overhead associated with `read()` and `write()` system calls.,The overhead of disk block allocation.,The overhead of inter-process communication (IPC) mechanisms.,C,Memory mapping 'Simplifies and speeds up file access by avoiding `read()` and `write()` system call overhead'.
When are updates to a memory-mapped file generally written back to secondary storage?,Immediately after every write operation.,Only when the operating system shuts down.,When the file is explicitly closed.,"Never, unless a special 'flush' command is issued.","After a fixed time interval, regardless of file state.",C,"The text states: 'Generally, updates written back when file closed'."
What happens to intermediate changes in a memory-mapped file under conditions of 'memory pressure'?,They are immediately discarded to free up memory.,They are forced to be written back to secondary storage immediately.,They may be moved to swap space.,They cause a system crash due to resource exhaustion.,They are buffered indefinitely in a dedicated high-priority queue.,C,"'Under memory pressure, intermediate changes may go to swap space'."
"Which operating system is mentioned as an example of one that memory-maps all file I/O, even standard calls, to kernel address space?",Linux,Windows,macOS,Solaris,FreeBSD,D,"The text provides Solaris as an example: 'Some OS (e.g., Solaris) memory-map all file I/O, even with standard calls, to kernel address space'."
What is a key benefit of multiple processes mapping the same file concurrently?,It automatically provides transaction-level atomicity.,It enables efficient data sharing between them.,It isolates each process's view of the file completely.,It prevents any process from writing to the file.,It forces all processes to use `read()` and `write()` system calls.,B,'Multiple processes can map same file concurrently for data sharing'.
"When multiple processes map the same section of a file, what is the visibility characteristic of writes made by one process?",Writes are only visible to the process that performed them.,Writes are visible to others only after the file is closed and reopened.,Writes are immediately visible to other processes mapping the same section.,Writes require explicit flushing to be visible to other processes.,Writes are buffered and never directly visible to other processes.,C,'Writes by one process visible to others mapping same section'.
How is shared access to a memory-mapped file typically implemented at a lower level?,By duplicating the file for each process.,By assigning each process a unique set of physical pages.,By a virtual memory map pointing to the same physical page.,By using a network file system for synchronization.,By requiring kernel intervention for every memory access.,C,Shared access 'Implemented by virtual memory map pointing to same physical page'.
What memory management feature do memory-mapped files support that allows processes to share read-only data but get their own copies for modification?,Demand paging.,Page replacement algorithms.,Copy-on-write.,Pre-fetching.,Memory defragmentation.,C,"Memory-mapped files 'Supports copy-on-write: processes share read-only, get own copies for modification'."
"When multiple processes share data via memory-mapped files, what mechanism should they use for coordination?",Remote procedure calls (RPC).,Message passing.,Pipes.,Mutual exclusion.,Broadcast messages.,D,'Processes use mutual exclusion for shared data coordination'.
What is a common way for shared memory mechanisms to be implemented in operating systems?,Using dedicated hardware registers.,Through network sockets.,By memory mapping files.,Via inter-process queues.,"As a separate, unpaged memory region.",C,'Shared memory often implemented by memory mapping files'.
"According to the Windows API outline, what is the first step when creating shared memory using memory-mapped files?",Establish a view of the mapped file.,Create a file mapping for the file.,Open the file using `CreateFile()`.,Call `UnmapViewOfFile()`.,Define a named shared-memory object.,B,The outline lists 'Create a file mapping for the file' as the first step.
