Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"What is the primary function of a directory in a file system, as defined in the provided text?",To store the actual data content of files.,To manage disk space allocation for files.,To serve as a symbol table translating file names to file control blocks.,To provide an interface for user authentication.,To encrypt file contents for security.,C,The text defines a directory as a 'symbol table translating file names to file control blocks'.
Which of the following operations is NOT listed as a required ability for directory organization?,Insert entries,Delete entries,Search for a named entry,Compress entries,List all entries,D,"The text lists 'Insert entries', 'Delete entries', 'Search for named entry', and 'List all entries' as required abilities. 'Compress entries' is not mentioned."
"When a file is deleted from a directory, what potential issue is explicitly mentioned in the text that might require defragmentation?",The file's data is immediately overwritten by new data.,The file's permissions are reset to default.,It may leave a 'hole'.,The file's inode is permanently locked.,All hard links to the file are automatically removed.,C,"The text states that 'Delete a file: Remove file from directory; may leave hole, defragmentation needed'."
What is the primary purpose of the 'Traverse the file system' operation on a directory?,To change file permissions for all files.,To access every directory/file for operations like backup or space release.,To optimize file access speeds.,To synchronize file data across multiple servers.,To create new directory entries automatically.,B,"The text states, 'Traverse the file system: Access every directory/file; for backup or space release'."
"Which of the following is a primary limitation of a single-level directory structure, especially for multiple users?",It requires excessive memory to store file names.,It makes it difficult to implement file sharing.,"Files must have unique names, leading to name collisions.",It does not support deletion of files.,It is too complex to understand for new users.,C,"The text states, 'Files must have unique names (name collision problem for multiple users)' as a limitation of single-level directories."
What characteristic best describes the simplicity of a single-level directory structure?,It supports complex access control lists.,It easily integrates with network file systems.,All files reside in the same directory.,It employs advanced indexing algorithms.,It allows for hierarchical organization.,C,The text describes the single-level directory as the 'Simplest structure: all files in same directory'.
"In a two-level directory system, what does MFD stand for and what is its primary function?",Main File Database; stores all file data.,Master File Directory; contains user authentication information.,"Main File Directory; indexed by user name/account, points to UFD.",Metadata File Descriptor; describes file attributes.,Modular File Directory; manages distributed file systems.,C,"The text defines MFD as 'System's main file directory (MFD) indexed by user name/account, points to UFD'."
How does a two-level directory system address the name collision problem found in single-level directories?,By automatically renaming files to unique identifiers.,By limiting the total number of files a user can create.,"By allowing different users to have the same file names, unique within their respective UFDs.",By requiring users to specify a full path to every file.,By disallowing multiple users from accessing the same system.,C,"The text states, 'Different users can have same file names (unique within each UFD)', which resolves the name collision problem."
What is a significant disadvantage of the two-level directory structure regarding user interaction and collaboration?,It requires all users to be administrators.,"It isolates users, making cooperation difficult.",It limits the size of individual user files.,It consumes excessive CPU resources for directory lookups.,It does not support executable files.,B,The text lists 'Isolates users; disadvantage for cooperation' as a disadvantage.
"In a two-level directory system, if User A wants to access a file named `report.txt` belonging to User B, how must User A specify the file?",By only specifying `report.txt` in their own UFD.,By changing their current directory to User B's UFD.,"By specifying User B's name and the file name, forming a path name like `/userb/report.txt`.",By requesting administrator approval for access.,By using a relative path name from the root.,C,"The text states, 'To access another user's file, must specify user name and file name. User name + file name = path name. Example: `/userb/test.txt`'."
"To avoid wasting space by copying system files to every User File Directory (UFD) in a two-level directory system, what solution is proposed?",System files are stored directly in the Main File Directory (MFD).,System files are made read-only for all users.,"A special user directory (e.g., user 0) is created for system files.",System files are compressed and linked to UFDs.,System files are accessed via a network share.,C,"The text suggests, 'Solution: special user directory for system files (e.g., user 0)' to prevent space waste."
What is a 'search path' in the context of a two-level directory system?,The sequence of users authorized to access a specific file.,The predefined route taken by the OS to find user directories.,The sequence of directories searched by the OS for an executable file when a command is executed.,The order in which files within a UFD are indexed.,The historical log of all file searches performed.,C,The text defines 'search path' as the 'Sequence of directories searched for an executable file when a command is executed'.
"What is the most common directory structure, described as a generalization of the two-level directory to an arbitrary height?",Single-level directory,Flat-file directory,Tree-structured directory,Acyclic-graph directory,General graph directory,C,"The text states, 'Generalization of two-level directory to arbitrary height. Most common directory structure' refers to the tree-structured directory."
How is a directory (or subdirectory) often distinguished from a regular file in a tree-structured directory system?,By a unique file extension.,By its file size being zero.,"By a specific bit in its entry (e.g., 0 for file, 1 for subdirectory).",By being stored in a different physical location on disk.,By having read-only permissions by default.,C,"The text states, 'Directory often treated as special file; one bit defines entry as file (0) or subdirectory (1)'."
"When a process references a file in a tree-structured directory system, where does the operating system typically search first if the file is not specified with a full path?",The root directory.,The user's home directory.,The process's current directory.,A system-wide default directory.,The directory where the executable file resides.,C,"The text states, 'Each process has a current directory. Reference to file: current directory searched'."
