Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"What is the primary requirement for information stored in files, as stated in the text?",It must be compressed before storage.,It must be encrypted for security.,It must be accessed and read into memory.,It must be validated by the operating system.,It must be converted into a proprietary format.,C,The text explicitly states: 'Files store information; must be accessed and read into memory.'
"According to the text, what constitutes a major design problem regarding file access methods?",Ensuring data integrity during access.,Optimizing file compression algorithms.,Choosing the right method for a specific system.,Implementing distributed file locking mechanisms.,Deciding on the appropriate file system structure.,C,The text states that 'Choosing right method: major design problem.'
Which file access method is described as the simplest?,Direct access,Indexed access,Sequential access,Relative access,Hashed access,C,The text introduces 'Sequential access' as the 'Simplest access method'.
How is information typically processed when using sequential access?,"In a random order, based on user requests.","In parallel, using multiple threads.","In order, one record after another.","In reverse order, from end to beginning.",Based on an internal index structure.,C,"The text describes sequential access as processing 'Information processed in order, one record after another'."
Which types of applications are most commonly associated with sequential file access?,Database management systems,Airline reservation systems,Editors and compilers,Graphics rendering software,Real-time operating systems,C,"The text identifies sequential access as 'Most common (editors, compilers)'."
"In sequential access, what is the effect of the `read_next()` operation?",It reads a specific record by number.,It moves the file pointer to the beginning.,It reads the next portion of information and automatically advances the file pointer.,It appends new data to the end of the file.,It skips a specified number of records forward.,C,"The text states that `read_next()` 'reads next portion, automatically advances file pointer'."
What does the `write_next()` operation accomplish in sequential file access?,It overwrites a record at a specified position.,It creates a new file for writing.,It appends data to the end of the file and advances the pointer to the end of the newly written material.,It writes data to a temporary buffer.,It writes data only if the file pointer is at the beginning.,C,"The text specifies that `write_next()` 'appends to end, advances to end of newly written material'."
Is it possible to reset a file to its beginning when using sequential access?,"No, once read, a sequential file cannot be reset.",Only if the file is very small.,"Yes, the file can be reset to the beginning.",Only if the system supports skipping backward `n` records.,Only by closing and reopening the file.,C,The text states: 'File can be reset to beginning.'
The concept of sequential access is primarily based on which storage device model?,Disk drive,Solid-state drive,Random-access memory (RAM),Tape model of file,Optical disc,D,The text mentions that sequential access is 'Based on tape model of file'.
On which types of devices can sequential access be performed?,Only sequential-access devices.,Only random-access devices.,Both sequential-access and random-access devices.,Network-attached storage only.,Only devices with fixed-length logical records.,C,The text states: 'Works on sequential-access devices and random-access ones'.
"Besides 'direct access', what is another name for this file access method?",Indexed access,Hashed access,Parallel access,Relative access,Stream access,D,The text introduces 'direct access (or relative access)' as another method.
"In direct access, how are file contents typically structured?",As variable-length data streams.,As unformatted raw bytes.,As fixed-length logical records.,As a hierarchical directory tree.,As dynamically sized blocks.,C,The text states that a file in direct access consists of 'fixed-length logical records'.
What is the characteristic of read/write operations in direct access regarding order?,Records must be read/written strictly in order.,Records are read/written rapidly in no particular order.,Records are written sequentially but read randomly.,Records are read sequentially but written randomly.,Order depends on the file's creation time.,B,The text explicitly states: 'Programs read/write records rapidly in no particular order' and 'No restrictions on read/write order'.
Direct access is primarily based on which storage device model?,Tape model,Disk model of file,Printer spooler,Network share,Cloud storage,B,The text states that direct access is 'Based on disk model of file (disks allow random access)'.
How is a file viewed when using direct access?,As an unstructured collection of bytes.,As a continuous stream of characters.,As a numbered sequence of blocks/records.,As a hierarchical tree of directories.,"As a single, large block of data.",C,The text specifies: 'File viewed as numbered sequence of blocks/records'.
For what kind of applications is direct access particularly useful?,Text editing and compilation.,Archiving and backup solutions.,"Immediate access to large amounts of information (e.g., databases).",Streaming audio and video content.,Batch processing of financial transactions.,C,"The text highlights its 'Great use for immediate access to large info amounts (e.g., databases)'."
What additional parameter is included in direct-access file operations like `read()` and `write()` compared to sequential access?,File path.,Data buffer size.,Block number.,User permissions.,Timestamp.,C,"The text specifies: 'Direct-access file operations: include block number as parameter. `read(n)`, `write(n)` instead of `read_next()`, `write_next()`'."
"If `read_next()` and `write_next()` are retained in a direct access system, what additional operation might be provided to allow random access?",`skip_to_end()`,`reset_file()`,`position_file(n)`,`get_current_position()`,`seek_relative()`,C,"The text states an 'Alternative: retain `read_next()`, `write_next()`, add `position_file(n)`'."
What is a relative block number?,A physical address on the disk.,The total number of blocks in a file.,"An index relative to the beginning of the file (e.g., first is 0, next 1).",A cryptographic hash of the block content.,The block's size in bytes.,C,"The text defines 'Relative block number' as an 'index relative to beginning of file (first is 0, next 1, etc.)'. The glossary confirms 'first is block 0'."
What problem does the operating system handle in relation to file placement in direct access?,The compression problem.,The security problem.,The allocation problem.,The indexing problem.,The synchronization problem.,C,The text states: 'OS decides file placement (allocation problem)'. The glossary defines 'allocation problem' as 'OS determination of where to store file blocks'.
