Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What is the primary definition of a 'file' in the context of an operating system?,A physical storage device like a hard drive.,A collection of related information defined by its creator.,A network protocol for data transfer.,A process running on the CPU.,A temporary memory allocation for program execution.,B,"According to the text, a 'File' is defined as a collection of related information defined by its creator."
Which of the following best describes the function of a 'file system'?,It manages CPU scheduling and process execution.,It describes how files map to physical devices and how they are accessed/manipulated.,It handles network communication between computers.,It provides a graphical user interface for applications.,It monitors system security and user authentication.,B,"The text states the file system 'describes how files map to physical devices, how accessed/manipulated.'"
Which aspect of the operating system is considered 'most visible' to users?,Process management.,Memory management.,Device drivers.,File system.,Kernel extensions.,D,"The text explicitly mentions, 'File system: most visible OS aspect for users.'"
What two main components does a file system consist of?,CPU and RAM.,Collection of files and a directory structure.,Input/output devices and network interfaces.,Application programs and system utilities.,User accounts and security policies.,B,"A file system 'Consists of: Collection of files (storing related data) and Directory structure (organizes, provides info about files).'"
"From a user's perspective, what is the 'smallest allotment of logical secondary storage'?",A disk block.,A directory.,A file.,A sector.,A byte.,C,"The text states, 'User perspective: smallest allotment of logical secondary storage (data written only within a file).'"
What is the primary purpose of the Operating System providing a uniform logical view of stored information?,To optimize network bandwidth.,To abstract the physical properties of various storage media.,To directly expose hardware specifics to the user.,To perform real-time data compression.,To encrypt all stored data by default.,B,"The OS 'abstracts physical properties to define logical storage unit: the file,' providing a uniform logical view."
What kind of information can 'data files' commonly store?,Only alphanumeric characters.,Only binary executables.,"Numeric, alphabetic, alphanumeric, and binary data.",Only source code for programs.,Only system configuration settings.,C,"The text lists 'Data files: numeric, alphabetic, alphanumeric, binary' as common types."
"What defines the meaning of the sequence of bits, bytes, lines, or records that constitute a file?",The operating system's kernel.,The specific storage device type.,The file's creator or user.,The network protocol used for transfer.,A universally agreed-upon standard.,C,"The text states, 'meaning defined by creator/user' for a file as a sequence of bits, bytes, etc."
Which of the following best defines a 'Text file'?,A series of code sections for execution.,A sequence of functions and statements.,A sequence of characters organized into lines.,A collection of related binary data.,Any file that can be opened by a word processor.,C,A 'Text file' is defined as a 'sequence of characters organized into lines.'
What is a 'Source file' primarily composed of?,Binary machine code.,Compressed image data.,"A sequence of functions (declarations, executable statements).",Raw audio samples.,Encrypted system configuration.,C,"A 'Source file' is described as a 'sequence of functions (declarations, executable statements).'"
An 'Executable file' is best described as:,A text file containing commands for a shell.,A document file created by a word processor.,A series of code sections a loader can bring into memory and execute.,A collection of user-defined data.,A temporary file used during program compilation.,C,An 'Executable file' is defined as a 'series of code sections loader can bring into memory and execute.'
"Which file attribute is a symbolic, human-readable name for a file?",Identifier.,Location.,Name.,Type.,Protection.,C,"The 'Name' attribute is described as 'symbolic, human-readable.'"
"Which file attribute is a unique, non-human-readable tag used to identify a file within the file system?",Name.,Identifier.,Type.,Size.,Timestamps.,B,"The 'Identifier' attribute is a 'unique tag (number), non-human-readable, identifies file within file system.'"
