Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which of the following best defines a 'file' from the perspective of an operating system?,A physical storage unit on a hard disk.,A specific location in main memory allocated to a program.,"A collection of related information defined by its creator, mapped by the OS onto physical mass-storage devices.",A temporary buffer for data transfer between RAM and CPU.,A network protocol for data transmission.,C,The text states: 'File: collection of related information defined by its creator. OS maps files onto physical mass-storage devices.'
What is the primary function of a file system?,To manage CPU scheduling and process execution.,To describe how files map to physical devices and how they are accessed/manipulated.,To provide memory management for virtual memory.,To handle network communications between devices.,To perform cryptographic operations for data security.,B,"The text describes the file system as: 'describes how files map to physical devices, how accessed/manipulated.'"
What are the two main components of a file system?,The CPU and the GPU.,A collection of files and a directory structure.,The kernel and the shell.,Input devices and output devices.,RAM and secondary storage.,B,"The text states: 'Consists of: Collection of files (storing related data). Directory structure (organizes, provides info about files).'"
"From a user's perspective, what is the 'file' considered to be?",The largest allotment of physical primary storage.,The smallest allotment of logical secondary storage where data is written.,A transient memory buffer.,A type of network packet.,An instruction set for the CPU.,B,The text indicates: 'User perspective: smallest allotment of logical secondary storage (data written only within a file).'
Which of the following best describes a 'text file'?,A series of code sections a loader can bring into memory and execute.,A sequence of functions including declarations and executable statements.,A sequence of characters organized into lines.,A collection of raw binary data without any internal structure.,A file whose meaning is solely defined by the operating system.,C,The text defines: 'Text file: sequence of characters organized into lines.'
What is the primary characteristic of an 'executable file'?,It is a sequence of characters intended for human reading.,It contains program source code written in a high-level language.,It is a series of code sections that a loader can bring into memory and execute.,It stores user-defined numerical or alphabetical data.,It is a temporary file used for system logs.,C,The text defines: 'Executable file: series of code sections loader can bring into memory and execute.'
"Which file attribute provides a non-human-readable, unique tag to identify a file within the file system?",Name,Type,Location,Identifier,Protection,D,"The text lists 'Identifier: unique tag (number), non-human-readable, identifies file within file system' as a file attribute."
What is the purpose of the 'Protection' file attribute?,To specify the physical location of the file on the device.,To store the current size of the file in bytes or blocks.,"To provide access-control information, such as read, write, or execute permissions.",To indicate the character encoding and file checksum.,"To record the creation, last modification, and last use times.",C,"The text states 'Protection: access-control info (read, write, execute)' as a file attribute."
What are 'extended file attributes' in newer file systems?,"The basic attributes like name, size, and protection.","GUI views of file metadata, like a 'file info window'.",Additional metadata such as character encoding and file checksum.,Pointers to the device and location of the file.,The timestamps for creation and last modification.,C,"The text states: 'Newer file systems support extended file attributes: character encoding, file checksum.'"
Which of the following is NOT one of the minimal set of file operations provided by an operating system?,Create,Write,Reposition,Defragment,Delete,D,"The text lists 'create, write, read, reposition, delete, truncate files' as the minimal set. Defragment is not listed."
What are the two steps involved in 'creating a file'?,Searching for the file in the directory and reading its contents.,Finding space in the file system and making an entry for the new file in the directory.,Setting the read pointer and the write pointer.,Acquiring a shared lock and then an exclusive lock.,Changing the file's attributes and then renaming it.,B,The text states: 'Creating a file: 1. Find space in file system. 2. Make entry for new file in directory.'
