Front,Back,Reversible
What is a file?,A collection of related information defined by its creator.,y
How does an OS handle files in relation to physical storage?,It maps files onto physical mass-storage devices.,y
What is a file system?,A system that describes how files map to physical devices and how they are accessed/manipulated.,y
What is a primary design goal for file systems related to physical storage?,"Efficient access, as physical storage can be slow.",y
"Besides efficient access, what are other requirements for file systems?",File sharing support and remote access.,y
What is the most visible aspect of an OS for users?,The file system.,y
What mechanism does the file system provide?,Mechanism for on-line storage and access to OS data/programs and user data.,y
What are the two main components of a file system?,A collection of files (storing related data) and a directory structure (organizing and providing information about files).,y
Where do most file systems reside?,"On nonvolatile, persistent storage devices.",y
How does the OS present stored information?,It provides a uniform logical view.,y
What logical storage unit does the OS define by abstracting physical properties?,The file.,y
Are file contents persistent? Why?,"Yes, because storage devices are usually nonvolatile.",y
Define a file from the perspective of secondary storage.,A named collection of related information recorded on secondary storage.,y
"From a user's perspective, what is the smallest allotment of logical secondary storage?","A file, as data is written only within a file.",y
What do files commonly represent?,Programs (source/object) and data.,y
What are common types of data files?,"Numeric, alphabetic, alphanumeric, and binary.",y
How can file structures vary?,They can be free form (like text) or rigidly formatted.,y
"Generally, what is a file from a data perspective?","A sequence of bits, bytes, lines, or records, with meaning defined by its creator or user.",y
Give an example of how the file concept's use has been extended beyond its original confines.,The UNIX `proc` file system uses file-system interfaces for system information access.,y
Who defines the information contained within a file?,Its creator.,y
"Does a file have a defined structure, and what does it depend on?","Yes, it has a defined structure that depends on its type.",y
What is a text file?,A sequence of characters organized into lines.,y
What is a source file?,"A sequence of functions, including declarations and executable statements.",y
What is an executable file?,A series of code sections that a loader can bring into memory and execute.,y
How are files named and referred to for human users?,"They are named and referred to by symbolic, human-readable names (e.g., `example.c`).",y
Do all operating systems differentiate file names by case?,"No, some systems differentiate case, while others do not.",y
"What is a key characteristic of a file regarding its creator, user, or system?","It is independent of its creator process, user, and system.",y
Do file attributes vary by OS?,"Yes, file attributes vary by OS.",y
"What is the ""Name"" attribute of a file?","A symbolic, human-readable name.",y
"What is the ""Identifier"" attribute of a file?","A unique, non-human-readable tag (number) that identifies the file within the file system.",y
"What is the ""Type"" attribute of a file?","An attribute indicating the file type, for systems that support different file types.",y
"What is the ""Location"" attribute of a file?",A pointer to the device and the file's specific location on that device.,y
"What is the ""Size"" attribute of a file?","The current size of the file (in bytes, words, or blocks), and possibly the maximum allowed size.",y
"What is the ""Protection"" attribute of a file?","Access-control information, specifying permissions such as read, write, or execute.",y
"What information do ""Timestamps and user identification"" attributes provide, and why are they useful?","They provide creation time, last modification time, and last use time, useful for protection, security, and monitoring.",y
"What are extended file attributes, and what are examples?","Additional metadata supported by newer file systems, such as character encoding and file checksum.",y
What is a file info window?,"A GUI view of a file's metadata (e.g., as seen in macOS).",y
Where is information about all files kept?,"In the directory structure, typically on the same device as the files themselves.",y
