Front,Back
What is a directory in a file system context?,A symbol table translating file names to file control blocks.
What are the essential organizational capabilities a directory must allow?,"Insert entries, Delete entries, Search for named entry, List all entries."
List the common operations on a directory.,"Search for a file, Create a file, Delete a file, List a directory, Rename a file, Traverse the file system."
What is the purpose of the 'Search for a file' operation on a directory?,To find the entry for a particular file or find files matching a pattern.
What is the purpose of the 'Create a file' operation on a directory?,To add new files to the directory.
"What is the purpose of the 'Delete a file' operation on a directory, and what can be a consequence?","To remove a file from the directory; it may leave a hole, requiring defragmentation."
What is the purpose of the 'List a directory' operation?,To list files and their entry contents.
What is the purpose of the 'Rename a file' operation on a directory?,To change a file name when its contents/use changes; it may also change the file's position.
What is the purpose of the 'Traverse the file system' operation on a directory?,"To access every directory/file, typically for backup or space release."
Describe the simplest directory structure.,"Single-level directory, where all files are in the same directory."
What are the advantages of a single-level directory?,Easy to support and understand.
What are the limitations of a single-level directory?,Files must have unique names (name collision problem for multiple users) and it's difficult for a single user to remember many file names.
How is a two-level directory structured?,"It separates directories for each user, with each user having their own User File Directory (UFD)."
What is a User File Directory (UFD)?,Per-user directory of files in two-level directory implementation.
What is the Main File Directory (MFD) in a two-level directory system?,"The system's main file directory, indexed by user name/account, which points to each User File Directory (UFD)."
How does file searching work when a user refers to a file in a two-level directory system?,Only their User File Directory (UFD) is searched.
What is an advantage of the two-level directory structure regarding file names?,"Different users can have the same file names, as names are unique only within each User File Directory (UFD)."
Who typically handles the creation and deletion of User File Directories (UFDs)?,"Special system programs, restricted to administrators."
What are the disadvantages of a two-level directory structure?,"It isolates users, which is a disadvantage for cooperation; to access another user's file, one must specify both the user name and the file name."
How can a two-level directory be visualized as a tree structure?,"The Main File Directory (MFD) is the root, User File Directories (UFDs) are descendants, and files are the leaves."
What is a path name in the context of a two-level directory?,"The combination of the user name and the file name used to locate a file (e.g., '/userb/test.txt' or 'C:\userb\test')."
What problem arises with system files in a two-level directory structure?,Copying system files to each User File Directory (UFD) wastes space.
What is the solution to the system file problem in two-level directories?,"Create a special user directory for system files (e.g., user 0)."
Describe the search sequence for files in a two-level directory system with system file optimization.,"The OS first searches the local User File Directory (UFD), then the special system directory."
What is a search path?,A sequence of directories searched for an executable file when a command is executed.
Can search paths be customized in a two-level directory system?,"Yes, the search path can be extended, and users can have their own search paths."
What is the relationship between tree-structured directories and two-level directories?,Tree-structured directories are a generalization of two-level directories to arbitrary height.
What is the most common directory structure?,Tree-structured directories.
"In a tree-structured directory, what are the characteristics of files and path names?","There is a root directory, and every file has a unique path name."
What can a directory (or subdirectory) contain in a tree-structured directory system?,Files or subdirectories.
