Front,Back,Reversible
What is virtual memory?,A technique allowing execution of a process not completely in memory; it separates logical memory from physical memory.,y
What is the major advantage of virtual memory?,It allows programs to be larger than physical memory.,y
How does virtual memory abstract main memory?,"Into a large, uniform storage array.",y
What two types of memory does virtual memory separate?,Logical memory (programmer's view) from physical memory.,y
What benefit does virtual memory provide to programmers regarding memory constraints?,"It frees programmers from memory-storage limitations, allowing them not to worry about physical memory limits.",y
"Beyond basic execution, what capabilities does virtual memory allow processes to do?","Share files, libraries, and implement shared memory.",y
What is the impact of virtual memory on process creation?,It provides an efficient mechanism for process creation.,y
What is a potential downside of virtual memory implementation?,It can be complex and decrease performance if used carelessly.,y
What was the primary limitation of traditional memory management?,"The entire process had to be in physical memory for execution, limiting program size to physical memory.",y
Why do real programs often not need their entire code loaded into memory?,"Because parts like error handling code are seldom executed, arrays/lists are often allocated more memory than needed, and rare program options/features are rarely used.",y
"List the benefits of executing only parts of a program in memory (i.e., using virtual memory).","1. Programs are not constrained by physical memory size, allowing for a large virtual address space. 2. Less physical memory is required per program, leading to more programs running concurrently, which increases CPU utilization and throughput (without increasing response/turnaround time). 3. Less I/O is needed for loading/swapping, resulting in faster program execution.",y
Define 'virtual address space'.,A logical view of how a process is stored in memory. It typically presents the process as starting at logical address 0 with contiguous memory.,y
How is physical memory organized when using virtual memory?,"In page frames, which are not necessarily contiguous.",y
What is the function of the Memory-Management Unit (MMU)?,It maps logical pages to physical page frames.,y
How do the heap and stack typically grow within a process's virtual address space?,"The heap grows upward, and the stack grows downward.",y
What is the significance of the large blank space often found between the heap and stack in a virtual address space?,It is part of the virtual address space but only requires physical pages if the heap or stack grows into it.,y
What does it mean for an address space to be 'sparse'?,"It describes an address space with many 'holes' or a page table with noncontiguous, scattered entries.",y
What are the benefits of sparse address spaces?,1. Holes can be filled as the stack or heap grows. 2. They facilitate dynamic linking of libraries or shared objects during execution.,y
"How does virtual memory allow system libraries (e.g., standard C library) to be shared by multiple processes?","By mapping them into the virtual address space of processes. These libraries are typically mapped read-only, allowing their physical pages to be shared among processes.",y
How does virtual memory enable inter-process communication?,Processes can share memory regions for communication.,y
"How does virtual memory speed up process creation, particularly with `fork()`?",By allowing pages to be shared between the parent and child process initially.,y
How does Linux manage virtual memory?,Using demand paging.,y
How does Linux allocate pages?,From a list of free frames.,y
What is Linux's page-replacement policy?,A global policy similar to the LRU-approximation clock algorithm (second-chance).,y
What are the two page lists maintained by Linux for virtual memory management?,`active_list` and `inactive_list`.,y
What is the purpose of the `active_list` in Linux's virtual memory management?,It contains pages considered in use.,y
What is the purpose of the `inactive_list` in Linux's virtual memory management?,"It contains pages not recently referenced, which are eligible for reclamation.",y
"What specific bit is associated with each page in Linux's virtual memory system, and what is its function?","An `accessed` bit, which is set when the page is referenced.",y
"In Linux, what happens when a page is first allocated regarding its `accessed` bit and list placement?","Its `accessed` bit is set, and it's added to the rear of the `active_list`.",y
"If a page in the `active_list` is referenced in Linux, what actions are taken?","Its `accessed` bit is set, and it moves to the rear of the `active_list`.",y
What periodic action does Linux perform on the `accessed` bits of pages in the `active_list`?,The `accessed` bits for pages in the `active_list` are periodically reset.,y
"In Linux, what happens to the least recently used page at the front of the `active_list`?",It may migrate to the rear of the `inactive_list`.,y
What happens in Linux if a page in the `inactive_list` is referenced?,It moves back to the rear of the `active_list`.,y
How does Linux maintain a balance between the `active_list` and `inactive_list`?,"The lists are kept in relative balance. If the `active_list` grows larger than the `inactive_list`, pages from the front of the `active_list` move to the `inactive_list` (making them eligible for reclamation).",y
What is the name of the page-out daemon process in the Linux kernel?,`kswapd`.,y
What is the function of the `kswapd` process in Linux?,"It periodically awakens, checks free memory, and if free memory falls below a threshold, it scans the `inactive_list` and reclaims pages for the free list.",y
Which system architectures does Windows 10 support for virtual memory management?,"32-bit and 64-bit systems (Intel, ARM).",y
What are the default virtual address space and physical memory limits for 32-bit Windows systems?,A default 2 GB virtual address space (extendable to 3 GB) and 4 GB physical memory.,y
What are the virtual address space and physical memory limits for 64-bit Windows systems?,"128-TB virtual address space, and up to 24 TB physical memory (Windows Server up to 128 TB).",y
What virtual memory management features are implemented in Windows?,"Shared libraries, demand paging, copy-on-write, paging, and memory compression.",y
What is the primary mechanism for virtual memory in Windows?,Demand paging with clustering.,y
Define 'clustering' in the context of Windows virtual memory.,Paging in a group of contiguous pages when a single page is requested via a page fault.,y
What is the typical cluster size for a data page fault in Windows?,3 pages (the faulting page + one immediately preceding + one immediately following).,y
What is the typical cluster size for other types of page faults in Windows?,7 pages.,y
What is a key component of Windows' virtual memory management?,Working-set management.,y
What are the default working-set minimum and maximum pages assigned to a process upon creation in Windows?,Working-set minimum (50 pages) and working-set maximum (345 pages).,y
Define 'working-set minimum' in Windows.,The minimum number of frames guaranteed to a process in memory.,y
Define 'working-set maximum' in Windows.,The maximum number of frames allowed to a process if sufficient memory is available.,y
Define 'hard working-set limits' in Windows.,"The maximum amount of physical memory a process is allowed to use. (Note: if configured, these values may be ignored.)",y
Can a process in Windows grow beyond its working-set maximum?,"Yes, if sufficient memory is available.",y
Can memory allocated to a process in Windows shrink below its working-set minimum?,"Yes, this can occur during periods of high memory demand.",y
"What page replacement algorithm does Windows use, and what policies does it incorporate?",An LRU-approximation clock algorithm (second-chance) with both local and global policies.,y
What does the Virtual Memory Manager in Windows maintain to assist with page allocation?,A free page frames list with a threshold.,y
"In Windows, what happens if a process experiences a page fault while operating below its working-set maximum?",A page is allocated from the free list.,y
"In Windows, if a process is at its working-set maximum, but sufficient memory is available, what happens upon a page fault?","A free page is allocated, allowing the process to grow beyond its working-set maximum.",y
What action does the Windows kernel take if there is insufficient free memory during a page fault?,The kernel selects a page from the faulting process's working set for replacement (using a local LRU policy).,y
What global replacement tactic does Windows employ if free memory falls below a threshold?,`automatic working-set trimming`.,y
Define 'automatic working-set trimming' in Windows.,The process of decreasing working-set frames for processes if a minimum free memory threshold is reached.,y
