Front,Back
How does demand paging save I/O?,By loading only used pages.
How can demand paging increase the degree of multiprogramming?,By over-allocating memory.
Provide an example of how over-allocating memory can increase CPU utilization and throughput.,"6 processes, each needing 10 pages but using only 5, can run on 40 frames, leading to higher CPU utilization and throughput."
What problem can arise from over-allocating memory?,"Processes may suddenly need all their allocated pages (e.g., 60 frames needed when only 40 are available), leading to a memory shortage."
What other system component contributes to memory strain in an over-allocated system?,System memory is also used for I/O buffers.
How does over-allocation manifest in a system?,As a page fault with no free frames available.
What happens if there is no free frame available during a page fault?,The system must find a frame that is not in use and free it.
Describe the process of freeing a frame for page replacement.,"Write its contents to swap space (if modified), then change the corresponding page table entry to indicate the page is no longer in memory."
What is the freed frame used for?,To load the faulted page.
What is the first step in a modified page-fault service routine?,Find the desired page on secondary storage.
What are the steps to find a free frame in a modified page-fault service routine?,"If a free frame exists, use it. If not, use a page-replacement algorithm to select a victim frame. Write the victim frame to secondary storage (if modified) and update page/frame tables."
"After a frame is freed or found, what is the next step in the modified page-fault service routine?",Read the desired page into the newly freed frame and update page/frame tables.
What is the final step in the modified page-fault service routine?,Continue the process that incurred the page fault from where it was interrupted.
What is the consequence of having no free frames during a page fault?,"It requires two page transfers (a page-out for the victim, then a page-in for the new page), which doubles the page-fault service time."
How can the overhead of page replacement be reduced?,By using a modify bit (or dirty bit).
How is the modify bit set?,Hardware sets the modify bit if the page is written to.
What action is taken if a page's modify bit is set before replacement?,The page must be written to secondary storage.
What action is taken if a page's modify bit is not set before replacement?,"There is no need to write the page to secondary storage, as it is unchanged."
What is the benefit of using the modify bit in terms of page-fault service time?,It significantly reduces page-fault service time if the page has not been modified.
What fundamental separation does page replacement enable?,It separates logical memory from physical memory.
What is a key outcome of page replacement regarding memory size?,It allows for an enormous virtual memory space to be used on a smaller physical memory.
What are the two major problems that demand paging must address?,1. Frame-allocation algorithm (how many frames to allocate to each process). 2. Page-replacement algorithm (which frames to replace).
What is the primary goal of page replacement algorithms?,To achieve the lowest possible page-fault rate.
How are page-replacement algorithms evaluated?,"Using a reference string, which is a trace of memory accesses."
How is a reference string typically simplified for evaluation?,"It includes only the page number for each access, ignoring immediate repeated references to the same page."
What is the general relationship between the number of allocated frames and page faults?,More allocated frames generally lead to fewer page faults.
What does FIFO stand for in the context of page replacement?,"First-in, first-out."
Which page does the FIFO algorithm replace?,"The oldest page, meaning the first one that was brought into memory."
How can FIFO page replacement be implemented?,"Using a FIFO queue where the page at the head is replaced, and the new page is inserted at the tail."
What are some advantages of the FIFO page replacement algorithm?,It is easy to understand and program.
What is a potential drawback of FIFO page replacement regarding performance?,Its performance is not always good because it may replace actively used pages.
What are the consequences of a bad replacement choice by a page replacement algorithm?,An increased page-fault rate and slowed execution (though the program still runs correctly).
What anomaly does FIFO page replacement suffer from?,"Belady's anomaly, where the page-fault rate may increase as the number of allocated frames increases."
