Front,Back,Reversible
What is the primary issue addressed by frame allocation?,How to allocate a fixed amount of free memory among multiple processes.,y
"In a pure demand paging system, where are frames placed initially after OS memory allocation?",On the free-frame list.,y
What happens when a page fault occurs and frames are available?,The process gets free frames from the free-frame list.,y
What happens when the free-frame list is exhausted during a page fault?,A page-replacement algorithm is used to free up a frame.,y
What happens to a process's frames when it terminates?,They are returned to the free-frame list.,y
Describe a variation in frame allocation related to OS buffer/table space.,"The OS can allocate buffer/table space from the free-frame list, which can then be used for user paging when not actively in use by the OS.",y
Describe a variation in frame allocation involving reserved free frames.,"A small number of free frames (e.g., 3) can be reserved: one for a page fault, and others for selecting a replacement page during a swap operation.",y
What is the basic strategy for user process frame allocation?,A user process is allocated any available free frame.,y
What are the two main constraints on frame allocation?,1. Cannot exceed the total available frames (unless page sharing is involved). 2. Must allocate at least a minimum number of frames.,y
How does having fewer frames impact system performance?,It leads to a higher page-fault rate and slower execution.,y
What is the consequence if a page fault occurs before an instruction can complete?,The instruction must be restarted.,y
What is required regarding the number of frames for an instruction to complete correctly?,There must be enough frames for all pages an instruction can reference.,y
What is the minimum number of frames required for a single memory-reference instruction?,Two frames: one for the instruction itself and one for the memory reference.,y
What is the minimum number of frames required per process for one-level indirect addressing?,At least three frames.,y
What determines the minimum number of frames required for a process?,The computer architecture.,y
"For a 'move' instruction straddling two frames with two indirect operands, how many frames might be required?",Six frames.,y
How do Intel architectures typically limit the minimum number of frames needed?,"They only allow register-to-register or memory operations, which can limit the minimum frames required for an instruction.",y
What defines the maximum number of frames a process can be allocated?,The total available physical memory.,y
What is 'equal allocation' in the context of virtual memory frame management?,Assigns equal amounts of a resource (page frames) to all requestors (processes).,y
What is 'proportional allocation' in the context of virtual memory frame management?,"Assigns a resource (page frames) in proportion to some aspect of the requestor; in virtual memory, typically in proportion to process size.",y
What is the formula for calculating frames allocated to process 'pi' using proportional allocation?,"a_i ≈ (s_i/S) × m, where s_i is the virtual memory size of p_i, S is the total virtual memory size of all processes, and m is the total available frames.",y
What constraints apply to the calculated number of frames (a_i) in proportional allocation?,"a_i must be an integer, greater than the minimum frames required, and the sum of all a_i values must be less than or equal to the total available frames (m).",y
How does an increased multiprogramming level affect frame allocation per process?,"Processes lose frames (i.e., fewer frames are allocated per process).",y
How does a decreased multiprogramming level affect frame allocation per process?,"Frames are spread among fewer processes (i.e., more frames are allocated per process).",y
