Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What is the primary characteristic of demand paging?,Loading the entire program into physical memory before execution.,Loading program pages into memory only when they are needed during execution.,Storing all program pages permanently in physical memory.,Executing programs directly from secondary storage without loading them into RAM.,Prioritizing the loading of kernel pages over user program pages.,B,"Demand paging specifically loads pages into memory only when they are accessed or 'demanded' by the running program, rather than loading the entire program at once."
Which problem is primarily addressed by the use of demand paging?,Insufficient CPU processing speed for large programs.,"The need to load an entire program into physical memory, even if not all parts are immediately required.",Difficulty in managing multiple processes simultaneously.,The high cost of secondary storage devices.,Lack of proper security mechanisms for memory access.,B,Demand paging solves the problem of needing to load an entire program (which may include unneeded parts like unselected options) by only loading portions as they are accessed.
"In a system utilizing demand paging, what happens to pages that are never accessed during a program's execution?",They are loaded into a special cache for future use.,They remain in secondary storage and are never loaded into physical memory.,They are loaded into physical memory at program startup but later swapped out.,They cause a page fault upon program termination.,They are marked as invalid and immediately deleted from secondary storage.,B,"A key benefit of demand paging is that unaccessed pages are never loaded into physical memory, saving memory resources."
What hardware support is essential for distinguishing between pages that are in memory and those that are in secondary storage in a demand paging system?,A dedicated memory management unit (MMU) with a translation lookaside buffer (TLB).,A valid-invalid bit scheme in the page table.,High-speed solid-state drives for secondary storage.,Multiple CPU cores for parallel processing.,A large amount of RAM.,B,The valid-invalid bit in each page-table entry is used by hardware to indicate whether a page is legal and in memory (valid) or not (invalid).
"In the context of demand paging's valid-invalid bit scheme, what does a ""valid bit"" typically signify?",The page is corrupted and needs to be reloaded.,The page is legal and currently resides in physical memory.,The page is protected and cannot be modified.,The page is in secondary storage and needs to be swapped in.,The page is part of the operating system kernel.,B,A valid bit indicates that the corresponding page is both part of the process's logical address space and is currently loaded into a physical memory frame.
"What does an ""invalid bit"" in a page-table entry signify in a demand paging system?",The page contains invalid data and should be discarded.,"The page is legal and in memory, but read-only.","The page is either not a valid part of the logical address space, or it is valid but currently in secondary storage.",The page has been recently accessed and is likely to be accessed again.,The page is exclusively reserved for operating system use.,C,"An invalid bit indicates one of two possibilities: either the page address is illegal (not in the process's logical address space), or it is legal but currently resides in secondary storage."
"What immediately triggers a ""page fault"" in a demand paging system?",A process attempting to write to a read-only page.,The operating system deciding to swap out a less-used page.,An access attempt to a page marked as invalid in the page table.,The CPU requesting an instruction that is already in memory.,A system administrator manually initiating a page swap.,C,A page fault is explicitly defined as occurring when an access attempt is made to a page whose corresponding page-table entry is marked invalid.
What is the first action taken by the system immediately after a page fault occurs?,The process is immediately terminated.,The requested page is read from secondary storage.,A trap to the operating system is generated.,The page table is updated to mark the page as valid.,A new free frame is allocated.,C,"The text states, ""Access to invalid page → page fault. Page fault causes trap to OS."" This is the immediate consequence before any handling procedure begins."
"According to the provided text, what is the first step the operating system performs when handling a page fault?",Find a free frame in physical memory.,Schedule a secondary storage operation to read the page.,Check an internal table (like the process control block) to validate the memory access.,Modify the page table to mark the page as valid.,Restart the interrupted instruction.,C,"The first step in the page fault handling procedure is ""Check internal table (process control block) for valid/invalid memory access."""
"During the page fault handling procedure, if the OS determines that the memory access causing the fault is invalid (e.g., beyond the process's logical address space), what action is taken?",The page is loaded into memory regardless.,The process is terminated.,The page is moved to swap space.,The page table is updated with a valid bit.,"An error log is created, and the instruction is retried.",B,"Step 2 of the page fault handling procedure states: ""If invalid, terminate process."""
What is the final step in the page fault handling procedure as described in the text?,The process control block is updated.,The operating system finds a free frame.,The page is read from secondary storage.,The interrupted instruction is restarted.,The page is marked as invalid in the page table.,D,"The last step listed in the procedure is ""Restart interrupted instruction; process accesses page as if always in memory."""
"What defines ""pure demand paging""?",All pages are pre-loaded into memory before execution begins.,No pages are ever swapped out once loaded into memory.,"The process starts with no pages in memory, and pages are faulted in as needed.",Only read-only pages are loaded into memory on demand.,"Memory pages are only loaded from the file system, not swap space.",C,"Pure demand paging is defined as starting a process with no pages in memory, and then faulting for pages only as they are referenced."
"How does the ""locality of reference"" principle relate to the performance of demand paging?",It guarantees that all pages will be loaded into memory at startup.,"It increases the probability of page faults, thus degrading performance.","It suggests that processes access memory in patterns, which allows demand paging to perform reasonably well.","It indicates that memory access times are constant, regardless of paging.",It is irrelevant to the efficiency of demand paging.,C,"The text states, ""Programs tend to have locality of reference → reasonable demand paging performance,"" meaning the non-random access patterns make demand paging viable."
