Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which of the following is a primary benefit of demand paging in memory management?,It ensures all pages are loaded into memory simultaneously for faster access.,It reduces the degree of multiprogramming to prevent memory contention.,It saves I/O by loading only the pages that are actively used.,It eliminates the need for swap space on secondary storage.,It guarantees that no page faults will occur during process execution.,C,"Demand paging saves I/O by loading only used pages, rather than loading an entire process into memory at once."
What is 'over-allocating memory' in the context of demand paging?,Providing a process with more physical memory frames than it requests.,"Allocating more virtual memory than physical memory is available, increasing the degree of multiprogramming.",Reserving all available memory frames for a single process to ensure optimal performance.,"Loading all pages of a process into memory at startup, regardless of immediate need.",The process of deallocating memory frames that are no longer in use.,B,"Over-allocating memory means providing access to more virtual memory than physically available, which can increase the degree of multiprogramming by allowing more processes to run concurrently."
A situation where a page fault occurs but no free memory frames are available is a manifestation of which memory management issue?,Optimal page replacement,Belady's anomaly,Over-allocation of memory,Insufficient I/O buffer space,The use of a dirty bit,C,"Over-allocation manifests as a page fault with no free frames, indicating that the system has committed more virtual memory than it can currently support with physical frames."
"When a free frame is needed but none are available, what action is taken to free up a frame?",The system immediately terminates the process causing the page fault.,"The contents of a selected frame are written to swap space, and its page table entry is updated.",The operating system waits for the user to manually free up memory.,All other processes in memory are swapped out to create space.,The CPU utilization is drastically reduced to free memory.,B,"If no free frame is available, a page-replacement algorithm selects a victim frame. Its contents are written to swap space (if modified), and its page table entry is updated to indicate it's no longer in memory."
What is the purpose of a 'modify bit' (or 'dirty bit') in the context of page replacement?,To indicate that a page has been recently referenced by the CPU.,"To mark a page as read-only, preventing any writes.","To signify that a page's contents have been altered, requiring it to be written back to secondary storage before replacement.",To prioritize pages that are frequently used for replacement.,To identify pages that are part of the operating system kernel.,C,"The modify bit, set by hardware, indicates if a page has been written to. If it's set, the page must be written back to secondary storage before being replaced; if not, it can simply be discarded, significantly reducing page-fault service time."
Which of the following is NOT one of the two major problems for demand paging that algorithms aim to solve?,Which frames to replace (page-replacement algorithm).,How many frames to allocate to each process (frame-allocation algorithm).,How to convert logical addresses to physical addresses.,Minimizing the page-fault rate.,Selecting a victim frame.,C,"The two major problems for demand paging are the frame-allocation algorithm (how many frames) and the page-replacement algorithm (which frames). Converting logical to physical addresses is handled by the MMU, not a problem demand paging algorithms solve directly."
What is a 'reference string' primarily used for in the context of page replacement?,To identify the physical location of a page in memory.,To determine the optimal size of the swap space.,To trace the sequence of memory accesses for evaluating page-replacement algorithms.,To allocate frames to different processes dynamically.,To encrypt data before it is written to secondary storage.,C,"A reference string is a trace of memory accesses (specifically, page numbers) used to evaluate the performance of different page-replacement algorithms by simulating their behavior."
Which page replacement algorithm is known for its simplicity and for replacing the page that has been in memory the longest?,Least Recently Used (LRU),Optimal (OPT),"First-In, First-Out (FIFO)",Least Frequently Used (LFU),Second-Chance,C,"FIFO (First-In, First-Out) replaces the oldest page in memory, which is the first one that was brought in. It is easy to understand and program."
What is 'Belady's anomaly'?,The phenomenon where the page-fault rate decreases as the number of allocated frames increases.,A situation where a page replacement algorithm cannot find a victim frame.,The counter-intuitive result where the page-fault rate increases even when more memory frames are allocated to a process.,The inability of an algorithm to use a modify bit effectively.,The problem of having too many free frames in memory.,C,"Belady's anomaly is a specific issue where, for some page-replacement algorithms (like FIFO), increasing the number of available memory frames can paradoxically lead to an increase in the page-fault rate."
Which page replacement algorithm guarantees the lowest possible page-fault rate but is impossible to implement in practice for general-purpose computing?,Least Recently Used (LRU),"First-In, First-Out (FIFO)",Least Frequently Used (LFU),Optimal (OPT),Second-Chance,D,"The Optimal (OPT) page-replacement algorithm replaces the page that will not be used for the longest period of time, thus guaranteeing the lowest page-fault rate. However, it requires future knowledge of the reference string, making it impractical for real-world implementation."
Which page replacement algorithm approximates the Optimal algorithm by replacing the page that has not been used for the longest period of time?,"First-In, First-Out (FIFO)",Most Frequently Used (MFU),Least Recently Used (LRU),Second-Chance,Additional-reference-bits,C,"The Least Recently Used (LRU) algorithm approximates the Optimal algorithm by choosing the page that has not been accessed for the longest duration, based on past usage."
Why is true LRU implementation often expensive?,It requires frequent disk I/O operations for every page replacement.,It needs complex software to track page usage patterns.,It requires substantial hardware assistance and per-memory-reference updates.,"It suffers from Belady's anomaly, leading to high page fault rates.",It necessitates a very large amount of swap space.,C,"True LRU implementation, whether using counters or a stack, requires updating usage information (e.g., timestamps or stack reordering) on every memory reference, which is computationally and hardware-intensively expensive."
What is a 'stack algorithm' in the context of page replacement?,An algorithm that uses a stack data structure to store pages in memory.,A class of algorithms that suffer from Belady's anomaly.,An algorithm that prioritizes pages based on their stack depth in the program's call stack.,A class of page-replacement algorithms that do not suffer from Belady's anomaly.,An algorithm that must be implemented using a hardware-supported stack.,D,"A stack algorithm is a class of page-replacement algorithms that have the property that the set of pages in memory with N frames is always a subset of the pages in memory with N+1 frames. This property ensures they do not suffer from Belady's anomaly, and LRU is an example."
Which hardware component is crucial for LRU-approximation algorithms like the 'additional-reference-bits' algorithm?,A dedicated high-speed cache memory.,A direct memory access (DMA) controller.,A reference bit set by hardware on page access.,A sophisticated I/O buffer management unit.,A specialized cryptographic co-processor.,C,"LRU-approximation algorithms like the additional-reference-bits algorithm rely on a 'reference bit' (or 'use bit') that is automatically set by hardware whenever a page is referenced, providing a basic indication of recent usage."
"In the 'additional-reference-bits' algorithm, how is the history of page use primarily tracked?",By maintaining a precise timestamp of the last access for each page.,By storing page references in a FIFO queue.,By periodically shifting the reference bit into an 8-bit byte for each page.,By counting the total number of accesses for each page since system startup.,By using a doubly linked list to order pages by recency.,C,"The additional-reference-bits algorithm uses an 8-bit byte for each page. On a timer interrupt, the current reference bit is shifted into the most significant bit of this byte, and the other bits are shifted right, creating a history (shift register) of recent usage."
The 'second-chance page-replacement algorithm' is also known by what other name?,Optimal algorithm,Clock algorithm,Stack algorithm,LFU algorithm,MFU algorithm,B,The second-chance page-replacement algorithm is also commonly referred to as the 'clock' algorithm because of its implementation using a circular queue (like a clock face) with a pointer.
"In the 'second-chance algorithm', what happens if a selected page's reference bit is 1?",The page is immediately replaced.,The page is written to disk and then replaced.,"The reference bit is cleared, the arrival time is reset, and the page is given a 'second chance'.",The page is moved to the head of the queue for immediate replacement.,The system determines it's an error and halts.,C,"If a selected page's reference bit is 1, the second-chance algorithm clears the bit, resets the page's 'arrival time' to the current time, and gives it a 'second chance' by moving the pointer to the next page without replacing it immediately."
