Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which virtual memory management technique does Linux primarily use?,Segmentation,Swapping,Demand paging,Static partitioning,Overlaying,C,"Linux manages virtual memory using demand paging, which brings pages into memory only when they are needed."
What kind of page-replacement policy does Linux implement?,Local LRU,FIFO,Optimal,Global LRU-approximation clock algorithm (second-chance),Most Recently Used (MRU),D,"Linux uses a global page-replacement policy similar to the LRU-approximation clock algorithm, also known as second-chance."
Linux maintains two page lists for memory management. What are they called?,Allocated and Deallocated,In-use and Free,Active and Inactive,Primary and Secondary,Resident and Swapped,C,Linux maintains an `active_list` for pages considered in use and an `inactive_list` for pages not recently referenced and eligible for reclamation.
"In Linux, what happens when a page in the `inactive_list` is referenced?",Its accessed bit is reset.,It is immediately reclaimed for the free list.,It moves back to the rear of the `active_list`.,It is written to secondary storage.,It remains in the `inactive_list` until reclaimed by kswapd.,C,"If a page in the `inactive_list` is referenced, it moves back to the rear of the `active_list`, indicating it is now in use."
Which daemon process in the Linux kernel is responsible for managing free memory and reclaiming pages?,pageservd,memmgrd,kswapd,pagedaemon,freememd,C,"The Linux kernel's page-out daemon process, `kswapd`, periodically awakens to check free memory and reclaims pages from the `inactive_list` if free memory falls below a threshold."
When does the Linux `kswapd` process typically scan the `inactive_list` to reclaim pages?,When the `active_list` becomes empty.,When a new process is created.,If free memory falls below a predetermined threshold.,"Every 5 seconds, regardless of memory status.",Only when the system is booting up.,C,`kswapd` scans the `inactive_list` and reclaims pages for the free list if free memory falls below a specific threshold.
What is the primary function of the `accessed` bit for pages in Linux's virtual memory management?,To indicate if a page is dirty and needs to be written to disk.,To track the total number of times a page has been referenced.,To determine if a page has been recently referenced for page replacement.,To signify that a page is currently being used by the kernel.,To mark a page as read-only.,C,The `accessed` bit is set when a page is referenced and is used by the LRU-approximation algorithm to determine which pages are least recently used and thus eligible for reclamation.
What is 'clustering' in the context of Windows' virtual memory management?,A technique to group processes for better CPU scheduling.,Bringing in the faulting page along with several immediately preceding/following pages during a page fault.,A method for encrypting memory pages.,Storing multiple small files on a single disk block.,A mechanism for remote memory access over a network.,B,Clustering in Windows handles page faults by bringing in the faulting page plus several immediately preceding and following pages to potentially reduce future page faults.
"According to the text, what is the default virtual address space for a 32-bit Windows system?",4 GB,8 TB,2 GB,128 TB,24 TB,C,"For 32-bit systems, Windows 10 has a default 2 GB virtual address space, extendable to 3 GB."
What is the typical cluster size for a data page fault in Windows?,1 page,2 pages,3 pages,5 pages,7 pages,C,"For data page faults, Windows clustering brings in 3 pages: the faulting page, one immediately before, and one immediately after."
