Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What is the primary reason computer systems require mass storage?,"To provide temporary, high-speed cache for the CPU.","To permanently store files and data, maintaining them even when power is off.",To act as the main working memory for running applications.,To facilitate immediate data transfer between the CPU and peripherals.,To execute program instructions directly from a volatile medium.,B,"Computer systems must provide mass storage for permanently storing files and data, ensuring data persistence across power cycles."
What are the primary types of secondary storage devices used in modern computers?,RAM and ROM,Cache memory and Registers,Hard Disk Drives (HDDs) and Nonvolatile Memory (NVM) devices,CPU and GPU,Magnetic tapes and Floppy disks,C,Modern computers use secondary storage primarily in the form of Hard Disk Drives (HDDs) and Nonvolatile Memory (NVM) devices.
In what way can secondary storage devices vary regarding data transfer granularity?,Parallel vs. Serial,Character at a time vs. Block of characters,Buffered vs. Unbuffered,Internal vs. External,Encrypted vs. Unencrypted,B,"Secondary storage devices can vary in their transfer methods, either character at a time or a block of characters."
What are the two main ways secondary storage devices can be accessed?,Directly and Indirectly,Internally and Externally,Sequentially and Randomly,Online and Offline,Buffered and Unbuffered,C,"Secondary storage devices vary in how they are accessed, either sequentially or randomly."
How can data transfer on secondary storage devices be characterized in terms of timing?,Fast vs. Slow,Synchronously vs. Asynchronously,Real-time vs. Batch,Input vs. Output,Permanent vs. Temporary,B,Data transfer on secondary storage devices can occur either synchronously or asynchronously.
"Regarding their usage, how can secondary storage devices be categorized?",Primary vs. Secondary,Volatile vs. Nonvolatile,Dedicated vs. Shared,Local vs. Remote,Read-only vs. Read-write,C,Secondary storage devices can be categorized as dedicated or shared in their usage.
What is a fundamental distinction between secondary storage devices regarding their ability to modify data?,High-capacity vs. Low-capacity,Fast vs. Slow,Internal vs. External,Read-only vs. Read-write,Buffered vs. Non-buffered,D,"Secondary storage devices can be either read-only or read-write, defining their data modification capabilities."
How does the speed of secondary storage generally compare to other major components of a computer system?,It is typically the fastest component.,It is generally on par with the CPU speed.,It is often the slowest major component.,Its speed is irrelevant to overall system performance.,"It is only slower than RAM, but faster than the CPU.",C,"Secondary storage is typically the slowest major component of a computer system, often acting as a performance bottleneck."
What is a key responsibility of the operating system concerning device control?,To exclusively manage application software installations.,To provide a wide range of functionality for device control.,To directly interact with network protocols only.,To convert analog signals to digital for display.,To solely manage power supply to all components.,B,The OS needs to provide a wide range of functionality for device control to manage hardware effectively.
One of the primary goals of the OS I/O subsystem is to provide what kind of interface to the rest of the system?,A highly complex and customizable interface.,The simplest interface possible.,A proprietary interface for specific hardware.,A graphical user interface only.,A network-only interface.,B,"A key OS I/O subsystem goal is to provide the simplest interface possible to the rest of the system, simplifying development and use."
