Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What is the primary purpose of Redundant Arrays of Independent Disks (RAIDs)?,To decrease the overall number of drives attached to a computer.,To improve the physical security of data storage units.,To enhance data read/write rates through parallel operation and improve data storage reliability.,To standardize drive interfaces across different manufacturers.,To reduce the cost of individual storage drives significantly.,C,RAIDs are disk-organization techniques specifically designed for improving data read/write rates through parallel operation and enhancing data storage reliability by using redundant information.
How has the meaning of the 'I' in RAID evolved from its past usage to its current meaning?,It changed from 'inexpensive' to 'integrated'.,It changed from 'integrated' to 'independent'.,It changed from 'inexpensive' to 'independent'.,It changed from 'intelligent' to 'inexpensive'.,It changed from 'independent' to 'integrated'.,C,"The text states that the 'I' in RAID now stands for 'independent', but it was 'inexpensive' in the past."
"When considering an array of N hard disk drives (HDDs), how does the chance of some disk failing compare to the chance of a single disk failing?",The chance of some disk failing in N disks is generally lower than the chance of a single disk failing.,The chance of some disk failing in N disks is approximately equal to the chance of a single disk failing.,The chance of some disk failing in N disks is greater than the chance of a single disk failing.,The chance of some disk failing is directly proportional to the square of N.,The number of disks (N) has no impact on the overall failure rate compared to a single disk.,C,The text explicitly states: 'Chance of some disk failing in N disks > chance of single disk failing.'
"In the context of data storage reliability, what is the primary purpose of introducing 'redundancy'?",To compress data and save storage space.,To encrypt data for security purposes.,To store extra information that is not normally needed but can be used to rebuild lost data.,To speed up write operations by caching data.,To create a searchable index of stored files.,C,"Redundancy is defined as storing 'extra info not normally needed, used to rebuild lost info' to ensure data is not lost even if a disk fails."
"Which RAID redundancy technique involves duplicating every drive, where a logical disk is composed of two physical drives and every write operation is performed on both?",Data striping,Parity checking,Mirroring,Block-level striping,Hot sparing,C,The text defines 'mirroring' as the simplest (and most expensive) redundancy method where 'logical disk = two physical drives; every write on both drives'.
"In a mirrored volume, what happens immediately when one of the physical drives fails?",All data on the volume is lost.,The system automatically shuts down to prevent further data corruption.,Data is automatically read from the other drive in the mirrored pair.,A parity recalculation process begins across the entire array.,The failed drive must be manually rebuilt from a backup tape.,C,The text states: 'One drive fails: data read from other.'
What two key factors primarily determine the Mean Time to Data Loss (MTTDL) of a mirrored volume?,The number of concurrent users and the network bandwidth.,The mean time between failures (MTBF) of individual drives and the mean time to repair.,The rotational speed of the drives and the cache size.,The power supply redundancy and the operating system version.,The temperature of the data center and the drive manufacturer.,B,The text specifies that 'MTBF of mirrored volume (failure = data loss) depends on: MTBF of individual drives. mean time to repair'.
"Given a single drive MTBF of 100,000 hours and a mean time to repair of 10 hours, what is the approximate mean time to data loss for a mirrored system according to the example provided?","1,000 hours","100,000 hours","57,000 years","500,000 hours","10,000 years",C,"The example calculates 'Mean time to data loss of mirrored system: (100,000^2) / (2 x 10) = 500 x 10^6 hours (57,000 years).'"
Which of the following is NOT typically considered a cause of correlated drive failures that can undermine the independent failure assumption for RAID systems?,Widespread manufacturing defects across a batch of drives.,A major natural disaster affecting the data center.,A power failure impacting all drives simultaneously.,"An isolated, random bit error on a single drive.",Aging of drives leading to increased probability of failure.,D,"The text mentions 'power failures, natural disasters, manufacturing defects' as causes of correlated failures. An isolated, random bit error would be an independent failure, which RAID is designed to handle, not a correlated one."
"To prevent data inconsistency in a mirrored pair during power failures when writes are in progress, what is a recommended solution mentioned in the text?",Implementing bit-level striping.,Using only solid-state drives (SSDs).,Adding a solid-state nonvolatile cache to the RAID array.,Increasing the number of mirrored drives to three or more.,Disabling write caching entirely.,C,"The text suggests, 'Solution: write one copy first, then next; or add solid-state nonvolatile cache to RAID array.' The cache is protected from data loss during power failures."
How does mirroring typically affect the read request rate and the transfer rate per read in a storage system?,It doubles the read request rate and doubles the transfer rate per read.,"It doubles the read request rate, but the transfer rate per read remains the same.","It keeps the read request rate the same, but doubles the transfer rate per read.",It decreases both the read request rate and the transfer rate per read.,It has no impact on either the read request rate or the transfer rate per read.,B,The text states: 'Mirroring: read request rate doubled (reads sent to either drive). Transfer rate per read: same as single drive; but reads per unit time doubled.'
"What technique involves splitting data across multiple drives to improve transfer rates, especially for large accesses?",Data mirroring,Data encryption,Data compression,Data striping,Data deduplication,D,The text defines 'data striping' as 'splitting data across drives' to 'improve transfer rate'.
"In an 8-drive array using bit-level striping, how is data typically distributed for each byte?","The entire byte is stored on a single drive, rotating for each subsequent byte.","The first 4 bits go to drives 1-4, and the last 4 bits go to drives 5-8.",Bit 'i' of each byte is stored on drive 'i'.,Each byte is duplicated across all 8 drives for redundancy.,The byte is compressed before being stored on a single drive.,C,"The example for bit-level striping explicitly states: '8-drive array, bit i of each byte to drive i.'"
Which level of data striping is mentioned as the only one commonly available?,Bit-level striping,Byte-of-sector striping,Sector-of-block striping,Block-level striping,File-level striping,D,The text clearly states: 'Block-level striping: only commonly available striping.'
What are the two primary goals of introducing parallelism in storage systems via data striping?,To increase storage capacity and reduce power consumption.,To improve data security and simplify backup procedures.,To increase throughput of multiple small accesses by load balancing and reduce response time of large accesses.,To minimize disk wear and tear and extend drive lifespan.,To reduce hardware costs and improve system compatibility.,C,The text lists the goals as: '1. Increase throughput of multiple small accesses (page accesses) by load balancing. 2. Reduce response time of large accesses.'
"Which RAID level is characterized by block-level striping but provides no data redundancy, making it suitable for performance-critical applications where data loss is acceptable?",RAID level 1,RAID level 4,RAID level 0,RAID level 5,RAID level 6,C,"RAID level 0 is defined as 'drive arrays with block-level striping, no redundancy'."
"Which RAID level exclusively employs drive mirroring for data protection, where every logical disk consists of two physical drives with identical content?",RAID level 0,RAID level 1,RAID level 4,RAID level 5,RAID level 6,B,RAID level 1 is defined as 'drive mirroring'.
"In RAID level 4, where is the error-correction block (ECC) typically stored?",Distributed across all data drives.,"On a dedicated drive, usually drive N+1.",In the system's main memory.,On the controller's NVRAM cache.,Inside each data block.,B,The text states: 'ECC calculation result stored on drive N+1 (error-correction block).'
"If one drive fails in a RAID 4 array, how does the system typically recover the lost data?",It restores the entire array from a recent backup.,It immediately shuts down the system to prevent further damage.,It recalculates the missing data using the parity information from the error-correction block.,"It signals a complete data loss, requiring manual intervention.",It switches to a read-only mode until the drive is replaced.,C,"The text explains for RAID 4: 'One drive fails: ECC recalculation detects, prevents data pass, throws error... use parity to recalculate.'"
"In parity-based RAID levels like RAID 4, when does a 'read-modify-write cycle' typically occur?","During large, sequential read operations.",When the operating system performs a write operation that is smaller than a full block.,Only when a drive failure is detected.,During the initial setup and formatting of the RAID array.,When the array's cache is completely full.,B,"The text states: 'OS write smaller than block: requires read-modify-write cycle.' This cycle involves reading the old block, modifying it, writing it back, and updating the parity."
"Compared to RAID 1 (mirroring), what is a primary advantage of RAID 4 regarding storage overhead for achieving equal data protection?",RAID 4 requires double the storage capacity.,"RAID 4 requires one parity drive for several regular drives, reducing overhead.",RAID 4 eliminates the need for any redundant drives.,RAID 4's storage overhead is higher due to complex parity calculations.,RAID 4's storage overhead is identical to RAID 1.,B,RAID 4's advantage over RAID 1 is 'Storage overhead reduced: one parity drive for several regular drives (vs. one mirror for every drive).'
"What is a historical performance problem associated with RAID 4 and other parity-based RAID configurations, particularly concerning write operations?",Inability to perform parallel reads.,High power consumption during idle periods.,"The expense of computing and writing XOR parity, which could slow down writes.",Frequent drive failures due to parity calculations.,Limited scalability for small arrays.,C,The text notes: 'Performance problem with RAID 4 (and parity-based RAIDs): expense of computing/writing XOR parity (slower writes).'
Modern RAID storage arrays and Host Bus Adapters (HBAs) often mitigate the write performance issues of parity RAIDs through which primary methods?,By completely eliminating parity calculations and relying solely on mirroring.,"By using slower, less expensive drives to compensate for overhead.",By employing hardware controllers with dedicated parity hardware and NVRAM cache for buffering writes.,By restricting the size of write operations to full blocks only.,By offloading all RAID management to the central processing unit (CPU).,C,"The text states: 'Many RAID storage arrays/HBAs: hardware controller with dedicated parity hardware (offloads computation). Array has NVRAM cache: stores blocks while parity computed, buffers writes.'"
What is the defining characteristic of RAID level 5 that distinguishes it from RAID level 4?,RAID 5 uses two dedicated parity drives.,RAID 5 performs bit-level striping instead of block-level.,RAID 5 distributes both data and parity information among all drives in the array.,"RAID 5 offers no redundancy, focusing solely on performance.",RAID 5 requires all drives to be of the same capacity.,C,"RAID level 5 is defined as 'block-interleaved distributed parity,' meaning it 'Spreads data and parity among all N+1 drives (not parity in one drive).'"
"Why is parity information distributed across all drives in RAID 5, unlike RAID 4 where it resides on a dedicated drive?",To increase storage capacity.,To simplify array configuration.,To avoid the overuse and potential bottleneck of a single parity drive.,To enable hot-swapping of drives without downtime.,To reduce the overall cost of the RAID array.,C,The text explains: 'Spreading parity: avoids overuse of single parity drive (RAID 4 problem).'
What is the main improvement offered by RAID level 6 compared to RAID level 5?,It significantly reduces the number of drives required.,"It uses XOR parity for both redundant blocks, making it simpler.","It stores extra redundant information, allowing the system to tolerate two drive failures.",It offers higher data transfer rates for small reads.,It removes the need for any parity calculations.,C,RAID level 6 'stores extra redundant info for multiple drive failures' and 'System tolerates two drive failures.'
"In RAID level 6's P+Q redundancy scheme, what mathematical concept is typically used to calculate the second (Q) parity block?",Euclidean geometry,Boolean algebra,Galois field math,Linear regression,Fourier analysis,C,"RAID 6 'Uses error-correcting codes (e.g., Galois field math) to calculate Q.'"
