Front,Back,Reversible
What is the primary characteristic of a monolithic operating system structure?,"All kernel functionality is in a single, static binary file within one address space.",y
Which operating system is an example of the original monolithic structure?,Original UNIX OS.,y
How does Linux's kernel structure relate to the monolithic design?,"Linux uses a monolithic kernel, but with a modular design for runtime modification.",y
What are the advantages of a monolithic kernel structure?,High performance due to minimal overhead and fast internal communication.,y
What are the disadvantages of a monolithic kernel structure?,Difficult to implement and extend.,y
Define 'monolithic' in the context of kernel structure.,"Kernel without structure, where all functionality resides in a single, static binary file.",y
What is the concept behind the layered approach to kernel structure?,"The OS is broken into layers (e.g., Layer 0: hardware, Layer N: user interface), where each layer uses functions only from lower layers.",y
How does a layered kernel compare to a monolithic one in terms of component coupling?,"Layered kernels divide into separate, smaller, loosely coupled components, unlike tightly coupled monolithic kernels.",y
What are the advantages of the layered approach in OS design?,Simplicity in construction and debugging.,y
What are the disadvantages of the layered approach in OS design?,Challenges in defining layers and potential poor performance due to multiple layer traversals.,y
Are pure layered systems common today?,"Pure layered systems are rare; however, some layering with fewer, more functional layers is common.",y
Define 'layered approach' in OS structure.,"OS separated into layers, from hardware to user interface.",y
Define 'tightly coupled systems'.,"Processors in close communication, sharing resources.",y
Define 'loosely coupled' in the context of kernel components.,"Kernel composed of components with specific, limited functions.",y
What defines a microkernel structure?,"It removes nonessential components from the kernel, implementing them as user-level programs in separate address spaces, resulting in a smaller kernel.",y
What core functions are typically included in a microkernel?,Minimal process/memory management and a communication facility.,y
How do components communicate in a microkernel system?,"Indirectly, via message passing through the microkernel.",y
What are the benefits of a microkernel architecture?,"Easier OS extension/modification, easier portability, and enhanced security/reliability.",y
Name two examples of operating systems that use a microkernel.,Mach (kernel of Darwin) and QNX.,y
What are the disadvantages of a microkernel architecture?,Performance can suffer due to message copying and process switching overhead.,y
Define 'microkernel'.,"A kernel structure that removes nonessential components from the kernel, implementing them as user-level programs.",y
Define 'Mach'.,A microkernel OS with threading developed at Carnegie Mellon.,y
