Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"According to the text, what is identified as a major factor in overall system performance?",CPU clock speed,Memory bandwidth,I/O operations,Network latency,Disk storage capacity,C,The text explicitly states: 'I/O: major factor in system performance.'
Which of the following activities places heavy demands on the CPU during I/O operations?,Optimizing compiler output,Executing device-driver code and scheduling processes,Performing speculative execution,Managing virtual memory paging,Running anti-virus scans,B,"The text states that heavy demands are placed on the CPU to 'execute device-driver code, schedule processes (block/unblock).'"
"What specifically do context switches stress, according to the provided text?",Network adapters and routers,Hard disk drive platters,CPU and hardware caches,Memory RAM modules,Power supply units,C,The text indicates that 'Context switches: stress CPU and hardware caches.'
Heavy demands on I/O can expose inefficiencies in which specific kernel mechanism?,Memory management unit,File system journaling,Process scheduling algorithms,Kernel's interrupt-handling mechanisms,Network protocol stack,D,The text states that heavy I/O demands 'Exposes inefficiencies in kernel's interrupt-handling mechanisms.'
What causes the memory bus to be heavily loaded during I/O operations?,Excessive CPU clock cycles,Data copies between controllers/physical memory and kernel buffers/application space,Concurrent execution of multiple threads,Graphical rendering operations,Virtual memory swap file usage,B,"The text explains that I/O 'Loads memory bus: data copies between controllers/physical memory, and kernel buffers/application space.'"
What is identified as a major concern for computer architects regarding system performance?,Minimizing power consumption in idle states,Maximizing single-core processor speed,Graceful coping with I/O demands,Designing ergonomic computer cases,Developing new programming languages,C,The text states: 'Graceful coping with demands: major concern for computer architects.'
Why is interrupt handling considered relatively expensive?,It requires specialized hardware co-processors.,"It involves state change, execution of a handler, and state restoration.",It consumes large amounts of disk space.,"It typically runs in user space, increasing overhead.",It necessitates frequent reboots of the system.,B,"The text explains interrupt handling is expensive due to 'state change, execute handler, restore state.'"
Under what specific condition can Programmed I/O (PIO) be more efficient than interrupt-driven I/O?,When direct memory access (DMA) is fully utilized,If busy waiting is minimized,Only in real-time operating systems,When the CPU is entirely idle,If all I/O devices support asynchronous operations,B,The text states: 'Programmed I/O (PIO) can be more efficient than interrupt-driven I/O if busy waiting minimized.'
What overhead does the completion of an I/O operation lead to when it unblocks a process?,Increased memory paging,Disk defragmentation,Full context switch overhead,Network bandwidth saturation,CPU cache flushing,C,The text mentions: 'I/O completion unblocks process: leads to full context switch overhead.'
Which type of system activity is specifically noted for causing a high context-switch rate?,Running CPU-bound mathematical computations,Executing large file copies locally,Network traffic,Compiling source code,Decompressing archives,C,The text states: 'Network traffic: high context-switch rate.'
