Front,Back,Reversible
What are the two main jobs of a computer?,I/O and computing.,y
"Which of the computer's main jobs is often primary, with the other being incidental?","I/O is often primary, with computing being incidental (e.g., browsing, editing).",y
What is the operating system's role concerning I/O?,To manage and control I/O operations and devices.,y
What aspect of I/O hardware provides constraints on OS internal facilities?,I/O hardware basics.,y
What gap is bridged by OS I/O services and application I/O interfaces?,The gap between hardware and application interfaces.,y
What is the UNIX System V STREAMS mechanism?,A mechanism involving dynamic driver code pipelines.,y
What is a major operating system design concern related to devices?,Device control.,y
How does the wide variation in I/O device function and speed impact control methods?,It requires varied control methods.,y
What forms the kernel's I/O subsystem?,The varied control methods for I/O devices.,y
What is the purpose of the kernel's I/O subsystem?,To separate the kernel from device management complexities.,y
What is a key trend in I/O device technology regarding interfaces?,Increasing standardization of software/hardware interfaces.,y
What is the benefit of increasing standardization of software/hardware interfaces in I/O device technology?,It helps incorporate new device generations.,y
What is another key trend in I/O device technology besides standardization?,Increasingly broad variety of I/O devices.,y
What challenge does the increasingly broad variety of I/O devices pose?,"It is a challenge to incorporate new, unlike devices.",y
What basic I/O hardware elements accommodate diverse devices?,"Ports, buses, and device controllers.",y
How is the kernel structured to encapsulate device details and meet I/O challenges?,With device-driver modules.,y
Define 'device driver'.,An OS component providing uniform access and managing I/O to various devices.,y
What kind of interface do device drivers provide to the I/O subsystem?,A uniform device-access interface.,y
What are device drivers' uniform device-access interfaces similar to for applications?,System calls.,y
What are some common types of devices computers operate?,"Storage (disks, tapes), transmission (network, Bluetooth), and human-interface (screen, keyboard, mouse, audio).",y
How do devices communicate with a computer?,Via signals transmitted over cable or air.,y
What is a **port** in I/O hardware?,"A connection point for devices to attach to computers (e.g., serial port).",y
What is a **bus** in computer systems?,"A communication system connecting computer components (CPU, I/O devices) for data and command transfer.",y
What defines a bus beyond just being a set of wires?,"A rigidly defined protocol for messages, including electrical voltages and timings.",y
What is a **daisy chain** in device communication?,"A connection method where devices are connected in a string (A to B, B to C), usually operating as a bus.",y
What characteristics can buses vary in?,"Signaling, speed, throughput, and connection.",y
What is the primary function of a **PCIe bus** in a typical PC structure?,It connects the processor-memory subsystem to fast devices.,y
What is the primary function of an **expansion bus** in a typical PC structure?,"It connects slow devices such as keyboards, serial ports, and USB ports.",y
What is **Serial-attached SCSI (SAS)**?,A common type of I/O bus used to connect disks to a SAS controller.,y
How does PCIe transfer data?,Over 'lanes'.,y
What constitutes a 'lane' in PCIe?,"Two signaling pairs (one for receive, one for transmit), forming a full-duplex byte stream.",y
"What format do PCIe data packets use, and in what direction can data be transferred?","Eight-bit byte format, simultaneously in both directions.",y
What are the possible physical link configurations for PCIe in terms of lanes?,"1, 2, 4, 8, 12, 16, or 32 lanes (e.g., x8).",y
"What do 'generations' refer to in PCIe, and what is an example of its impact?","Different versions of the PCIe standard, impacting throughput (e.g., PCIe gen3 x8 provides 8 GB/s throughput).",y
What is a **controller** in the context of I/O hardware?,"Electronics operating a port, bus, or device. (Alternatively: A special processor managing I/O devices.)",y
Describe a serial-port controller.,It is simple and typically implemented as a single chip.,y
"What is **Fibre Channel (FC)**, and how is its controller often implemented?",FC is a storage I/O bus used in data centers to connect computers to storage arrays. Its controller is complex and often a separate circuit board called a Host Bus Adapter (HBA).,y
What components are typically found in a **Host Bus Adapter (HBA)**?,"A processor, microcode, and private memory for managing the Fibre Channel (FC) protocol.",y
Can devices have built-in controllers? Provide an example.,"Yes, some devices like a disk drive board have built-in controllers.",y
What functions does a disk controller implement and manage?,"It implements disk-side protocols (like SAS, SATA), contains microcode and a processor for tasks such as bad-sector mapping, prefetching, buffering, and caching.",y
How does a processor communicate with a controller?,Via registers (data and control registers).,y
What is one method for a CPU to communicate with I/O devices using special instructions?,Special I/O instructions that transfer a byte or word to an I/O port address.,y
What is **memory-mapped I/O**?,A device I/O method where device-control registers are mapped into the processor's address space.,y
How does the CPU interact with device-control registers in memory-mapped I/O?,It uses standard data-transfer instructions (like load/store) to read from or write to the registers at their mapped memory locations.,y
How did past PCs typically handle I/O communication methods?,They often mixed special I/O instructions and memory-mapped I/O.,y
Why is writing to graphics memory via memory-mapped I/O often preferred over I/O instructions?,Writing millions of bytes to graphics memory using standard data-transfer instructions (memory-mapped) is much faster than executing millions of special I/O instructions.,y
"What is the trend in I/O communication methods for modern systems, and why?",Systems have largely moved to memory-mapped I/O for increased efficiency.,y
How is most I/O conducted in modern systems?,Most I/O is conducted via device controllers using memory-mapped I/O.,y
What are the typically four main registers found in an I/O device controller?,"Status, control, data-in, and data-out registers.",y
What is a **data-in register**?,A device I/O register read by the host to receive input.,y
What is a **data-out register**?,A device I/O register written by the host to send output.,y
"What is a **status register**, and what kind of information do its bits indicate?","A device I/O register indicating status. Its bits indicate states such as command complete, byte available, or an error.",y
"What is a **control register**, and what are some examples of device modes that can be changed via it?","A device I/O register for the host to place commands or change device mode. Examples include full/half-duplex communication, parity settings, word length, and communication speed.",y
What is the typical size of data registers in I/O controllers?,1 to 4 bytes.,y
"What are FIFO (First-In, First-Out) chips used for in some controllers?","They hold several bytes, expanding capacity and buffering data bursts.",y
What term describes the interaction between a host and a controller?,Handshaking.,y
Describe the host's actions in the first three steps of a typical polling handshaking sequence for sending data to a device.,1. The host repeatedly reads the `busy` bit until it is clear. 2. The host sets the `write` bit in the command register and writes the byte to the `data-out` register. 3. The host sets the `command-ready` bit.,y
Describe the controller's actions in a typical polling handshaking sequence after the host has prepared data.,"1. The controller notices `command-ready` is set and sets the `busy` bit. 2. The controller reads the command, reads the `data-out` byte, and performs the I/O operation. 3. The controller clears `command-ready`, clears any `error` bit, and clears the `busy` bit.",y
What action does the host perform in the first step of a polling handshaking sequence?,"The host is **busy-waiting** or **polling**, repeatedly reading the status register until the device is ready.",y
What is **busy waiting**?,"A thread or process continuously uses the CPU while waiting, typically by repeatedly reading a status register in an I/O loop.",y
What is **polling**?,"An I/O loop where an I/O thread continuously reads a status register, waiting for I/O completion.",y
When is polling considered efficient for I/O operations?,"If the controller and device are fast (e.g., completing in as few as 3 CPU cycles).",y
When is polling considered inefficient for I/O operations?,"If the wait for the device to be ready is long and there are other CPU tasks pending, or if the device is rarely ready.",y
What is a risk associated with the host waiting too long during polling?,Risk of data loss due to buffer overflow if the host doesn't process input fast enough.,y
What is an alternative to polling for a hardware controller to notify the CPU when it's ready?,An **interrupt**.,y
What is an **interrupt**?,A hardware mechanism for a device to notify the CPU that it needs attention.,y
How does the CPU detect an interrupt request?,It senses the **interrupt-request line** after each instruction it executes.,y
What happens immediately after a controller asserts an interrupt signal on the interrupt-request line?,The CPU saves its current state and jumps to an **interrupt-handler routine** at a fixed address.,y
