Front,Back
What is the primary goal when designing the Application I/O interface?,To treat I/O devices uniformly.
What are the key approaches used to achieve uniform treatment of I/O devices?,"Abstraction, encapsulation, and software layering."
How are device differences abstracted away in the I/O system?,"By identifying general kinds of devices, each accessed via standardized functions."
What is an 'interface' in the context of I/O device access?,Standardized functions through which each kind of device is accessed.
What encapsulates device differences in the kernel?,Device drivers.
What are 'device drivers'?,Kernel modules custom-tailored to specific devices that export standard interfaces.
What is the purpose of the device-driver layer?,To hide differences among device controllers from the kernel I/O subsystem.
How do I/O system calls relate to hardware differences?,"They encapsulate device behavior in generic classes, hiding hardware differences from applications."
"What are the benefits of the I/O structuring techniques (abstraction, encapsulation, layering)?",Simplifies OS development and allows hardware manufacturers to design compatible devices or write drivers for popular OS.
List the dimensions along which I/O devices vary.,"Character-stream or block; sequential or random access; synchronous or asynchronous; sharable or dedicated; speed of operation; read-write, read only, or write once."
Define 'Character-stream' device.,A device that transfers bytes one by one.
Define 'Block' device.,A device that transfers a block of bytes as a unit.
Define 'Sequential access' for devices.,Data access in a fixed order determined by the device.
Define 'Random-access' for devices.,User can seek to any storage location directly.
Define 'Synchronous' I/O operation.,"Predictable response times, coordinated with the caller."
Define 'Asynchronous' I/O operation.,"Irregular/unpredictable response times, not coordinated with the caller."
Define 'Sharable' device.,A device that can be used concurrently by several processes/threads.
Define 'Dedicated' device.,A device that cannot be used concurrently by multiple processes/threads.
What are the different data transfer directions for I/O devices?,"Read-write (both input/output), Read only (only one data transfer direction), Write once (written once, then read-only)."
How does the OS simplify device access for applications?,"It hides many differences and groups devices into conventional types, providing major access conventions."
What are the major application access conventions for I/O?,"Block I/O, Character-stream I/O, Memory-mapped file access, Network sockets."
What is an 'escape' or 'back door' in the context of device interfaces?,A method of transparently passing arbitrary commands to a device driver when the interface lacks a standard method for specific functionality.
What UNIX system call serves as an 'escape' or 'back door'?,`ioctl()`.
What are the three arguments of the UNIX `ioctl()` system call?,"Device identifier (major/minor numbers), command integer, and a pointer to a data structure."
"What does the 'major number' signify in a device identifier (e.g., for `ioctl()`)?","The device type, which routes I/O requests to the appropriate driver."
"What does the 'minor number' signify in a device identifier (e.g., for `ioctl()`)?",The device instance (which specific device of that type).
What is a 'block-device interface'?,An interface for I/O to disk drives and other block-oriented devices.
What are common commands for a block-device interface?,"`read()`, `write()`, and `seek()` (for random-access devices)."
How do applications usually access block devices?,Via the file-system interface.
What is 'raw I/O'?,"Direct access to secondary storage as a linear array of blocks, bypassing the file system."
When might raw I/O be preferred?,By the OS or special applications like Database Management Systems (DBMS) to avoid extra buffering and redundant locking.
What is 'direct I/O'?,"A compromise mode on a file (e.g., in UNIX) that allows block I/O bypassing OS block features like buffering and locking."
How does memory-mapped file access work?,"It layers on block-device drivers, allowing access to disk storage via a byte array in main memory. A system call maps a file to memory and returns a virtual address."
What is a key efficiency of memory-mapped file access?,Data transfers only occur when needed (demand-paged virtual memory access).
What are the benefits of memory-mapped file access for programmers?,"It is convenient, allowing simple read/write operations to memory instead of using explicit I/O calls."
How is memory-mapped file access used by the kernel?,For kernel services such as executing programs and accessing swap space.
What is a 'character-stream interface'?,"An interface for I/O to character devices such as keyboards, mice, modems, printers, and audio boards."
