Front,Back
What are the main types of device categories computers operate?,"Storage (disks, tapes), transmission (network, Bluetooth), and human-interface (screen, keyboard, mouse, audio)."
How do devices communicate with a computer?,Via signals over cable or air.
What is a 'port' in I/O hardware?,A connection point for devices to attach to computers.
What is a 'bus' in computer systems?,"A communication system connecting computer components (CPU, I/O devices) for data/command transfer; a set of wires with a rigidly defined protocol for messages (electrical voltages, timings)."
What is a 'daisy chain'?,"Devices connected in a string (A to B, B to C), usually operating as a bus."
How do buses vary?,"In signaling, speed, throughput, and connection."
What is the 'PCIe bus' and its purpose?,A common computer I/O bus connecting the processor-memory subsystem to fast devices.
What is an 'expansion bus' and its purpose?,"A computer bus for connecting slow devices (e.g., keyboards)."
What is 'Serial-attached SCSI (SAS)'?,"A common type of I/O bus, used to connect disks to a SAS controller."
What is 'SAS'?,Common type of I/O bus.
Describe a 'PCIe lane'.,Two signaling pairs (receive/transmit) forming a full-duplex byte stream.
What is the data packet format for PCIe?,"Eight-bit byte format, with simultaneous transmission in both directions."
What are the common physical link configurations for PCIe?,"1, 2, 4, 8, 12, 16, or 32 lanes (e.g., x8)."
Give an example of PCIe throughput based on generation and lanes.,PCIe gen3 x8 offers 8 GB/s throughput.
What is a 'controller' in I/O hardware?,"Electronics operating a port, bus, or device; a special processor managing I/O devices."
What is 'Fibre Channel (FC)'?,A storage I/O bus used in data centers to connect computers to storage arrays.
What is a 'host bus adapter (HBA)'?,A device controller installed in a host bus port for device connection.
What components does an HBA typically contain?,"A processor, microcode, and private memory for its specific protocol (e.g., FC protocol)."
Do all devices require external controllers?,"No, some devices, like disk drives, have built-in controllers."
What functions does a disk controller typically perform?,"It implements disk-side protocols (like SAS, SATA), contains microcode, and has a processor for tasks such as bad-sector mapping, prefetching, buffering, and caching."
How does a processor communicate with a controller?,"Via registers (data, control)."
What are the two primary methods for processor-controller communication?,Special I/O instructions and Memory-mapped I/O.
What is 'memory-mapped I/O'?,A device I/O method where device-control registers are mapped into the processor address space.
How does the CPU interact with device-control registers in memory-mapped I/O?,It uses standard data-transfer instructions to read or write to the registers at their mapped memory locations.
Why is memory-mapped I/O generally more efficient than special I/O instructions for large data transfers?,"Writing millions of bytes to memory-mapped regions (e.g., graphics memory) is faster than executing millions of individual I/O instructions."
What is the modern trend regarding I/O communication methods?,"Systems have moved towards memory-mapped I/O for efficiency, with most I/O today occurring via device controllers using this method."
What are the four typical I/O device control registers?,"Status, control, data-in, and data-out registers."
What is a 'data-in register'?,A device I/O register read by the host to get input data.
What is a 'data-out register'?,A device I/O register written by the host to send output data.
What is a 'status register'?,"A device I/O register whose bits are read by the host to indicate states such as command complete, byte available, or error."
What is a 'control register'?,"A device I/O register written by the host to start a command or change a device's mode (e.g., full/half-duplex, parity, word length, speed)."
What is the typical size of data registers?,1-4 bytes.
What are FIFO chips used for in controllers?,"They hold several bytes, expanding capacity and buffering data bursts."
What is 'handshaking' in host-controller interaction?,A coordinated exchange of signals or register bits between the host and controller to manage communication.
Describe the polling process for a host sending a byte to a device.,"1. Host reads `busy` bit until clear. 2. Host sets `write` bit in `command` register, writes byte to `data-out` register. 3. Host sets `command-ready` bit. 4. Controller notices `command-ready` set, sets `busy` bit. 5. Controller reads command, reads `data-out` byte, performs I/O. 6. Controller clears `command-ready`, clears `error` bit, clears `busy` bit."
What is 'busy waiting' or 'polling'?,"A thread or process continuously uses the CPU while waiting for an event; in I/O, it's an I/O loop where the I/O thread continuously reads the status waiting for I/O completion."
When is polling an efficient method for I/O?,"If the controller and device are very fast, or for basic operations (e.g., 3 CPU cycles)."
When is polling inefficient for I/O?,"If the wait is long and other CPU tasks are pending, or if the device is rarely ready, leading to wasted CPU cycles."
