Front,Back
What are some key I/O-related services provided by the kernel's I/O subsystem?,"Scheduling, buffering, caching, spooling, device reservation, and error handling."
On what infrastructure does the kernel's I/O subsystem build?,Hardware and device-driver infrastructure.
What is a key responsibility of the I/O subsystem regarding processes and users?,Protecting itself from errant processes and malicious users.
What is the primary purpose of I/O scheduling?,To determine a good execution order for I/O requests.
"Why is I/O scheduling necessary, considering the order of application system calls?",The order of application system calls is rarely the best for overall system performance.
What are the benefits of I/O scheduling?,"Improve overall system performance, fair device access, and reduce average waiting time."
How is I/O scheduling typically implemented?,By maintaining a wait queue for each I/O device.
What happens when a blocking I/O system call is made?,The request is placed on the device's wait queue.
How does the I/O scheduler optimize the device queue?,It rearranges the queue for efficiency and to reduce average response time.
Can the OS prioritize certain I/O requests? Provide an example.,"Yes, the OS may prioritize delay-sensitive requests, such as those from the virtual memory subsystem over applications."
What is a 'device-status table'?,A kernel data structure that tracks the status and queues of operations for I/O devices.
What information is typically stored in an entry of a device-status table?,"Device type, address, and state (e.g., not functioning, idle, busy)."
What additional information is stored in a device-status table entry if the device is busy?,The request type and parameters of the current operation.
"Besides improving efficiency, what else does scheduling I/O operations enable the OS to use?","Storage space in main memory/storage hierarchy via buffering, caching, and spooling."
Define 'buffer'.,A memory area storing data transferred between devices or between a device and an application.
What is the primary reason for using buffering?,To cope with speed mismatches between a producer and a consumer of data.
Provide an example of speed mismatch buffering.,A network (slow producer) sending data to an SSD (fast consumer); a buffer accumulates network bytes before writing them to the SSD in a single operation.
Define 'double buffering'.,"The use of two buffers to decouple a producer and a consumer, allowing for relaxed timing requirements; while one buffer is being filled, the other is being processed/written."
What other reason is there for buffering beyond speed mismatch?,"To provide adaptations for different data-transfer sizes (e.g., network fragmentation/reassembly)."
What are 'copy semantics' in the context of application I/O?,"The guarantee that data written to disk is the version present at the time the system call was made, independent of any subsequent changes to the application's buffer."
How does the OS typically guarantee copy semantics for a `write()` system call?,"The `write()` system call copies application data to a kernel buffer before returning to the application, and the disk write occurs from this kernel buffer."
"Why is copying data between kernel and application space common, despite its overhead?",Due to the clean semantics it provides.
What more efficient techniques can be used instead of direct data copying for copy semantics?,Virtual memory mapping and copy-on-write page protection.
Define 'cache'.,A region of fast memory that holds copies of data.
What is the primary benefit of accessing cached data?,Access to a cached copy is more efficient than accessing the original data.
Provide an example of caching in a computer system.,"Process instructions stored on disk are cached in physical memory, and further copied into CPU caches for faster access."
What is the key difference between a buffer and a cache?,"A buffer may hold the *only* copy of data being transferred, while a cache holds a *copy* of an item that also resides elsewhere (the original source)."
Can a memory region serve as both a buffer and a cache?,"Yes, caching and buffering are distinct concepts, but a single memory region can serve both purposes."
How do OS main memory buffers for disk data relate to caching?,"These buffers, used for copy semantics and efficient scheduling, also act as a cache to improve I/O efficiency for shared files or rapid write/reread operations."
"What action does the kernel take when a file I/O request is made, in relation to the buffer cache?","The kernel checks the buffer cache first; if the requested data is available, it avoids or defers physical disk I/O."
How do disk writes utilize the buffer cache?,"Disk writes are accumulated in the buffer cache for several seconds, allowing for more efficient write schedules."
Define 'spool' in the context of I/O.,"A buffer holding output for a device, such as a printer, that cannot accept interleaved data streams."
Why is spooling necessary for devices like printers?,"Printers can only serve one job at a time, but multiple applications may attempt to print concurrently. Spooling coordinates this concurrent output."
