Front,Back,Reversible
What are some of the I/O-related services provided by the kernel's I/O subsystem?,"Scheduling, buffering, caching, spooling, device reservation, and error handling.",y
On what infrastructure does the kernel I/O subsystem build?,Hardware and device-driver infrastructure.,y
What is a key responsibility of the I/O subsystem regarding system integrity?,Protecting itself from errant processes and malicious users.,y
What is I/O scheduling?,Determining a good execution order for I/O requests.,y
What are the benefits of I/O scheduling?,"Improving overall system performance, providing fair device access, and reducing average waiting time.",y
How is I/O scheduling typically implemented?,By maintaining a wait queue for each device.,y
What happens to a request from a blocking I/O system call in the context of I/O scheduling?,"The request is placed on the device queue, and the I/O scheduler rearranges the queue for efficiency and average response time.",y
"Can the OS prioritize certain I/O requests over others? If so, give an example.","Yes, the OS may prioritize delay-sensitive requests, such as those from the virtual memory subsystem over applications.",y
How does the kernel manage multiple requests in asynchronous I/O?,The kernel tracks many requests.,y
"Define ""device-status table"".",Kernel data structure tracking status and queues of operations for devices.,y
What information does an entry in the device-status table typically contain?,"Device type, address, and state (e.g., not functioning, idle, busy). If busy, the request type and parameters are also stored.",y
"Beyond direct request ordering, what else does scheduling I/O operations improve?","Computer efficiency, and it also uses storage space in the main memory/storage hierarchy via buffering, caching, and spooling.",y
"Define ""buffer"".",Memory area storing data being transferred.,y
What are the main reasons for using buffering in I/O operations?,"To cope with speed mismatches between producer and consumer, to provide adaptations for different data-transfer sizes, and to support copy semantics for application I/O.",y
Provide an example of how buffering copes with speed mismatch.,"Data from a slow network can be accumulated in a buffer before being written in a single, larger operation to a fast SSD.",y
"Define ""double buffering"".",Copying data twice or using two buffers to decouple producers/consumers.,y
How does double buffering work to relax timing between a producer and consumer?,"While one buffer is being filled by the producer (e.g., network), the other buffer is being processed by the consumer (e.g., drive), and vice versa.",y
How does buffering provide adaptations for different data-transfer sizes?,By handling issues like network fragmentation and reassembly.,y
"Define ""copy semantics"".","Meaning assigned to data copying (e.g., if data can be modified after write request).",y
"Explain ""copy semantics"" in the context of application I/O.","It means that the data written to disk is the version that existed at the time of the system call, independent of any subsequent changes to the application's buffer.",y
How does the OS typically guarantee copy semantics for a `write()` system call?,"The `write()` system call copies application data to a kernel buffer before returning, and the disk write occurs from this kernel buffer.",y
"Despite overhead, why is copying data between kernel and application space common?",Due to the clean semantics it provides.,y
What is a more efficient alternative to directly copying data for buffering purposes?,Using virtual memory mapping and copy-on-write page protection.,y
"Define ""cache"".",Temporary copy of data in fast memory to improve performance.,y
What is the primary benefit of accessing a cached copy of data?,It is more efficient than accessing the original data.,y
Provide an example of how caching is used in a computer system.,"Process instructions stored on disk are cached in physical memory, and then copied to CPU caches.",y
What is the key difference between a buffer and a cache?,"A buffer may hold the only copy of data being transferred, whereas a cache holds a copy of an item that also resides elsewhere.",y
