Front,Back
What is a Multiprogramming Environment?,A system where multiple threads compete for finite resources.
What happens when a thread requests a resource that is unavailable?,The thread enters a waiting state.
Define Deadlock (conceptual).,A situation where a waiting thread can never change state because its requested resources are held by other waiting threads.
Provide the formal definition of Deadlock.,Every process in a set is waiting for an event that can only be caused by another process in the set. (This definition also applies to threads.)
What constitutes the System Composition in the context of resource management?,A finite number of resources distributed among competing threads.
How are Resource Types organized in a system model?,"Resources are partitioned into types (classes), each with identical instances."
Give examples of Resource Types.,"CPU cycles, files, I/O devices."
Explain the concept of identical instances for a resource type.,"Any instance of a resource type should satisfy a request (e.g., if a system has 4 CPUs, any one CPU can satisfy a request for a CPU)."
Which Synchronization Tools are common sources of deadlock?,Mutex locks and semaphores.
How are individual lock instances typically classified as resources?,"Each lock instance is typically its own resource class (e.g., one lock for a queue, another for a linked list)."
What are the three steps in the Resource Utilization Sequence for a thread?,"1. Request
2. Use
3. Release"
"Describe the ""Request"" step in resource utilization.",A thread requests a resource and waits if it is not immediately available.
"Describe the ""Use"" step in resource utilization.",A thread operates on the requested resource.
"Describe the ""Release"" step in resource utilization.",A thread releases the resource after use.
How do threads typically perform resource requests and releases at the system level?,"Via system calls (e.g., `request()`, `release()`, `open()`, `close()`, `allocate()`, `free()`) or via semaphore operations (`wait()`, `signal()`) and mutex locks (`acquire()`, `release()`)."
How does the Operating System (OS) manage resource allocation?,The OS checks for resource allocation via a system table.
What information does the OS's system table track for resource management?,Free/allocated resources and the owning thread for allocated resources.
What happens to threads waiting for requested resources?,They are queued for those resources.
What are the main events that threads in a deadlocked state wait for?,Resource acquisition and release.
Provide an example illustrating a Deadlocked State.,"The Dining-philosophers problem, where each philosopher holds one chopstick and waits for another, creating a circular wait."
What is the developer's responsibility regarding deadlock?,Developers must be aware of deadlock possibilities.
How do locking tools relate to race conditions and deadlocks?,Locking tools prevent race conditions but require careful management of lock acquisition/release to avoid deadlocks.
What concept is illustrated by the Pthreads example in multithreaded applications?,Deadlock with POSIX mutex locks.
What is the function of `pthread_mutex_init()`?,Initializes an unlocked mutex.
What is the function of `pthread_mutex_lock()`?,Acquires a lock; blocks if the lock is held.
What is the function of `pthread_mutex_unlock()`?,Releases a lock.
Which two mutex locks are used in the Pthreads deadlock scenario?,"`first_mutex`, `second_mutex`."
Which two threads are involved in the Pthreads deadlock scenario?,"`thread_one`, `thread_two`."
"In the Pthreads deadlock scenario, in what order does `thread_one` acquire locks?","(1) `first_mutex`, (2) `second_mutex`."
"In the Pthreads deadlock scenario, in what order does `thread_two` acquire locks?","(1) `second_mutex`, (2) `first_mutex`."
Describe the condition under which deadlock is possible in the Pthreads scenario with `first_mutex` and `second_mutex`.,"If `thread_one` acquires `first_mutex` and `thread_two` acquires `second_mutex`, both threads will block waiting for the other's lock."
What is a significant characteristic of deadlock occurrence?,It is intermittent.
Why might a potential deadlock not always occur?,If one thread acquires and releases both locks before the other thread starts.
What system component can influence whether a deadlock occurs?,The CPU scheduler.
What difficulty does the intermittent nature of deadlocks present?,Makes identifying and testing for deadlocks difficult.
What kind of failure is livelock classified as?,A liveness failure.
How is livelock similar to deadlock?,Both are liveness failures.
What is a key distinction between livelock and deadlock regarding thread state?,"In livelock, threads are not blocked, unlike deadlock."
Define livelock.,A condition in which a thread continuously attempts an action that fails.
Provide an analogy that illustrates livelock.,"Two people trying to pass in a hallway, repeatedly moving into each other's way. They are active but make no progress."
"Which Pthreads function is used in the livelock example, and what is its purpose?",`pthread_mutex_trylock()` attempts to acquire a lock without blocking.
Describe the livelock scenario involving `pthread_mutex_trylock()` and two threads.,"`thread_one` acquires `first_mutex`, `thread_two` acquires `second_mutex`. Both then call `trylock` on the other mutex, which fails. They release their locks and repeat indefinitely."
What often causes livelock to occur?,When threads retry failing operations at the same time.
How can livelock be avoided?,By having threads retry failing operations at random times.
What real-world example demonstrates a mechanism similar to livelock avoidance?,Ethernet: Hosts involved in a network collision backoff for a random period before retransmitting.
"How common is livelock compared to deadlock, and is it still a concern?","Less common than deadlock, but still a challenge in concurrent application design."
What are the four necessary conditions for a deadlock to occur?,"Mutual exclusion, Hold and wait, No preemption, Circular wait."
"Define ""Mutual exclusion"" as a necessary condition for deadlock.",At least one resource must be held in a nonsharable mode.
"Define ""Hold and wait"" as a necessary condition for deadlock.",A thread must be holding at least one resource and waiting to acquire additional resources held by other threads.
"Define ""No preemption"" as a necessary condition for deadlock.",A resource can be released only voluntarily by the thread holding it.
"Define ""Circular wait"" as a necessary condition for deadlock.","A set of waiting threads {T0, T1, ..., Tn} must exist such that T0 is waiting for a resource held by T1, T1 is waiting for a resource held by T2, ..., Tn-1 is waiting for a resource held by Tn, and Tn is waiting for a resource held by T0."
"For a deadlock to occur, must all four necessary conditions hold simultaneously?",Yes.
"Which of the four necessary deadlock conditions implies the ""Hold and wait"" condition?",The circular-wait condition.
What is a system resource-allocation graph?,"A directed graph used for precise description of deadlocks, consisting of a set of vertices V and a set of edges E."
How are the vertices (V) in a system resource-allocation graph partitioned?,"Into two types: T (set of all active threads: {T1, T2, ..., Tn}) and R (set of all resource types: {R1, R2, ..., Rm})."
"In a system resource-allocation graph, what is a ""request edge""?","A directed edge from thread Ti to resource type Rj (Ti → Rj), signifying that Ti has requested an instance of Rj."
"In a system resource-allocation graph, what is an ""assignment edge""?","A directed edge from resource type Rj to thread Ti (Rj → Ti), signifying that an instance of Rj has been allocated to Ti."
What does it signify if a system resource-allocation graph contains no cycles?,No thread is deadlocked.
"If a system resource-allocation graph contains a cycle, what does that imply about a deadlock?",A deadlock may exist.
When does a cycle in a system resource-allocation graph *imply* that a deadlock has occurred?,If each resource type has exactly one instance.
"If a system resource-allocation graph contains a cycle, but each resource type has *several* instances, what is the implication regarding deadlock?",A cycle is a necessary but not a sufficient condition for deadlock.
What are the three main ways to deal with deadlock?,"Ignore problem, Prevent/Avoid, and Detect/Recover."
"Describe the ""Ignore problem"" approach to deadlock handling.","Pretend deadlocks never occur (most OS, e.g., Linux, Windows)."
"Describe the ""Prevent/Avoid"" approach to deadlock handling.",Use a protocol to ensure the system *never* enters a deadlocked state.
"Describe the ""Detect/Recover"" approach to deadlock handling.","Allow the system to enter a deadlocked state, then detect and recover (some systems, e.g., databases)."
"Why is the ""ignoring problem"" solution for deadlocks common in operating systems?",Due to the infrequency of deadlocks and the cost of other methods.
Can different deadlock handling approaches be combined?,"Yes, basic approaches can be combined for an optimal solution per resource class."
"Define ""deadlock prevention.""",Methods to ensure at least one necessary condition for deadlock cannot hold.
How does Deadlock Prevention prevent deadlocks?,By constraining resource request methods.
What information must the OS be given in advance for Deadlock Avoidance?,Information on resources a thread will request/use.
What factors does the OS consider when deciding to satisfy or delay a resource request using Deadlock Avoidance?,"Currently available resources, resources allocated to each thread, and future requests/releases of each thread."
When is the Deadlock Detection and Recovery approach applied?,"If no prevention or avoidance mechanisms are in place, allowing deadlock to arise."
