Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which of the following Intel architectures was primarily 32-bit and included Pentium processors?,x86-64,ARM,IA-32,IA-64,Intel 8086,C,"The text states that '32-bit chips: IA-32, included Pentium processors'."
What is the primary memory management concept used in the Intel IA-32 architecture?,Swapping and Caching,Segmentation and Paging,Relocation and Protection,Virtualization and Emulation,Demand Paging and Thrashing,B,The text explicitly states: 'Memory management in IA-32: segmentation and paging'.
"In the IA-32 architecture, what is the correct sequence of address translation?",Logical address -> Paging unit -> Linear address -> Segmentation unit -> Physical address,Physical address -> Paging unit -> Linear address -> Segmentation unit -> Logical address,Logical address -> Segmentation unit -> Linear address -> Paging unit -> Physical address,Linear address -> Segmentation unit -> Logical address -> Paging unit -> Physical address,Physical address -> Segmentation unit -> Linear address -> Paging unit -> Logical address,C,The text describes the flow: 'CPU generates logical addresses -> segmentation unit. Segmentation unit produces linear address -> paging unit. Paging unit generates physical address in main memory.'
The memory-management unit (MMU) in IA-32 architecture is formed by which two units?,CPU and Main Memory,Cache and Registers,Segmentation and Paging units,I/O Controller and DMA,Arithmetic Logic Unit and Control Unit,C,The text states: 'Segmentation and paging units form memory-management unit (MMU)'.
What is the maximum segment size in IA-32 segmentation?,1 MB,4 KB,1 GB,4 GB,16 KB,D,The text specifies: 'IA-32 segment size: up to 4 GB'.
How many segments can a process have in the IA-32 segmentation architecture?,4 K,8 K,16 K,32 K,64 K,C,The text states: 'Max segments per process: 16 K'.
Which table holds information for segments private to a process in IA-32 segmentation?,Page Directory,Global Descriptor Table (GDT),Local Descriptor Table (LDT),Process Control Block (PCB),Translation Lookaside Buffer (TLB),C,"The text specifies: 'Information for first partition: local descriptor table (LDT)', and this partition is 'private to process'."
Each entry in the Local Descriptor Table (LDT) or Global Descriptor Table (GDT) is an 8-byte ______.,page table entry,segment descriptor,address translation entry,cache line,protection bit,B,The text states: 'Each LDT/GDT entry: 8-byte segment descriptor'.
A logical address in IA-32 segmentation is composed of which two parts?,Base and Limit,Page Number and Offset,Selector and Offset,Segment Register and Index,Linear Address and Physical Address,C,"The text defines a logical address as: '(selector, offset)'."
What is the purpose of the six segment registers in IA-32 segmentation?,To store physical addresses directly,"To act as a cache for segment descriptors, avoiding memory reads",To hold the base and limit of all 16K segments,To control I/O operations,To store the 32-bit linear address,B,The text states: 'Six 8-byte microprogram registers: hold descriptors (LDT/GDT cache). Cache avoids reading descriptor from memory for every reference.'
What is the length of a linear address in the IA-32 architecture?,16 bits,32 bits,48 bits,64 bits,128 bits,B,The text specifies: 'Linear address (IA-32): 32 bits long'.
"In IA-32 segmentation, what occurs if an address validity check fails against the segment limit?",The address is automatically corrected.,The system writes data to an invalid memory location.,A memory fault (trap to OS) is generated.,The operation is retried from a different segment.,The CPU enters a low-power state.,C,The text states: 'Limit checks address validity; invalid -> memory fault (trap to OS)'.
What are the typical page sizes supported by IA-32 paging?,1 KB or 2 MB,2 KB or 4 MB,4 KB or 4 MB,8 KB or 1 GB,16 KB or 2 GB,C,The text indicates: 'IA-32 page size: 4 KB or 4 MB'.
"For 4-KB pages in IA-32, a 32-bit linear address is divided into how many parts and what are their bit lengths?","Two parts: page number (20 bits), offset (12 bits)","Three parts: p1 (10 bits), p2 (10 bits), offset (12 bits)","Three parts: p1 (12 bits), p2 (10 bits), offset (10 bits)","Four parts: p1 (8 bits), p2 (8 bits), p3 (8 bits), offset (8 bits)","Two parts: page directory (16 bits), page table (16 bits)",B,The text details: '32-bit linear address division: Page number p1: 10 bits (high-order). Page number p2: 10 bits (inner). Page offset d: 12 bits (low-order).'
Which register points to the page directory for the current process in IA-32 paging?,EAX,ESP,CR0,CR3,EIP,D,The text specifies: 'CR3 register points to page directory for current process'.
"In IA-32 paging, if the `Page_Size` flag in a page directory entry is set, what is the size of the page frame and what happens to the paging process?","4 KB, and it uses a three-level paging scheme.","4 MB, and it bypasses the inner page table.","2 MB, and it triggers a memory fault.","1 GB, and it requires a TLB flush.","64 KB, and it swaps the page to disk.",B,The text states: 'If Page_Size set: page frame is 4 MB (bypasses inner page table)'.
