Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What are the three common techniques for structuring the page table mentioned in the text?,"Segmented paging, Indexed paging, Clustered paging","Hierarchical paging, Hashed page tables, Inverted page tables","Single-level paging, Multi-level paging, Forward-mapped paging","Direct-mapped paging, Cache-based paging, Linked-list paging","Virtual paging, Physical paging, Logical paging",B,"The text explicitly states that it ""Explores common techniques for structuring the page table: hierarchical paging, hashed page tables, and inverted page tables."""
What primary problem does the hierarchical paging scheme attempt to solve in modern computer systems?,Reducing the complexity of virtual address translation at the hardware level.,Minimizing the number of Translation Lookaside Buffer (TLB) misses.,Handling excessively large page tables that result from large logical address spaces.,Improving the speed of I/O operations by optimizing page transfers.,Enabling shared memory between multiple processes more efficiently.,C,"The text identifies that ""Modern computer systems support large logical address spaces... Page table itself becomes excessively large,"" and that hierarchical paging is a ""Solution: divide page table into smaller pieces."""
"For a 32-bit logical address space with a 4 KB page size, how many entries would a single-level page table typically have?",2^10 entries,2^12 entries,2^20 entries,2^32 entries,2^4 entries,C,"A 32-bit logical address space and 4 KB ($2^{12}$ bytes) page size implies a 12-bit page offset. The remaining bits for the page number are 32 - 12 = 20 bits. Thus, the page table would have $2^{20}$ entries."
"Considering a 32-bit logical address space with a 4 KB page size, if each page table entry is 4 bytes, how much physical memory could a single process's page table occupy?",4 KB,1 MB,4 MB,16 MB,1 GB,C,"The example calculates that with $2^{20}$ entries and 4 bytes per entry, the page table would consume ""up to 4 MB physical address space for page table alone"" ($2^{20} 	imes 4 	ext{ bytes} = 4,194,304 	ext{ bytes} = 4 	ext{ MB}$). "
"In a two-level paging algorithm for a 32-bit logical address space with a 4 KB page size, how is the 20-bit page number logically divided?",5-bit outer page number ($p_1$) and 15-bit inner page offset ($p_2$),12-bit outer page number ($p_1$) and 8-bit inner page offset ($p_2$),10-bit outer page number ($p_1$) and 10-bit inner page offset ($p_2$),15-bit outer page number ($p_1$) and 5-bit inner page offset ($p_2$),20-bit outer page number ($p_1$) and 0-bit inner page offset ($p_2$),C,"The text specifies: ""Page number further divided: $p_1$: 10-bit outer page number... $p_2$: 10-bit inner page offset."""
What is another term used to describe a hierarchical page table where address translation starts at the outer page table and moves inward?,Backward-mapped page table,Inverted page table,Hashed page table,Forward-mapped page table,Clustered page table,D,"The text explicitly states that this scheme is ""Also known as a forward-mapped page table."" The glossary also confirms this definition."
Why are hierarchical page tables generally considered inappropriate for 64-bit architectures?,They increase the complexity of I/O operations.,"They would require an excessive number of paging levels, leading to prohibitive memory accesses.",They are not compatible with the instruction sets of 64-bit CPUs.,They result in insufficient memory utilization for large address spaces.,They lack the necessary security features for modern 64-bit systems.,B,"The text states that a ""64-bit UltraSPARC: would require seven levels of paging (prohibitive memory accesses)"" and concludes that ""Hierarchical page tables generally inappropriate for 64-bit architectures."""
What is the primary purpose of hashed page tables?,To optimize physical memory allocation for small systems.,To handle address spaces larger than 32 bits.,To eliminate the need for a Translation Lookaside Buffer (TLB).,To provide direct mapping from virtual to physical addresses without intermediate structures.,To reduce the number of entries in the main system page table.,B,"The text states that hashed page tables are an ""Approach for handling address spaces larger than 32 bits."""
"In a hashed page table, what is typically used as the hash value?",The physical page number.,The page offset.,The virtual page number.,The process identifier (PID).,A combination of physical and virtual addresses.,C,"The text explicitly states: ""Hash value: virtual page number."""
How do hashed page tables typically resolve collisions when multiple virtual page numbers map to the same hash table entry?,By discarding the conflicting entry and marking it as an error.,By using a secondary hashing function to re-distribute entries.,By maintaining a linked list of elements at each hash table entry.,By dynamically resizing the hash table when collisions occur.,By triggering a page fault and loading the correct page.,C,"The text specifies that ""Each entry in hash table: linked list of elements (to handle collisions)."""
"What is a distinguishing characteristic of clustered page tables, a variation of hashed page tables for 64-bit address spaces?",Each entry refers to a single virtual page only.,They are exclusively used for mapping kernel memory regions.,"Each entry refers to several pages (e.g., 16), storing mappings for multiple physical-page frames.",They do not utilize a hash function for address lookup.,"They are optimized for dense, contiguous address spaces rather than sparse ones.",C,"The text states that in clustered page tables, ""Each entry refers to several pages (e.g., 16) instead of a single page,"" and they ""Single page-table entry stores mappings for multiple physical-page frames."""
