Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which of the following best defines virtual memory?,A technique that compiles programs directly into physical memory addresses.,"A method to restrict processes to a fixed, small amount of physical memory.",A technique allowing the execution of processes that are not entirely loaded into physical memory.,A system feature that encrypts memory content for security purposes.,A type of cache memory used to speed up CPU access to frequently used data.,C,Virtual memory is defined as a technique that allows execution of processes even if they are not entirely present in physical memory.
What is considered a major advantage of utilizing virtual memory?,It eliminates the need for any physical RAM in a computer system.,"It restricts programs to a size smaller than the available physical memory, ensuring stability.",It allows programs to be much larger than the available physical memory.,It automates the process of data backup and recovery.,"It provides a direct, unmanaged interface to physical memory addresses.",C,A major advantage of virtual memory is that it allows programs to be larger than the actual physical memory available.
How does virtual memory abstract main memory?,"It converts it into a series of independent, disconnected memory modules.","It presents it as a large, uniform storage array.","It segments it into private, non-sharable regions for each process.",It treats it as a read-only device for security.,It limits its size to only the actively used portions of a program.,B,"Virtual memory abstracts main memory into a large, uniform storage array, simplifying the view for programmers."
Virtual memory fundamentally separates which two types of memory?,Cache memory from main memory.,Solid-state drives from hard disk drives.,Logical memory (programmer's view) from physical memory.,Read-only memory (ROM) from random-access memory (RAM).,Volatile memory from non-volatile memory.,C,A core aspect of virtual memory is the separation of logical memory (the programmer's conceptual view) from physical memory (the actual hardware memory).
Which benefit does virtual memory provide to programmers regarding memory management?,It requires programmers to manually manage memory allocation and deallocation.,It introduces complex constraints on program size.,It frees programmers from concern about the physical memory-storage limitations.,"It forces programmers to write smaller, more efficient code.",It eliminates the need for any memory access instructions in code.,C,"Virtual memory frees programmers from the burden of managing physical memory limitations, allowing them to write code for a much larger, abstract memory space."
Virtual memory facilitates which of the following sharing capabilities?,Sharing of CPU registers between unrelated processes.,Sharing of keyboard and mouse input exclusively.,"Sharing of files, system libraries, and implementation of shared memory regions.",Sharing of network bandwidth only.,Sharing of display monitor resolutions.,C,"Virtual memory enables processes to share common resources like files and system libraries efficiently, and it provides mechanisms for implementing shared memory for inter-process communication."
How does virtual memory typically impact the efficiency of process creation?,It significantly slows down process creation due to complex mapping overhead.,It has no impact on process creation efficiency.,It serves as an efficient mechanism for process creation.,It requires manual intervention to create new processes.,"It only allows for the creation of very small, simple processes.",C,"Virtual memory provides an efficient mechanism for process creation, especially by allowing pages to be shared during operations like fork()."
What is a potential drawback or challenge associated with virtual memory implementation?,It simplifies hardware requirements significantly.,It guarantees optimal performance under all circumstances.,Its implementation can be complex and may decrease performance if used carelessly.,It eliminates all forms of memory fragmentation.,"It requires all data to be stored on external, slow storage devices.",C,The text states that virtual memory implementation can be complex and may decrease performance if used carelessly.
"Under traditional memory management, what was a key characteristic regarding process execution?",Processes could execute even if only partially loaded into memory.,The entire process had to be in physical memory for execution.,Memory was dynamically allocated from a shared pool across networks.,Only the kernel's code was allowed in physical memory.,Programs were always smaller than the available cache memory.,B,Traditional memory management required the entire process to be loaded into physical memory before execution could begin.
What was the primary limitation imposed by traditional memory management concerning program size?,Program size was limited by the available hard disk space.,Program size was limited by the speed of the CPU.,Program size was limited by the amount of physical memory.,Program size was limited by network bandwidth.,Program size was limited by the number of CPU cores.,C,"In traditional memory management, the program's size was directly constrained by the amount of physical memory installed in the system."
Which of the following is a reason why real programs often do not need their entire code in physical memory at once?,All programs are designed to be run entirely from ROM.,"Error handling code is seldom executed, and arrays/lists often allocate more memory than needed.",Modern compilers automatically remove unused code segments before execution.,"Operating systems always swap out entire programs, regardless of need.","Physical memory is infinitely expandable, so code is always loaded entirely.",B,"Real programs often contain components like error handling code that are seldom executed, or data structures like arrays/lists that are allocated more memory than immediately required, making full loading unnecessary."
What is a direct benefit of allowing only a partial program to reside in memory during execution?,It requires less complex memory management hardware.,"Programs are not constrained by the physical memory size, enabling a large virtual address space.",It eliminates the need for secondary storage devices.,It guarantees that all programs will run faster.,It prevents any other programs from running concurrently.,B,"A key benefit is that programs are no longer constrained by the physical memory size, as they can utilize a much larger virtual address space."
