Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What is the primary problem that 'pure demand paging' often faces when a process initially starts?,Excessive CPU utilization due to constant context switching.,"A large number of page faults, especially in the initial phase.",Insufficient physical memory leading to thrashing.,Difficulty in allocating contiguous memory blocks.,High overhead from TLB misses.,B,"Pure demand paging experiences a large number of page faults when a process starts, particularly due to initial locality, as pages are brought in only when referenced."
What is the main purpose of 'prepaging'?,To reduce the overall memory footprint of a process.,To prevent high initial paging activity when a process begins.,To ensure that all pages are modified before being written to disk.,To increase the system's bus transfer rate.,To optimize the page replacement algorithm.,B,"Prepaging is an attempt to prevent high initial paging, which is characteristic of pure demand paging when a process starts."
Which strategy describes how prepaging attempts to reduce initial page faults?,It limits the number of pages a process can request at once.,It brings all necessary pages into memory only when they are referenced.,It attempts to bring some or all potentially needed pages into memory at once.,It swaps out infrequently used pages to secondary storage.,It prioritizes pages based on their modification status.,C,"Prepaging's strategy is to bring some or all needed pages into memory at once, proactively, before they are explicitly requested by a page fault."
"In the context of prepaging, which model is cited as an example where the working set for a suspended process can be remembered and brought back upon resumption?",Least Recently Used (LRU) model,"First-In, First-Out (FIFO) model",Working-set model,Optimal replacement model,Clock replacement model,C,"The working-set model is given as an example for prepaging, where the working set of a suspended process is remembered and automatically brought back into memory upon process resumption."
"What is the primary advantage of prepaging, as discussed in the text?",It eliminates the need for a page table.,It reduces the cost of context switching.,It can potentially reduce total overhead by trading prepaging cost against page fault servicing cost.,It guarantees that no page will ever be swapped out.,It always results in higher memory utilization.,C,"The advantage of prepaging is the potential trade-off between the cost of prepaging and the cost of servicing individual page faults. If the prepaged pages are indeed used, it saves on the overhead of multiple page faults."
What is a significant risk associated with prepaging?,It can lead to an increase in TLB misses.,It may cause system thrashing if too many processes are prepaged.,"Many of the prepaged pages may not actually be used, wasting memory and I/O.",It requires significant hardware changes to implement.,It complicates the process of allocating virtual memory.,C,"A significant risk of prepaging is that many of the pages brought into memory proactively may not be used, leading to wasted memory and I/O resources."
"In the cost analysis of prepaging, if 's' pages are prepaged and 'α' is the fraction of those pages actually used, under what condition does prepaging 'win' (i.e., is beneficial)?",When α is approximately 0.,When α is approximately 0.5.,When α is approximately 1.,When s is very large.,When the cost of servicing a page fault is very low.,C,"Prepaging wins if 'α' (the fraction of prepaged pages actually used) is approximately 1, meaning most prepaged pages are indeed utilized, saving numerous page faults."
"Regarding prepaging, what is generally true about prepaging executable programs versus files?",Prepaging executable programs is more predictable due to their sequential nature.,Prepaging files is more difficult due to unclear page requirements.,Prepaging executable programs is typically easier as all code is needed upfront.,Prepaging files is more predictable because they are often accessed sequentially.,Neither executable programs nor files can be effectively prepaged.,D,"Prepaging files is described as more predictable because files are often accessed sequentially, making it easier to determine which pages might be needed next. Prepaging executable programs is noted as difficult."
Which Linux system call is mentioned as a mechanism for prefetching file contents into memory?,fork(),mmap(),readahead(),execve(),sync(),C,"The Linux `readahead()` system call is specifically mentioned as a way to prefetch file contents into memory, exemplifying prepaging for files."
"When designing a new machine, what is a key consideration regarding page size?","There is a single, universally best page size for all systems.","Page sizes are typically fixed at 4KB, regardless of system design.",The optimal page size depends on various factors and there is no single best size.,Page sizes must always be prime numbers.,Page size is irrelevant to system performance.,C,"The text states that there is no single best page size, and the decision depends on various factors that support different sizes."
What is the typical characteristic of page sizes in computer systems?,They are invariably odd numbers.,They are always multiples of 10.,"They are invariably powers of 2, typically ranging from 4,096 to 4,194,304 bytes.",They are determined by the amount of available RAM.,"They are always less than 1,024 bytes.",C,"Page sizes are invariably powers of 2, typically ranging from 4,096 ($2^{12}$) to 4,194,304 ($2^{22}$) bytes."
How does decreasing the page size affect the page table size?,"It decreases the number of pages, thus decreasing the page table size.","It increases the number of pages, thus increasing the page table size.",It has no effect on page table size.,It makes page table size dynamic and unpredictable.,It allows page tables to be stored entirely in hardware.,B,"Decreasing the page size means a given virtual memory space will be divided into more pages, thereby increasing the number of entries needed in the page table, which increases the page table size."
"For a 4 MB virtual memory, which page size would result in a smaller page table?","1,024 bytes per page","8,192 bytes per page",Both result in the same page table size.,Page table size is not affected by page size.,It depends on the number of active processes.,B,"Larger page sizes result in fewer pages for a given virtual memory space, thus reducing the size of the page table. For 4 MB virtual memory, 8,192 bytes per page (512 pages) results in a smaller page table than 1,024 bytes per page (4,096 pages)."
Which page size is generally desirable for minimizing the size of the page table?,"Very small page sizes (e.g., 64 bytes)","Medium page sizes (e.g., 4KB)",Large page sizes,Page size has no impact on page table size.,Dynamic page sizes that change during runtime.,C,"Large page sizes are desirable for page table size because fewer pages are needed to cover the same virtual address space, resulting in a smaller page table for each active process."
What is 'internal fragmentation' in the context of memory utilization with paging?,Memory lost due to pages being swapped out to disk.,"Unused space within an allocated page, because a process typically doesn't end exactly on a page boundary.","Memory fragmented into many small, non-contiguous blocks.",Overhead associated with managing the page table.,Memory wasted by system calls.,B,"Internal fragmentation refers to the unused part of the final page allocated to a process, as a process rarely ends exactly on a page boundary, leaving some space within that page allocated but unused."
"To minimize internal fragmentation, what characteristic should the page size have?",It should be as large as possible.,It should be a prime number.,It should be a small page size.,It should be equal to the process's total memory requirement.,It should be dynamically adjusted during execution.,C,"Minimizing internal fragmentation requires a small page size, as the average waste is half of the final page; a smaller page means less wasted space."
"Which component of I/O time is proportional to the page size, arguing for a small page size?",Seek time,Latency time,Transfer time,Queueing time,Processing time,C,"Transfer time, which is the time to actually move the data, is proportional to the page size. This factor, by itself, argues for a smaller page size to reduce transfer time."
Why do larger page sizes generally lead to less total I/O time despite increased transfer time per page?,Because larger pages fit better into disk cache.,"Because latency and seek times often dwarf the transfer time, making fewer, larger transfers more efficient.",Because larger pages enable parallel I/O operations.,Because they reduce the overall number of memory references.,Because they are easier for the memory controller to manage.,B,"Latency and seek times contribute significantly to total I/O time and are incurred once per I/O operation. By having larger pages, fewer I/O operations are needed, so even if transfer time per page increases, the reduction in seek and latency overheads often results in less total I/O time."
"In the context of I/O time, what does the text argue regarding page size?",Smaller page sizes minimize total I/O time.,Larger page sizes minimize total I/O time.,I/O time is independent of page size.,Only transfer time affects I/O efficiency.,Optimal I/O time is achieved with highly variable page sizes.,B,"The text argues that to minimize I/O time, a larger page size is needed, as the fixed overheads (seek, latency) dwarf the transfer time, making fewer, larger transfers more efficient."
