Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
How are pages typically allocated when a user-mode process requests memory?,From a dedicated user-mode heap.,Directly from physically contiguous memory.,From the kernel's free page frame list.,By allocating entire slabs from the kernel pool.,Via the buddy system allocator.,C,The text states that 'User-mode process requests memory -> pages allocated from kernel's free page frame list.'
"What is a common consequence of a user-mode process requesting a small amount of memory (e.g., a single byte) when pages are allocated from the kernel's free page frame list?",External fragmentation.,Memory thrashing.,Internal fragmentation.,Page fault.,Memory leak.,C,The text explains: 'Single byte request -> entire page frame granted -> internal fragmentation.'
How is the kernel's free page frame list primarily populated?,By kernel module insertions.,Through the process of booting the system.,By page-replacement algorithms.,By user-mode application memory releases.,By the system's power-of-2 allocator.,C,"The text specifies: 'List populated by page-replacement algorithms (e.g., Section 10.4).'"
Which characteristic describes the physical location of free pages available to user-mode processes?,They are always physically contiguous.,They are typically scattered throughout physical memory.,"They are reserved in a single, large block.",They are allocated in fixed-size segments only.,They are always located at the start of physical memory.,B,The text states: 'Free pages scattered throughout physical memory.'
Which of the following is a primary reason why kernel memory is often allocated from a different free-memory pool than user-mode memory?,To prevent user-mode processes from accessing kernel data.,"Kernel requests are always for very large, fixed-size blocks.","Kernel requests often involve varying data structure sizes, some less than a page.","User-mode processes require physically contiguous memory, unlike the kernel.",Kernel memory is volatile and frequently swapped out.,C,"One stated reason is: 'Kernel requests varying data structure sizes, some less than a page. Must use memory conservatively, minimize fragmentation waste.'"
What is a common practice in many operating systems regarding kernel code and data in relation to paging?,They are always subjected to aggressive paging.,They are typically not subjected to paging.,They are paged out only under extreme memory pressure.,They reside exclusively in swap space.,They are fragmented across many non-contiguous pages.,B,The text notes: 'Many OS do not subject kernel code/data to paging.'
"Why might kernel memory sometimes require physically contiguous pages, even though user-mode pages don't necessarily need them?",For improved cache performance.,To simplify virtual memory address translation for the kernel.,Because hardware devices often interact directly with physical memory without a virtual memory interface.,To ensure better security isolation between kernel modules.,To facilitate faster context switching between kernel threads.,C,The text states: 'Hardware devices interact directly with physical memory (no virtual memory interface). May require physically contiguous pages.'
Which two strategies are specifically mentioned for managing kernel free memory?,Paging and Segmentation.,First-fit and Best-fit.,Buddy system and Slab allocation.,Swapping and Demand Paging.,External fragmentation and Internal fragmentation.,C,"The text lists: 'Strategies for managing kernel free memory: ""buddy system"" and ""slab allocation"".'"
From what kind of memory segment does the buddy system primarily allocate memory?,Fixed-size segments of virtually contiguous pages.,Dynamically sized segments from a global heap.,Fixed-size segments of physically contiguous pages.,Variable-size pages from the user-mode pool.,Smallest available page frames from scattered physical memory.,C,The text states the buddy system 'Allocates memory from fixed-size segment of physically contiguous pages.'
What does a 'power-of-2 allocator' in the buddy system imply about how memory requests are satisfied?,Requests are always rounded down to the nearest power of 2.,Memory is allocated in units that are multiples of 2.,Requests are satisfied in units sized as a power of 2.,"The system can only allocate 2, 4, 8, 16, or 32 KB segments.",It uses a binary tree structure for allocation tracking.,C,The text and glossary define 'power-of-2 allocator' as satisfying 'requests in units sized as a power of 2.'
