Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which of the following is a primary benefit of demand paging?,It pre-loads all pages into memory at process start.,It saves I/O by loading only used pages.,It eliminates the need for swap space.,It guarantees zero page faults during execution.,It simplifies hardware memory management unit (MMU) design.,B,Demand paging is designed to save I/O and memory by only loading pages into physical memory when they are actually needed (demanded).
How does 'over-allocating' memory primarily impact the degree of multiprogramming in a system?,It decreases the degree of multiprogramming by limiting available frames.,It has no direct impact on the degree of multiprogramming.,It increases the degree of multiprogramming by allowing more processes to share memory.,It requires less CPU utilization due to reduced context switching.,It completely eliminates the need for virtual memory.,C,"Over-allocating memory means allocating more virtual memory than physically available, which allows more processes to be resident in memory, thereby increasing the degree of multiprogramming."
What is a potential problem that can arise from over-allocating memory?,Increased CPU idle time.,Processes consistently using only a small fraction of their allocated pages.,System memory becoming exclusively used for I/O buffers.,Processes suddenly needing more pages than the total available physical frames.,Reduced overall system throughput.,D,"The problem with over-allocation is when processes, which were initially using only a small portion of their virtual memory, suddenly need all their pages, exceeding the total physical frames available."
"Besides process pages, what other component utilizes system memory, potentially increasing strain on memory-placement?",Secondary storage devices.,Network interface cards.,I/O buffers.,CPU registers.,The system clock.,C,"The text states that 'System memory also used for I/O buffers, increasing strain on memory-placement.'"
How does memory over-allocation typically manifest itself in a running system?,As a system crash with a memory access violation.,As a page fault when there are no free frames available.,As consistently low CPU utilization.,As unusually fast process execution times.,As an immediate system reboot.,B,The text explicitly states: 'Over-allocation manifests as page fault with no free frames.'
What does 'over-allocating' mean in the context of memory management?,Providing dedicated physical memory to each process.,"Providing access to more resources than physically available, such as allocating more virtual memory than physical memory.",Assigning more CPU cores than physically present in the system.,"Reserving all swap space for a single, critical application.",Loading all possible pages of a process into memory at startup.,B,"According to the glossary, 'over-allocating' means 'Providing access to more resources than physically available; allocating more virtual memory than physical memory.'"
"In basic page replacement, what is the initial action if a page fault occurs and no free frame is available?",Immediately terminate the process causing the fault.,Suspend all processes until more physical memory is installed.,Find a frame that is not currently in use and free its contents.,Ignore the page fault and continue execution.,Increase the size of the swap space dynamically.,C,"The procedure is: 'If no free frame, find one not in use and free it.'"
"When a frame is freed during page replacement, what happens to its contents if they were modified?",They are permanently deleted to save space.,They are written to secondary storage (swap space).,They are immediately transferred to another free frame.,"They are ignored, as the new page will overwrite them.",They are encrypted for security before deletion.,B,"Freeing a frame involves: 'write contents to swap space, change page table (page no longer in memory).'"
What is the primary role of a 'page-replacement algorithm' in the page-fault service routine?,To locate the desired page on secondary storage.,To update the CPU's general-purpose registers.,To select a 'victim frame' for replacement when no free frames are available.,To determine the optimal size of the page table.,To increase the degree of multiprogramming.,C,"If no free frame is found, the page-replacement algorithm is used to 'select victim frame'."
What is a 'victim frame' in the context of page replacement?,The frame that caused the page fault.,A frame that has been marked as corrupted by the hardware.,The frame selected by the page-replacement algorithm to be replaced.,A frame containing critical operating system code.,Any frame that is currently empty.,C,The glossary defines 'victim frame' as 'Frame selected by page-replacement algorithm to be replaced.'
