Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"What defines the condition of ""thrashing"" in an operating system?",The system spending more time executing than paging.,A low page-fault rate combined with high CPU utilization.,The system spending more time paging than executing.,A process having more frames than its working set requires.,Increased system throughput due to efficient memory access.,C,"Thrashing is defined as spending more time paging than executing, indicating severe performance problems due to excessive page faults."
"What is an immediate consequence for a process that does not have ""enough"" frames, specifically the minimum needed for its working set?",It will execute faster than other processes.,It will quickly page-fault.,It will cause other processes to get more frames.,Its working set will automatically shrink.,It will decrease the overall CPU utilization directly.,B,A process without enough frames for its working set will quickly page-fault because it cannot hold the necessary pages in memory.
"If a process replaces a page that is needed immediately, what is the direct result?",The process enters a suspended state.,The process's working set becomes infinitely large.,The process faults again and again.,CPU utilization sharply increases.,The paging device queue becomes empty.,C,"If a process replaces a page it needs immediately, it will continuously fault to retrieve that page, leading to repeated page faults."
What is the primary impact of thrashing on system performance?,Increased system throughput.,Minimized page-fault rate.,Severe performance problems.,Optimized CPU utilization.,Reduced effective memory-access time.,C,The text states that thrashing 'Results in severe performance problems'.
"In a scenario where the OS monitors CPU utilization and observes it is low, what action does the CPU scheduler typically take that can lead to thrashing?",It decreases the degree of multiprogramming.,It suspends processes with high page-fault rates.,It increases the degree of multiprogramming.,It allocates more frames to existing processes.,It switches to a local page-replacement algorithm.,C,The text describes the scenario where 'CPU scheduler sees decreasing CPU utilization → increases multiprogramming.' This attempt to increase CPU utilization can inadvertently lead to thrashing.
"Which type of page-replacement algorithm, when used, contributes to the spiraling effect of thrashing by allowing processes to steal frames from others?",Local replacement algorithm,Priority replacement algorithm,Working-set algorithm,Global page-replacement algorithm,Page-fault frequency algorithm,D,"The text mentions, 'Global page-replacement algorithm used (replaces pages without regard to process),' as a cause where processes can take frames from others."
"When multiple processes are faulting excessively, what is the effect on the ready queue?",The ready queue becomes full of processes waiting for the CPU.,The ready queue empties as processes wait for the paging device.,The ready queue is unaffected.,Processes in the ready queue are automatically granted more frames.,Processes are moved from the ready queue to the suspended state.,B,"The text states, 'Faulting processes use paging device → ready queue empties.' Processes are waiting for I/O (paging device) rather than being ready for the CPU."
What happens to system throughput when thrashing occurs?,It increases slightly.,It remains stable.,It plunges sharply.,"It becomes negligible, approaching zero.",It fluctuates unpredictably.,C,"The text states, 'Thrashing occurs → system throughput plunges.'"
How does thrashing affect the effective memory-access time?,It decreases tremendously.,It remains constant.,It increases tremendously.,It becomes negligible.,It stabilizes at a minimal level.,C,"The text states, 'Page-fault rate increases tremendously → effective memory-access time increases.'"
"Based on Figure 10.6.1 (CPU utilization vs. degree of multiprogramming), what occurs if the degree of multiprogramming is increased beyond an optimal point, leading to thrashing?",CPU utilization continues to increase at a faster rate.,CPU utilization remains constant.,CPU utilization drops sharply.,CPU utilization experiences minor fluctuations.,Multiprogramming is automatically reduced.,C,"The text explains: 'Multiprogramming increases → CPU utilization increases (slower) until max. Further increase → thrashing, CPU utilization drops sharply.'"
What is the direct action suggested to stop thrashing once it has begun?,Increase the degree of multiprogramming.,Decrease the degree of multiprogramming.,Allocate more frames to all processes.,Switch to a global page-replacement algorithm.,Increase the size of the working-set window.,B,The text explicitly states: 'To stop thrashing: decrease degree of multiprogramming.'
Which type of page replacement algorithm can be used to limit the effects of thrashing by preventing processes from stealing frames from others?,Global replacement algorithm.,FIFO replacement algorithm.,Local replacement algorithm.,Optimal replacement algorithm.,Least Recently Used (LRU) algorithm.,C,The text indicates: 'Limit thrashing effects: use local replacement algorithm (or priority replacement algorithm).'
What is the defining characteristic of a local replacement algorithm?,It replaces pages based on their global frequency of use.,It allows a process to select a page to replace from any frame in memory.,It prioritizes pages belonging to system processes over user processes.,A process selects pages to replace only from its own allocated frames.,It considers the total demand for frames across all processes.,D,The text defines it as: 'Local replacement: process selects only from its own frames.'
"Even with a local replacement algorithm, why might thrashing-related performance issues not be entirely solved?",Processes can still steal frames from the OS.,"Thrashing processes queue for the paging device, increasing service time for all processes.",The CPU scheduler still increases multiprogramming in response to low CPU utilization.,It requires significantly more physical memory than a global algorithm.,It does not prevent individual processes from faulting.,B,The text states: 'Problem not entirely solved: thrashing processes queue for paging device → increased average service time for page fault → increased effective access time for all processes.'
What is the fundamental way to prevent thrashing from occurring in the first place?,Continuously increase the degree of multiprogramming.,Decrease the system's physical memory.,Provide each process with enough frames.,Use a global page-replacement algorithm.,Ignore page-fault rates.,C,The text explicitly states: 'To prevent thrashing: provide process with enough frames.'
What model is suggested for determining how many frames a process actually needs?,The FIFO model.,The Page-Fault Frequency model.,The Locality model.,The Global Replacement model.,The LRU model.,C,The text states: 'How many frames needed? Look at frames actually used → locality model.'
"In the context of the locality model, what is a ""locality""?",The total set of all pages a program might ever access.,A fixed-size block of physical memory.,The set of pages actively used together by a process.,The geographical location of the CPU.,A metric for measuring page-fault rate.,C,The text defines: 'Locality: set of pages actively used together.'
"According to the locality model, how does a process behave during execution?",It randomly accesses pages across its entire virtual address space.,"It primarily accesses pages from a single, fixed locality throughout its lifetime.",It moves from one locality to another during execution.,"It only accesses pages from global memory, never local variables.",It consistently maintains a fixed working set size.,C,The text describes: 'Locality model: process moves from locality to locality during execution.'
Which of the following is given as an example of a program entering a new locality?,A page fault occurring.,A context switch to a different process.,A function call.,The system booting up.,Increasing the degree of multiprogramming.,C,"The text provides the example: 'Example: function call → new locality (function instructions, local variables, global variables subset).'"
What happens if a process is not allocated enough frames to hold its current locality?,It will cause other processes to receive more frames.,It will suspend itself until more frames are available.,It will likely result in thrashing.,It will increase the system's effective access time.,It will decrease the page-fault rate.,C,The text states: 'Not enough frames for locality → thrashing.'
The working-set model is based on which fundamental assumption?,Random memory access patterns.,The principle of global page replacement.,The locality assumption.,The concept of infinite memory.,Constant CPU utilization.,C,The text begins the section with: 'Based on locality assumption.'
What is the name of the parameter used in the working-set model to define the window of page references?,Alpha (α),Delta (Δ),Sigma (Σ),Omega (Ω),Gamma (Γ),B,The text specifies: 'Uses parameter Δ to define working-set window.'
"In the working-set model, what constitutes the ""working set""?",All pages that have ever been referenced by a process.,The set of pages in the most recent Δ page references.,The total number of available frames in physical memory.,The pages that are currently on the backing store.,The pages shared by all processes.,B,The text defines: 'Set of pages in most recent Δ references = working set'.
How does a page transition out of the working set if it is no longer actively used?,It is immediately removed upon the next page fault.,It drops from the working set Δ time units after its last reference.,It remains in the working set indefinitely.,It is swapped out to backing store by the OS.,It is moved to a global pool of pages.,B,The text explains: 'No longer used → drops from working set Δ time units after last reference.'
