Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
For which level of programmers is the POSIX API primarily available?,Kernel-level developers,Device driver programmers,User-level programmers,System administrators,Network protocol engineers,C,The text states that the 'POSIX API: available for user-level programmers'.
Which statement accurately describes the relationship of the POSIX API with the OS kernel?,It is an integral part of specific OS kernels.,It is a stand-alone operating system.,It is not part of a specific OS kernel but is implemented using host OS tools.,"It is a hardware abstraction layer, not related to the OS.",It replaces the need for any OS kernel.,C,The text clarifies that the POSIX API is 'not part of specific OS kernel' but is 'Implemented using host OS tools'.
Which synchronization methods are covered in the provided text's section on POSIX synchronization?,"Message queues, shared memory, and pipes","Mutex locks, semaphores, and condition variables","Spinlocks, reader-writer locks, and barriers","Atomic operations, signals, and events","Timers, interrupts, and system calls",B,"The text explicitly states: 'This section covers: mutex locks, semaphores, condition variables in Pthreads and POSIX APIs.'"
What is the primary purpose of POSIX mutex locks in Pthreads?,To manage inter-process communication.,To facilitate thread creation.,To protect critical sections of code.,To handle asynchronous events.,To allocate dynamic memory safely.,C,The purpose of POSIX mutex locks is to 'protect critical sections of code'.
What is the data type used for a POSIX mutex lock?,lock_t,mutex_type,pthread_lock_t,pthread_mutex_t,thread_mutex_t,D,The text specifies the data type as 'pthread_mutex_t'.
Which function is used to create and initialize a POSIX mutex lock?,pthread_mutex_create(),pthread_init_mutex(),pthread_mutex_init(),mutex_open(),new_pthread_mutex(),C,The text identifies 'pthread_mutex_init()' as the creation function for mutex locks.
"When invoking pthread_mutex_init(), what value is typically passed as the second parameter for default attributes?",0,TRUE,DEFAULT_ATTRIBUTES,NULL,PTHREAD_MUTEX_DEFAULT,D,The text states that the 'Second parameter: NULL for default attributes'.
What happens if pthread_mutex_lock() is invoked and the mutex is currently unavailable?,The function returns an error immediately.,The calling thread continues execution without acquiring the lock.,The calling thread blocks until the owner invokes pthread_mutex_unlock().,The mutex is automatically released by the system.,A new mutex is created for the calling thread.,C,The text explains: 'If pthread_mutex_lock() invoked and mutex unavailable: calling thread blocks until owner invokes pthread_mutex_unlock()'.
"Which functions are used for acquiring and releasing a POSIX mutex lock, respectively?",lock() and unlock(),acquire_mutex() and release_mutex(),pthread_mutex_lock() and pthread_mutex_unlock(),get_lock() and put_lock(),sem_wait() and sem_post(),C,The functions for acquisition and release are specified as 'pthread_mutex_lock()' and 'pthread_mutex_unlock()'.
"What does a return value of 0 from POSIX mutex lock operations (like init, lock, unlock) signify?",An error occurred.,The operation is still pending.,The operation completed successfully.,The mutex is currently locked.,The mutex is currently unlocked.,C,"The text indicates: 'Return values: 0 for correct operation, nonzero for error'."
