Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"Why are software-based synchronization solutions, such as Peterson's, not guaranteed on modern computer architectures?",They are too complex to implement efficiently.,They rely on specific compiler optimizations that are not universal.,"Modern architectures may reorder instructions, leading to unreliable data states.","They require excessive CPU cycles, causing performance degradation.",They are vulnerable to external hardware interrupts.,C,"The text states that software-based solutions are not guaranteed on modern architectures because systems may reorder instructions, leading to unreliable data states. This is the core problem hardware support addresses."
What is the primary problem that memory barriers are designed to solve in multi-processor systems?,Preventing deadlocks between multiple processes.,Ensuring fair access to shared resources among threads.,Addressing unreliable data states caused by instruction reordering.,Reducing context switching overhead in the operating system.,Managing cache coherency across different CPU levels.,C,"The text explicitly identifies the 'Problem' memory barriers solve as: 'Systems may reorder instructions, leading to unreliable data states.'"
"According to the text, which of the following best defines a 'memory model' in computer architecture?",A blueprint for designing memory chips.,A specification for how memory is addressed by the CPU.,The way a computer architecture guarantees memory visibility to applications.,The physical layout of RAM modules on a motherboard.,A strategy for optimizing virtual memory usage.,C,The glossary defines 'memory model' as 'How a computer architecture guarantees memory visibility to applications.'
"In a strongly ordered memory model, what is guaranteed regarding memory modifications?",Memory modifications are cached on the local processor only.,Memory modifications on one processor are immediately visible to all others.,Memory modifications are delayed until a synchronization point is reached.,Memory modifications are restricted to atomic operations.,Memory modifications are buffered before propagation.,B,The text defines a 'Strongly ordered' memory model as one where 'Memory modification on one processor is immediately visible to all others.'
What characteristic distinguishes a weakly ordered memory model from a strongly ordered one?,Memory modifications are always faster.,Memory modifications are always slower.,Memory modifications on one processor may not be immediately visible to others.,Memory modifications are globally consistent by default.,Memory modifications require explicit flushing to storage.,C,The text defines a 'Weakly ordered' memory model as one where 'Memory modifications on one processor may not be immediately visible to others.'
Why do kernel developers need to be concerned about memory modification visibility on shared-memory multiprocessors?,Because varying memory models make assumptions about visibility unreliable.,"Because memory is always strongly ordered, requiring explicit weak ordering.",Because cache memory needs to be manually invalidated.,Because all memory operations are inherently atomic.,Because memory access patterns are unpredictable.,A,"The text states, 'Kernel developers cannot assume memory modification visibility on shared-memory multiprocessors due to varying memory models.'"
What is the primary function of a memory barrier (or memory fence) instruction?,To halt all CPU operations until a specific flag is set.,To force memory changes to propagate to all other processors.,To allocate a contiguous block of memory for critical data.,To encrypt data before it is written to memory.,To provide a virtual boundary for memory protection.,B,The text defines 'Memory barriers (or memory fences)' as 'instructions that force memory changes to propagate to all other processors.'
"When a memory barrier is performed, what guarantees does it provide regarding memory operations?",All subsequent loads and stores are completed before any preceding operations.,"Only store operations are completed, not loads.",All preceding loads and stores are completed before any subsequent load or store operations.,Only operations on volatile memory are affected.,It ensures cache coherency but not memory visibility.,C,"The text states, 'When a memory barrier is performed, all preceding loads and stores are completed before any subsequent load or store operations.'"
"How can memory barriers specifically benefit shared-memory programming, even if instructions are reordered?",By automatically rolling back reordered instructions.,By ensuring store operations are completed and visible before future operations.,By increasing the speed of memory access.,By allowing threads to access memory in any order.,By reducing the number of memory accesses.,B,"The text explains the 'Benefit' as: 'Even if instructions are reordered, memory barriers ensure store operations are completed and visible before future operations.'"
"In the provided example for Thread 1 (`while (!flag) memory_barrier(); print x;`), what does the `memory_barrier()` guarantee?",`x` is printed before `flag` is loaded.,`flag` is loaded before `x` is printed.,The loop will execute only once.,The `flag` variable is always true.,`x` is assigned a value of 100.,B,The text states for this specific example: 'Guarantees `flag` is loaded before `x`.'
