Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"What is a primary drawback of using semaphores for synchronization, even though they are convenient?",They are computationally expensive and slow down execution significantly.,Their incorrect use can lead to hard-to-detect timing errors that may not be reproducible.,They cannot be used to implement mutual exclusion.,They only work in single-processor environments.,They require excessive memory allocation.,B,"The text states, ""Semaphores are convenient but incorrect use can lead to hard-to-detect timing errors,"" and ""These errors occur only with specific execution sequences and may not be reproducible."""
"In a typical semaphore-based critical-section solution, what sequence of operations must a process observe to ensure mutual exclusion, given a binary semaphore `mutex` initialized to 1?","`signal(mutex)` before critical section, `wait(mutex)` afterward.","`wait(mutex)` before critical section, `wait(mutex)` afterward.","`wait(mutex)` before critical section, `signal(mutex)` afterward.","`signal(mutex)` before critical section, `signal(mutex)` afterward.","No specific sequence is required, as long as `wait` and `signal` are both called.",C,"The text states: ""Each process must execute `wait(mutex)` before critical section and `signal(mutex)` afterward."""
"What is the consequence if a process incorrectly interchanges the `wait()` and `signal()` operations for a binary semaphore `mutex` (i.e., `signal(mutex)` before critical section and `wait(mutex)` afterward)?",The process will permanently block.,"Mutual exclusion will be maintained, but performance will degrade.","Multiple processes may enter the critical section simultaneously, violating mutual exclusion.","The semaphore's state will become negative, leading to a system crash.",The error will always be immediately detectable and reproducible.,C,"The text describes this scenario: ""Result: Multiple processes may enter critical section simultaneously, violating mutual exclusion."" It also notes the error ""may not always be reproducible."""
"If a process replaces `signal(mutex)` with `wait(mutex)` after its critical section (i.e., `wait(mutex)` before and `wait(mutex)` after), what is the outcome?",Mutual exclusion is violated.,The process permanently blocks on the second `wait()` call.,The system enters a deadlock state involving all processes.,The semaphore's value will increase unexpectedly.,"No error occurs, as long as `wait` is called twice.",B,"The text explicitly states for this case: ""Result: Process permanently blocks on the second `wait()` call (semaphore unavailable)."""
"According to the text's glossary, what is a monitor?",A low-level programming construct used for direct memory access.,A type of hardware device for displaying output.,A high-level language synchronization construct that protects variables from race conditions.,A debugging tool for observing process execution flow.,A system call for process creation.,C,"The glossary defines ""monitor"" as ""A high-level language synchronization construct that protects variables from race conditions."""
How does the text define an Abstract Data Type (ADT)?,A data structure that relies heavily on pointer arithmetic.,"A programming construct that encapsulates data with a set of functions to operate on that data, independent of implementation.",A raw collection of data without any associated operations.,A system-level process for managing memory.,A type of network protocol for secure data transmission.,B,"The glossary defines ""abstract data type (ADT)"" as ""A programming construct that encapsulates data with a set of functions to operate on that data that are independent of any specific implementation of the ADT."""
What characteristic distinguishes a monitor type from a general Abstract Data Type (ADT)?,A monitor type does not encapsulate data.,A monitor type requires explicit programmer-coded mutual exclusion.,A monitor type includes programmer-defined operations with mutual exclusion *within* the monitor.,A monitor type is dependent on a specific implementation.,A monitor type cannot declare variables defining its state.,C,"The text states, ""Monitor type: An ADT that includes programmer-defined operations with mutual exclusion *within* the monitor."" It also adds that the programmer ""does not need to explicitly code this synchronization constraint."""
What key synchronization guarantee does the monitor construct provide without requiring explicit coding by the programmer?,All processes will complete their execution within a fixed time frame.,Data consistency is ensured across distributed systems.,Only one process is active within the monitor at a time.,Deadlocks are entirely prevented in all scenarios.,Resource allocation is always fair and optimized.,C,"The text states, ""The monitor construct ensures only one process is active within the monitor at a time. Programmer does not need to explicitly code this synchronization constraint."""
Which of the following statements is true regarding the access rules for variables declared locally within a monitor?,They can be directly accessed by any process outside the monitor.,They can only be accessed by functions declared within the monitor.,They are automatically global to the entire program.,They can be accessed by functions external to the monitor if a pointer is passed.,They are read-only to all functions.,B,"The text specifies: ""Local variables of a monitor can only be accessed by local functions."""
"Despite its benefits, what is a stated limitation of the monitor construct alone?",It increases the complexity of programming.,It is not powerful enough for all synchronization schemes.,It introduces significant performance overhead.,It cannot be implemented in modern programming languages.,It does not provide mutual exclusion.,B,"The text explicitly states: ""Limitation: Monitor construct alone is not powerful enough for all synchronization schemes."""
