Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
The critical-section problem is identified as a type of which fundamental system issue?,Performance bottleneck,Memory leak,Liveness problem,Security vulnerability,Resource fragmentation,C,The text explicitly states: 'The critical-section problem is a type of liveness problem.'
What defines 'liveness' in the context of system properties?,The ability of a system to recover from crashes without data loss.,Properties a system must satisfy to ensure processes make progress.,The responsiveness of a system to user input within a defined time limit.,The capacity of a system to handle increasing workloads without degradation.,Properties ensuring data consistency across distributed systems.,B,The definition provided is: 'Liveness: Properties a system must satisfy to ensure processes make progress.'
Which two common liveness problems are discussed in the provided text?,Race conditions and priority inversion,Deadlock and starvation,Concurrency and atomicity,Mutual exclusion and bounded waiting,Context switching and inter-process communication,B,The text states: 'This section discusses two common liveness problems: deadlock and starvation.'
"In multiprogramming, processes compete for which type of resources?",Virtual resources,Infinite resources,Ephemeral resources,Finite resources,Shared memory segments only,D,"The text specifies: 'In multiprogramming, processes compete for finite resources.'"
What is the correct sequence of operations a process typically follows when interacting with a resource?,"Use, Request, Release","Request, Release, Use","Request, Use, Release","Release, Request, Use","Acquire, Operate, Terminate",C,"The normal process operation sequence is listed as: 'Request', 'Use', 'Release'."
"According to the normal process operation sequence, what happens if a requested resource is unavailable?",The process terminates immediately.,The process switches to another task.,The process waits until the resource becomes available.,The process force-releases another resource.,The system grants the resource anyway.,C,"Under the 'Request' step, it states: 'Process requests resource. If unavailable, process waits.'"
What is the definition of a 'deadlock'?,A situation where a process cannot acquire a resource due to incorrect permissions.,A state where a process executes an infinite loop without progress.,A situation where two or more processes wait indefinitely for an event that can only be caused by one of the waiting processes.,A system crash caused by an unhandled exception.,A condition where CPU utilization drops to zero.,C,The text defines deadlock as: 'A situation where two or more processes wait indefinitely for an event that can only be caused by one of the waiting processes.'
What is a direct consequence of processes becoming deadlocked?,They consume excessive CPU cycles and slow down the system.,They transition to a low-priority state and are eventually killed.,"They never complete, and their held resources are never released.",They automatically restart after a short delay.,"Their memory footprint expands indefinitely, causing system instability.",C,"The text states the consequences: 'Deadlocked processes never complete, and their resources are never released.'"
"In the example provided, if Process P1 holds a DVD drive and requests a printer, while Process P2 holds a printer and requests a DVD drive, what is the outcome?","P1 completes, then P2 completes.","P2 completes, then P1 completes.",Both processes enter a state of starvation.,"A deadlock occurs, as neither process can proceed or release resources.",The operating system automatically resolves the conflict by preempting resources.,D,"The example states: '$P_1$ holds DVD drive, $P_2$ holds printer. $P_1$ requests printer, $P_2$ requests DVD drive. Result: Deadlock. $P_1$ waits for $P_2$'s printer, $P_2$ waits for $P_1$'s DVD drive. Neither can proceed or release resources.'"
"In a single-core system, what is a typical cause of deadlock?",Two processes simultaneously accessing the same memory location.,"A process waiting for an event that never occurs, such as a message from a terminated process.",The system running out of available CPU time slices.,Excessive context switching between processes.,A process being swapped out of memory too frequently.,B,"For a 'Single-core system', the text says: 'Process waits for an event that never occurs (e.g., message from a terminated process).'"
