Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which of the following statements accurately describes a 'race condition'?,"It occurs when processes concurrently access shared data, and the final result depends on the specific order of these accesses.",It always leads to a system deadlock.,It is a mechanism used to ensure mutual exclusion.,It describes a situation where a single process accesses its private data.,It refers to the speed at which a process executes its instructions.,A,"A race condition occurs when multiple processes access and manipulate shared data concurrently, and the outcome depends on the order of execution, often leading to corrupted values."
What is a potential consequence of a race condition?,Guaranteed mutual exclusion,Prevention of instruction reordering,Corrupted values of shared data,Automatic deadlock resolution,Increased system throughput,C,"Race conditions can lead to situations where the final value of shared data is incorrect or inconsistent because the concurrent accesses interfere with each other, resulting in corrupted values."
What defines a 'critical section' in concurrent programming?,A section of code that is executed only once during program execution.,A code segment where only local variables are manipulated.,"A code segment where shared data may be manipulated, potentially leading to a race condition.",A hardware component responsible for process scheduling.,A part of the operating system kernel that cannot be interrupted.,C,"A critical section is specifically defined as a code segment where shared data is accessed and modified, and where a race condition might occur if not properly synchronized."
What is the core challenge addressed by the 'critical-section problem'?,To maximize the number of processes accessing shared data simultaneously.,To eliminate all forms of inter-process communication.,To design a protocol for processes to synchronize their activity and cooperatively share data.,To prevent processes from ever entering a waiting state.,To ensure that all data is kept private to individual processes.,C,"The critical-section problem is about designing protocols that allow processes to cooperate safely when accessing shared resources, ensuring data integrity and proper synchronization."
Which requirement for a critical-section solution ensures that only one process is active in its critical section at any given time?,Progress,Bounded waiting,Mutual exclusion,Atomicity,Liveness,C,"Mutual exclusion is the fundamental requirement that guarantees that if one process is executing in its critical section, no other process can be executing in its critical section."
The requirement for a critical-section solution that states processes cooperatively determine which process enters its critical section next is known as:,Mutual exclusion,Bounded waiting,Fairness,Progress,Non-blocking,D,"Progress ensures that if no process is executing in its critical section and some processes wish to enter their critical sections, then only those processes that are not executing in their remainder sections can participate in the decision on which will enter its critical section next, and this decision cannot be postponed indefinitely."
What does the 'bounded waiting' requirement for a critical-section solution guarantee?,A limit on the total number of processes allowed to enter the critical section.,That a process will not have to wait indefinitely to enter its critical section.,That the critical section will always complete within a fixed time frame.,That processes will enter the critical section in the order they requested access.,A maximum size for the shared data being accessed.,B,Bounded waiting ensures that there is a limit on the number of times other processes are allowed to enter their critical sections after a process has made a request to enter its critical section and before that request is granted. This prevents indefinite postponement or starvation.
"Which of the following is an example of a software solution for the critical-section problem, known for not working well on modern computer architectures due to instruction reordering?",Mutex locks,Semaphores,Peterson's solution,Monitors,Atomic variables,C,"Peterson's solution is a classic software-based algorithm for mutual exclusion that, while theoretically sound, often fails in practice on modern architectures due to compiler and processor optimizations like instruction reordering."
"Why do traditional software solutions for critical sections, like Peterson's solution, often fail on modern computer architectures?",They require excessive CPU cycles.,They are incompatible with 64-bit systems.,Due to instruction reordering by compilers and processors.,They can only be implemented in assembly language.,They cause immediate system deadlocks.,C,"Modern computer architectures and compilers often reorder instructions for performance optimization. Software solutions like Peterson's rely on a specific execution order that can be violated by such reordering, leading to incorrect behavior."
Which of the following is a form of hardware support typically used to solve the critical-section problem?,Application-level libraries,Peterson's solution,Memory barriers,Operating system schedulers,High-level programming languages,C,"Memory barriers are hardware mechanisms that enforce specific ordering of memory operations, preventing instruction reordering across the barrier and thus supporting correct synchronization in critical sections."
The `compare-and-swap` instruction is an example of what kind of support for critical sections?,A software-only algorithm.,A high-level synchronization abstract data type.,A hardware instruction providing atomic operations.,A type of liveness problem.,A method for deadlock detection.,C,"`compare-and-swap` is a hardware instruction that atomically compares the content of a memory location with a given value and, only if they are the same, modifies the contents of that memory location to a new given value. This atomicity is crucial for implementing synchronization primitives."
