Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
Which type of threads are supported above the kernel and managed without kernel support?,Kernel threads,Operating system threads,Hardware threads,User threads,System threads,D,"User threads are defined as being supported above the kernel and managed without kernel support, typically by a thread library in user space."
Which type of threads are supported and managed directly by the operating system?,Application threads,User threads,Kernel threads,Library threads,Process threads,C,Kernel threads are explicitly stated to be supported and managed directly by the operating system.
Which of the following contemporary operating systems are mentioned as supporting kernel threads?,Solaris and early Java,MS-DOS and Windows 95,"Windows, Linux, and macOS",Unix and BSD,Android and iOS,C,"The text explicitly states that 'Most contemporary operating systems (Windows, Linux, macOS) support kernel threads.'"
"In the Many-to-One multithreading model, how are user-level threads mapped to kernel threads?",Each user-level thread maps to a separate kernel thread.,Many user-level threads map to a smaller or equal number of kernel threads.,Many user-level threads map to one kernel thread.,One user-level thread maps to many kernel threads.,User-level threads are managed directly by hardware.,C,The Many-to-One model is defined as mapping many user-level threads to one kernel thread.
What is an advantage of the Many-to-One multithreading model regarding thread management?,It allows multiple threads to run in parallel on multicore systems.,"Thread management is done by the kernel, providing robust security.",It prevents the entire process from blocking on system calls.,"Thread management is done by the thread library in user space, making it efficient.",It dynamically adjusts the number of kernel threads based on application load.,D,"The text states that in the Many-to-One model, 'Thread management is done by the thread library in user space, making it efficient.'"
What is a significant drawback of the Many-to-One multithreading model concerning blocking system calls?,"Only the calling thread blocks, allowing others to continue.",The kernel automatically creates a new thread to handle the block.,The entire process blocks if a user thread makes a blocking system call.,Blocking system calls are not supported in this model.,It requires manual intervention to unblock the process.,C,A key drawback mentioned is that 'The entire process blocks if a user thread makes a blocking system call.'
Why is the Many-to-One model inefficient on multicore systems?,"It creates too many kernel threads, overwhelming the system.",It requires frequent context switching between user and kernel space.,Multiple user threads cannot run in parallel because only one kernel thread can access the kernel at a time.,"User threads are not preemptive, leading to starvation.",It lacks support for shared memory regions.,C,Another drawback highlighted is that 'Multiple user threads cannot run in parallel on multicore systems because only one kernel thread can access the kernel at a time.'
Which of the following is an example implementation of the Many-to-One multithreading model?,Windows XP,Linux distributions,"Green threads (Solaris, early Java)",macOS Ventura,Android OS,C,"The text provides 'Green threads (Solaris, early Java)' as an example of the Many-to-One model."
What is the primary reason the Many-to-One model is rarely used now?,It is too complex to implement.,It requires specialized hardware.,It is unable to leverage multicore systems.,It has severe security vulnerabilities.,It consumes excessive memory.,C,The text states it is 'Rarely used now due to inability to leverage multicore systems.'
How does the One-to-One multithreading model map user threads to kernel threads?,One user thread maps to many kernel threads.,Many user threads map to one kernel thread.,Each user thread maps to a kernel thread.,User threads are directly managed by hardware.,Kernel threads are mapped to multiple user threads.,C,The One-to-One model is defined as mapping 'each user thread to a kernel thread.'
