Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What is a characteristic feature of a multiprogramming environment as described in the system model?,Single thread execution is prioritized.,Resources are always infinite and readily available.,Multiple threads compete for finite resources.,Threads never enter a waiting state.,Only one process can run at a time.,C,The text states that in a 'Multiprogramming Environment: Multiple threads compete for finite resources'.
"According to the system model, what happens when a thread requests a resource that is currently unavailable?",The thread immediately crashes.,The resource is forcibly allocated to the thread.,The thread enters a waiting state.,The system reboots to free up resources.,The request is automatically canceled.,C,"The text explains, 'Resource Request: Threads request resources. If unavailable, thread enters a waiting state.'"
Which of the following best describes a 'deadlock' situation according to the introduction?,A thread successfully acquires all its requested resources.,A waiting thread changes state by acquiring new resources.,A situation where a waiting thread can never change state because its requested resources are held by other waiting threads.,A system crash due to immediate resource exhaustion.,Threads voluntarily release resources to prevent contention.,C,The text defines 'Deadlock' as 'A situation where a waiting thread can never change state because its requested resources are held by other waiting threads.'
What is the formal definition of a deadlock as provided in the introduction?,All processes are actively executing without any resource contention.,Every process in a set is waiting for an event that can only be caused by another process in the set.,Processes are waiting for external input from a user.,A single process holds all available resources.,Processes are competing for an infinite supply of resources.,B,The text provides the 'Formal Definition' of deadlock as 'Every process in a set is waiting for an event that can only be caused by another process in the set.'
How are resources characterized in the system composition section of the system model?,As infinite and unlimited entities.,As unlimited and unmanaged by the system.,As finite in number and distributed among competing threads.,"As always available to a single, dedicated thread.","As used exclusively by the operating system, not by threads.",C,The text describes 'System Composition' as 'Finite number of resources distributed among competing threads.'
What is true about instances within a specific resource type (or class) according to the system model?,Each instance is unique and serves a different purpose.,Instances are all identical and any instance of a resource type should satisfy a request.,"Instances must be acquired in a specific, predefined order.",Only one instance can exist for a given resource type.,Instances are managed independently of their resource type.,B,"The text states that resources are 'partitioned into types (classes), each with identical instances' and 'Any instance of a resource type should satisfy a request.'"
Which of the following are listed as examples of resource types in the system model?,User interfaces and network protocols.,Application programs and operating system kernels.,"CPU cycles, files, and I/O devices.",System logs and configuration files.,Memory addresses and disk partitions only.,C,"The text provides 'Examples: CPU cycles, files, I/O devices.'"
"If a system has 4 CPUs, how many instances would the resource type 'CPU' typically have according to the system model?",1 instance.,2 instances.,4 instances.,8 instances.,Infinite instances.,C,"The text explicitly states, 'If a system has 4 CPUs, resource type CPU has 4 instances.'"
What common synchronization tools are specifically mentioned as frequent sources of deadlock?,Timers and event handlers.,Mutex locks and semaphores.,Message queues and pipes.,Sockets and network connections.,Shared memory segments and file descriptors.,B,The text states under 'Synchronization Tools as Resources': 'Mutex locks and semaphores are common sources of deadlock.'
How are individual lock instances typically categorized within the system model's resource types?,They are all considered part of a single generic 'lock' resource type.,Each lock instance is typically its own distinct resource class.,Locks are not considered resources in this model.,They are grouped into resource types based on the data they protect.,"Locks are only managed by user applications, not the system.",B,"The text specifies, 'Each lock instance is typically its own resource class (e.g., one lock for a queue, another for a linked list).'"
