Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"When a deadlock is detected in a system, what are the two primary high-level options for recovery?",Implement a resource ordering scheme or perform a system reboot.,Increase the priority of deadlocked processes or expand system memory.,Inform the operator for manual recovery or allow the system to recover automatically.,Isolate the deadlocked processes or prevent future resource requests.,Apply the Banker's algorithm or initiate a system-wide rollback.,C,"The text states that when a deadlock is detected, the options are to 'Inform operator (manual recovery)' or for the 'System recovers automatically'."
What are the two fundamental strategies for actively breaking a deadlock once it has been identified?,Introduce more resources to the system or reduce the number of active processes.,Abort one or more threads (to break circular wait) or preempt resources from deadlocked threads.,Change process scheduling algorithms or increase CPU clock speed.,Implement a timeout for resource requests or use a deadlock prevention algorithm.,Migrate deadlocked processes to another server or restart individual applications.,B,The text explicitly lists 'Abort one or more threads (break circular wait)' and 'Preempt resources from deadlocked threads' as the two options for breaking deadlock.
"When deadlocks are resolved by aborting a process or thread, what action does the system take regarding the resources previously held by the terminated entity?",The resources are released to a temporary holding area.,The system reclaims all of those resources.,The resources remain allocated but inaccessible.,The resources are automatically reallocated to the next waiting process.,The resources are marked as permanently unavailable.,B,"The text states that when eliminating deadlocks by aborting a process/thread, the 'System reclaims all resources'."
What is a significant drawback of choosing to 'Abort all deadlocked processes' as a deadlock recovery method?,It often fails to break the deadlock cycle effectively.,It is expensive due to discarded computations and the necessity for recomputation.,It requires continuous manual intervention by the system operator.,It can lead to unpredictable system crashes and data loss.,It causes high overhead due to frequent deadlock detection cycles.,B,"The text identifies 'Abort all deadlocked processes' as 'expensive (discarded computations, recomputation needed)'."
"Which specific method of deadlock recovery, involving process termination, is characterized by 'High overhead (deadlock-detection after each abort)'?",Aborting all deadlocked processes simultaneously.,Preempting resources from all involved processes.,Implementing a system-wide rollback to a safe state.,Aborting one process at a time until the deadlock is eliminated.,Manually reallocating resources based on process priority.,D,The text specifies that 'Abort one process at a time until deadlock eliminated' results in 'High overhead (deadlock-detection after each abort)'.
"If a process is aborted for deadlock recovery while it is in the middle of updating a file, what is a potential issue?",The process will automatically restart and complete the file update.,The file might be left in an incorrect or inconsistent state.,The entire file system will become corrupted.,All other processes accessing files will be blocked indefinitely.,The system will automatically restore the file to its original state before the update.,B,The text lists 'File in incorrect state if updating' as a potential issue when aborting a process.
What problem can arise if a process is aborted for deadlock resolution while holding a mutex lock and updating shared data?,The mutex lock will be permanently destroyed.,Other processes will be able to immediately acquire the lock without issue.,"Shared data integrity issues may occur, necessitating restoration of the lock status.",The aborted process will automatically re-acquire the lock upon restart.,The system will automatically revert all shared data to its last consistent state.,C,The text states: 'Shared data integrity issues if updating while holding mutex lock (must restore lock status)'.
"When performing partial termination to resolve a deadlock, the decision of which process to terminate is described as a 'policy decision'. What other critical characteristic is mentioned for this decision?",Technical,Legal,Economic,Random,Arbitrary,C,"The text specifies that the decision of which process to terminate is a 'policy decision, economic'."
Which of the following is a factor considered when choosing a 'victim' process for termination to minimize the cost of deadlock recovery?,The color scheme of the process's user interface.,The current network bandwidth utilization.,The process priority.,The amount of available disk space.,The time since the last system reboot.,C,Process priority is listed as one of the 'Factors for choosing victim (minimum cost)'.
"When selecting a victim for deadlock termination, 'computation time' is a factor. What specific aspects of computation time are considered?",Only the remaining time until the process completes.,Only the time the process has already spent computing.,How long the process has computed and how much longer it needs to complete.,The CPU cycles consumed per instruction.,The maximum allowed computation time for the process.,C,"The text specifies 'Computation time (how long computed, how much longer)' as a factor for victim selection."
