Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What aspect of system operation does deadlock-prevention primarily limit?,The total number of resources in the system.,How resource requests are made.,The number of concurrent threads.,The speed of resource allocation.,The amount of memory available to each thread.,B,Deadlock-prevention specifically limits how requests are made to ensure no necessary condition for deadlock occurs.
Deadlock-prevention ensures that which of the following does not occur?,High device utilization.,Increased system throughput.,Any necessary condition for deadlock.,A safe state.,Dynamic resource allocation.,C,The primary goal of deadlock-prevention is to ensure that no necessary condition for deadlock occurs.
Which of the following is a common side effect of employing deadlock-prevention strategies?,Increased system throughput.,Enhanced device utilization.,Reduced system overhead.,Low device utilization.,Faster resource acquisition.,D,Deadlock-prevention can lead to low device utilization and reduced system throughput as stated in the text.
What alternative approach to deadlock-prevention requires additional information on resource requests?,Deadlock detection.,Deadlock recovery.,Deadlock avoidance.,Resource preemption.,Priority scheduling.,C,The text states that deadlock avoidance is an alternative that requires additional information on resource requests.
What type of information must the system know a priori for deadlock avoidance algorithms to function?,The current state of all CPU registers.,The maximum resources each thread may need.,The exact sequence of future resource requests.,The current available memory.,The processing speed of each thread.,B,Deadlock avoidance requires knowing the maximum resources each thread may need beforehand (a priori information).
How does a deadlock-avoidance algorithm prevent the condition of circular-wait?,By pre-empting resources from threads.,By dynamically examining the resource-allocation state.,By ignoring all resource requests.,By ensuring mutual exclusion.,By breaking the no-preemption condition.,B,Deadlock-avoidance algorithms dynamically examine the resource-allocation state to prevent circular-wait.
The resource-allocation state is defined by which of the following?,The CPU utilization and I/O rates.,Only the maximum demands of threads.,"The available resources, allocated resources, and maximum demands.",The number of threads and processes currently running.,The history of all past resource requests.,C,"The resource-allocation state is defined by available resources, allocated resources, and maximum demands of threads."
A state is considered 'safe' if the system can achieve which of the following?,Allocate resources to no more than one thread at a time.,Pre-empt resources from any thread to avoid deadlock.,Allocate resources to each thread (up to its maximum) in some order and avoid deadlock.,Immediately detect and recover from any deadlock.,Ensure that no thread ever waits for a resource.,C,A safe state is defined as one where the system can allocate resources to each thread (up to its maximum) in some order and avoid deadlock.
"According to the text, under what condition is a system considered safe?",If no resources are currently allocated.,If all threads have completed execution.,If a safe sequence exists.,If the system is operating at maximum capacity.,If there are no waiting threads.,C,"The text states, 'System is safe if a safe sequence exists.'"
"In a safe sequence <T1, T2, ..., Tn>, what condition must be met for each thread Ti?",Ti must have all its resources allocated before any other thread.,Its resource requests can be met by currently available resources plus resources held by all Tj where j is less than i.,Ti must not make any further resource requests.,Ti must release all its resources before T(i+1) requests any.,Ti must never enter a waiting state.,B,"A safe sequence ensures that for each Ti, its requests can be met by available resources plus those held by preceding threads in the sequence."
"Which statement accurately describes the relationship between safe, deadlocked, and unsafe states?",All unsafe states are deadlocks.,A safe state is always deadlocked.,A deadlocked state is safe.,"A safe state is not deadlocked, and a deadlocked state is unsafe.",All unsafe states will inevitably lead to deadlock.,D,"The text explicitly states, 'Safe state is not deadlocked; deadlocked state is unsafe.' It also clarifies that not all unsafe states are deadlocks."
