Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
What is the primary purpose of a computer system as it relates to memory management?,To manage network connections efficiently.,To execute programs.,To provide a user-friendly graphical interface.,To store data long-term on secondary storage.,To prevent unauthorized access to system resources.,B,"The text states, ""Main purpose of computer system: execute programs."""
"For a program to be executed in a modern computer system, where must its programs and data reside, at least partially?",On a solid-state drive (SSD).,In the CPU registers exclusively.,Partially in main memory.,Fully in the hard disk cache.,In a dedicated graphics processing unit (GPU).,C,"The text specifies, ""Programs and data must be partially in main memory during execution."""
How do modern computer systems typically handle multiple processes concerning memory?,Only one process is allowed in memory at a time.,Processes are exclusively stored on secondary storage.,Several processes are maintained concurrently in memory.,Processes are loaded into memory only upon completion of the previous one.,Memory is cleared entirely before loading any new process.,C,"The text states, ""Modern systems maintain several processes in memory."""
What is a common requirement for most memory-management algorithms to function effectively?,Extensive user configuration.,High-speed internet connectivity.,Specific hardware support.,A large number of CPU cores.,Software-only implementation without hardware intervention.,C,"The text mentions, ""Most algorithms require hardware support."""
What two key aspects are improved by sharing the CPU among multiple processes through CPU Scheduling?,Network bandwidth and data encryption.,CPU utilization and response speed.,Disk storage capacity and file compression.,Graphics rendering and audio processing.,Power consumption and thermal output.,B,"The text states that CPU sharing ""Improves CPU utilization and response speed."""
What is necessitated by the sharing of the CPU among multiple processes to improve utilization and response speed?,Reducing the number of active processes.,Keeping many processes in memory simultaneously.,Exclusive use of virtual memory.,Disabling memory protection mechanisms.,Storing all process data on external storage.,B,"The text indicates that CPU sharing ""Requires keeping many processes in memory (sharing memory)."""
"What factors influence the selection of a particular memory management approach, according to the text?",The brand of the operating system.,The amount of available hard disk space.,The specific hardware design.,The programming language used for the applications.,The number of concurrent network connections.,C,"The text mentions, ""Selection depends on hardware design."""
What is a common characteristic of modern memory management in terms of its implementation?,It is solely managed by user applications.,It is entirely a software responsibility.,It involves an integrated hardware/OS approach.,It relies only on external peripheral devices.,It functions without any direct CPU involvement.,C,"The text states, ""Many algorithms require hardware support; integrated hardware/OS memory management common."""
What is memory's role in the operation of a modern computer system?,It is a secondary component used only for archiving.,It serves as a temporary buffer for network traffic.,It is central to the operation.,It primarily stores system configuration files.,It is used only when the hard drive is full.,C,"The text states, ""Memory central to modern computer system operation."""
How is memory described in the context of a computer system?,A hierarchical tree structure.,"A large array of bytes, each with its own address.",A continuous stream of unindexed data.,"A collection of independent, isolated storage units.",A stack-based system without direct addressing.,B,"The text describes memory as a ""large array of bytes, each with its own address."""
