Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"What are the three common techniques for structuring the page table in modern computer systems, as described in the text?","Linear paging, segmented paging, and virtual paging.","Hierarchical paging, hashed page tables, and inverted page tables.","Direct mapping, associative mapping, and set-associative mapping.","Single-level paging, multi-level paging, and clustered paging.","Demand paging, pre-paging, and prepaging.",B,"The text explicitly states: 'Explores common techniques for structuring the page table: hierarchical paging, hashed page tables, and inverted page tables.'"
The need for hierarchical paging in modern computer systems primarily arises due to which of the following challenges?,The difficulty in implementing Translation Lookaside Buffers (TLBs) for 32-bit systems.,The excessive size of page tables caused by large logical address spaces.,The requirement for faster context switching between processes.,The need to support only contiguous memory allocations for processes.,The complexity of managing physical memory fragmentation.,B,The text explains that 'Modern computer systems support large logical address spaces ($2^{32}$ to $2^{64}$)' which causes the 'Page table itself becomes excessively large.' Hierarchical paging is a 'Solution: divide page table into smaller pieces.'
"For a 32-bit logical address space and a 4 KB page size ($2^{12}$ bytes), approximately how many entries would a single-level page table require?",$2^{10}$ entries,$2^{12}$ entries,$2^{20}$ entries,$2^{32}$ entries,$2^{64}$ entries,C,"A 32-bit logical address space means $2^{32}$ bytes. With a 4 KB page size ($2^{12}$ bytes), the number of pages is $2^{32} / 2^{12} = 2^{20}$. Each page corresponds to one entry in the page table."
"In a 32-bit logical address space with a 4 KB page size, if each page table entry is 4 bytes, how much physical address space could a single process's page table consume?",Up to 4 KB,Up to 1 MB,Up to 4 MB,Up to 16 MB,Up to 1 GB,C,"A 32-bit logical address space with 4 KB pages results in $2^{20}$ page table entries. With each entry being 4 bytes, the total size is $2^{20} 	imes 4$ bytes = $2^{20} 	imes 2^2$ bytes = $2^{22}$ bytes, which is 4 MB."
What is the fundamental principle behind a two-level paging algorithm?,The logical address space is divided into two equal parts.,The page table itself is paged.,Two separate TLBs are used for faster lookups.,Physical memory is divided into two distinct regions.,Virtual addresses are translated in two independent stages.,B,The text states that the 'Two-level paging algorithm' means 'page table itself is paged.'
"In a two-level paging scheme for a 32-bit logical address space with a 4 KB page size, how is the 20-bit page number typically divided?",10 bits for $p_1$ (outer page number) and 10 bits for $p_2$ (inner page offset).,12 bits for $p_1$ (outer page number) and 8 bits for $p_2$ (inner page offset).,8 bits for $p_1$ (outer page number) and 12 bits for $p_2$ (inner page offset).,15 bits for $p_1$ (outer page number) and 5 bits for $p_2$ (inner page offset).,10 bits for $p_1$ (inner page offset) and 10 bits for $p_2$ (outer page number).,A,The text specifies: 'Page number further divided: $p_1$: 10-bit outer page number (index into outer page table). $p_2$: 10-bit inner page offset (displacement within inner page table).'
What is another name for a hierarchical page table where address translation begins at the outermost page table and proceeds inward?,Inverted page table.,Hashed page table.,Clustered page table.,Forward-mapped page table.,Segmented page table.,D,The glossary defines 'forward-mapped' as: 'Scheme for hierarchical page tables where address translation starts at the outer page table and moves inward.' The main text also mentions: 'Also known as a forward-mapped page table.'
Why are two-level paging schemes considered inappropriate for 64-bit logical address spaces?,They require an excessive number of TLB entries.,The page offset becomes too large to manage effectively.,"Even with two levels, the outer page table remains excessively large, potentially gigabytes in size.",They introduce too many page faults due to inefficient memory access patterns.,64-bit systems do not use page tables for address translation.,C,"For 64-bit logical address spaces, the text states 'two-level paging scheme inappropriate' and provides an example where 'Outer page table: still $2^{42}$ entries, or $2^{44}$ bytes (16 GB)', which is excessively large."
"For a 64-bit logical address space with a 4 KB page size, what is the approximate size of the outer page table in a two-level paging scheme, considering each entry is 4 bytes?",$2^{10}$ bytes (1 KB),$2^{12}$ bytes (4 KB),$2^{20}$ bytes (1 MB),$2^{44}$ bytes (16 GB),$2^{52}$ bytes,D,"The text specifically gives this example: 'Outer page table: still $2^{42}$ entries, or $2^{44}$ bytes (16 GB).'"
"Based on the text, what is the general conclusion regarding the suitability of hierarchical page tables for 64-bit architectures?",They are highly efficient and are the preferred method.,They are only suitable if combined with extremely large TLBs.,They are generally inappropriate due to the prohibitive number of memory accesses required.,They are the only viable solution for managing 64-bit address spaces.,They require a minimum of ten levels of paging to be effective.,C,The text concludes: 'Hierarchical page tables generally inappropriate for 64-bit architectures' and mentions a 64-bit UltraSPARC 'would require seven levels of paging (prohibitive memory accesses).'
Hashed page tables are primarily introduced as an approach for handling which type of address spaces?,"Small, contiguous address spaces.",Address spaces larger than 32 bits.,Address spaces with strict security requirements.,Address spaces that do not require virtual memory.,Address spaces used only by kernel processes.,B,The text states: 'Approach for handling address spaces larger than 32 bits.'
"In a hashed page table, what serves as the hash value used to index into the hash table?",The physical page number.,The page offset.,The process ID.,The virtual page number.,The Translation Lookaside Buffer (TLB) entry.,D,The text states: 'Hash value: virtual page number.'
How do hashed page tables typically handle collisions when multiple virtual page numbers hash to the same location?,By discarding the colliding entries.,By using a secondary hash function.,By storing multiple entries directly in the hash table slot.,By using a linked list of elements at each hash table entry.,By re-hashing the entire table.,D,The text states: 'Each entry in hash table: linked list of elements (to handle collisions).'
What three fields are typically included in each element of the linked list within a hashed page table entry?,"Process ID, page size, and a timestamp.","Virtual page number, value of mapped page frame, and pointer to the next element.","Physical address, cache line number, and a flag for dirty pages.","Page fault count, TLB hit rate, and a reference bit.","Virtual address, page table entry size, and protection bits.",B,The text lists the three fields as: '1. Virtual page number. 2. Value of mapped page frame. 3. Pointer to next element in linked list.'
"According to the described algorithm for hashed page tables, what is the first step in translating a virtual address?",Search the Translation Lookaside Buffer (TLB).,Compare the virtual page number with field 1 in the first element of the linked list.,Hash the virtual page number in the virtual address into the hash table.,Retrieve the corresponding page frame from the physical memory.,Check for a match in the inner page table.,C,The algorithm description begins: 'Virtual page number in virtual address hashed into hash table.'
What is a key distinguishing characteristic of clustered page tables compared to standard hashed page tables?,They use a hierarchical structure instead of a flat hash table.,"Each entry refers to a single page, but with enhanced security.","Each entry refers to several pages (e.g., 16) instead of a single page.",They are only used for 32-bit address spaces.,They do not require a hash function for lookups.,C,"The text states: 'Each entry refers to several pages (e.g., 16) instead of a single page.'"
For which type of address spaces are clustered page tables particularly useful?,Contiguous address spaces where memory references are sequential.,Dense address spaces with very few unallocated regions.,Sparse address spaces where memory references are noncontiguous and scattered.,Address spaces used exclusively for kernel code.,Small address spaces where memory optimization is not critical.,C,"The text indicates they are 'Useful for sparse address spaces (memory references noncontiguous, scattered).'"
"In memory management, what does the term ""sparse"" describe with respect to an address space?",An address space with only a few allocated pages.,An address space where all memory references are contiguous.,An address space that is fully utilized with no free space.,An address space where page table entries are noncontiguous and scattered; an address space with many holes.,An address space that is specifically designed for multi-level paging.,D,"The glossary defines 'sparse' as: 'In memory management, describes a page table with noncontiguous, scattered entries; an address space with many holes.'"
What major drawback of standard page tables does the inverted page table scheme aim to alleviate?,The inability to support shared memory between processes.,The high computational cost of hash function calculations.,The consumption of large amounts of physical memory by potentially millions of entries per process's page table.,The increased time required for address translation lookups.,The difficulty in implementing them in hardware.,C,"The text states: 'Drawback [of standard page tables]: each page table may consist of millions of entries, consuming large amounts of physical memory.' The inverted page table is presented as a solution to this."
"In an inverted page table system, how many entries are there typically in the page table itself?",One entry for each logical page of a process.,One entry for each virtual address in the system.,One entry for each real physical page (frame) of memory.,One entry for each process currently running.,One entry for each CPU core in the system.,C,"The text defines an 'inverted page table' as having 'one entry for each real page (frame) of memory' and 'Only one page table in system, one entry per physical memory page.'"
What information is typically stored in an entry of an inverted page table?,The physical address of the page frame.,"The virtual address of the page stored in that real memory location, plus process information.",Only the process ID and a pointer to the next entry.,The page size and protection bits.,The number of times the page has been accessed.,B,"The text states: 'Each entry: virtual address of page stored in that real memory location, plus process information.'"
